sampleSize,Power
50.0,0.472
100.0,0.528
150.0,0.57
200.0,0.604
250.0,0.656
300.0,0.722
350.0,0.754
400.0,0.8
450.0,0.826
500.0,0.84
550.0,0.85
600.0,0.85
650.0,0.866
700.0,0.91
750.0,0.912
800.0,0.912
850.0,0.914
900.0,0.928
950.0,0.938
1e3,0.938
1050.0,0.97
1100.0,0.954
1150.0,0.952
1200.0,0.956
1250.0,0.974
1300.0,0.98
1350.0,0.982
1400.0,0.984
