datetime,prog_ind,prog_liq,real_ind,real_liq
2010-01-01 00:00:00,114.37,114.37,117.36,117.36
2010-01-01 01:00:00,106.63,106.63,108.03,108.03
2010-01-01 02:00:00,100.26,100.26,101.08,101.08
2010-01-01 03:00:00,99.44,99.44,100.97,100.97
2010-01-01 04:00:00,99.44,99.44,99.44,99.44
2010-01-01 05:00:00,99.44,99.44,99.44,99.44
2010-01-01 06:00:00,99.44,99.44,99.44,99.44
2010-01-01 07:00:00,99.44,99.44,99.44,99.44
2010-01-01 08:00:00,99.44,99.44,99.44,99.44
2010-01-01 09:00:00,99.44,99.44,99.44,99.44
2010-01-01 10:00:00,100.26,100.26,99.44,99.44
2010-01-01 11:00:00,101.08,101.08,101.02,101.02
2010-01-01 12:00:00,101.08,101.08,101.08,101.08
2010-01-01 13:00:00,101.08,101.08,101.08,101.08
2010-01-01 14:00:00,101.08,101.08,101.08,101.08
2010-01-01 15:00:00,101.08,101.08,101.08,101.08
2010-01-01 16:00:00,101.08,101.08,101.08,101.08
2010-01-01 17:00:00,117.08,117.08,107.9,107.9
2010-01-01 18:00:00,126.38,126.38,126.58,126.58
2010-01-01 19:00:00,128.05,128.05,126.27,126.27
2010-01-01 20:00:00,125.42,125.42,122.35,122.35
2010-01-01 21:00:00,128.9,128.9,115.78,115.78
2010-01-01 22:00:00,118.03,118.03,102.18,102.18
2010-01-01 23:00:00,106.63,106.63,101.08,101.08
2010-01-02 00:00:00,100.26,100.26,99.5,99.5
2010-01-02 01:00:00,99.44,99.44,99.44,99.44
2010-01-02 02:00:00,99.44,99.44,99.44,99.44
2010-01-02 03:00:00,99.44,99.44,99.44,99.44
2010-01-02 04:00:00,99.44,99.44,99.44,99.44
2010-01-02 05:00:00,99.44,99.44,99.44,99.44
2010-01-02 06:00:00,99.44,99.44,99.44,99.44
2010-01-02 07:00:00,100.26,100.26,100.2,100.2
2010-01-02 08:00:00,106.63,106.63,101.08,101.08
2010-01-02 09:00:00,114.37,114.37,101.08,101.08
2010-01-02 10:00:00,116.56,116.56,101.07,101.07
2010-01-02 11:00:00,116.56,116.56,132.36,132.36
2010-01-02 12:00:00,116.56,116.56,133.17,133.17
2010-01-02 13:00:00,116.56,116.56,116.56,116.56
2010-01-02 14:00:00,116.56,116.56,116.56,116.56
2010-01-02 15:00:00,116.56,116.56,116.56,116.56
2010-01-02 16:00:00,116.56,116.56,110.39,110.39
2010-01-02 17:00:00,122.6,122.6,111.74,111.74
