datetime,prog_ind,prog_liq,real_ind,real_liq
2016-01-01 00:00:00,50.64,50.64,51.91,51.91
2016-01-01 01:00:00,50.83,50.83,50.94,50.94
2016-01-01 02:00:00,51.02,51.02,50.82,50.82
2016-01-01 03:00:00,51.02,51.02,50.88,50.88
2016-01-01 04:00:00,51.02,51.02,49.05,49.05
2016-01-01 05:00:00,51.02,51.02,49.04,49.04
2016-01-01 06:00:00,51.02,51.02,49.06,49.06
2016-01-01 07:00:00,51.02,51.02,49.07,49.07
2016-01-01 08:00:00,51.02,51.02,48.98,48.98
2016-01-01 09:00:00,51.02,51.02,50.77,50.77
2016-01-01 10:00:00,51.02,51.02,54.36,54.36
2016-01-01 11:00:00,51.02,51.02,54.83,54.83
2016-01-01 12:00:00,50.81,50.81,54.81,54.81
2016-01-01 13:00:00,50.6,50.6,54.73,54.73
2016-01-01 14:00:00,50.6,50.6,54.77,54.77
2016-01-01 15:00:00,50.73,50.73,51.78,51.78
2016-01-01 16:00:00,50.94,50.94,50.58,50.58
2016-01-01 17:00:00,52.4,52.4,52.68,52.68
2016-01-01 18:00:00,53.79,53.79,52.42,52.42
2016-01-01 19:00:00,53.79,53.79,52.42,52.42
2016-01-01 20:00:00,53.79,53.79,52.42,52.42
2016-01-01 21:00:00,52.21,52.21,53.36,53.36
2016-01-01 22:00:00,50.64,50.64,50.83,50.83
2016-01-01 23:00:00,50.64,50.64,50.73,50.73
2016-01-02 00:00:00,50.6,50.6,50.74,50.74
2016-01-02 01:00:00,50.6,50.6,51.13,51.13
2016-01-02 02:00:00,50.6,50.6,49.11,49.11
2016-01-02 03:00:00,50.6,50.6,49.03,49.03
2016-01-02 04:00:00,50.6,50.6,48.96,48.96
2016-01-02 05:00:00,50.6,50.6,51.19,51.19
2016-01-02 06:00:00,50.6,50.6,50.73,50.73
2016-01-02 07:00:00,50.6,50.6,50.83,50.83
2016-01-02 08:00:00,50.6,50.6,50.95,50.95
2016-01-02 09:00:00,51.68,51.68,50.85,50.85
2016-01-02 10:00:00,53.27,53.27,50.58,50.58
2016-01-02 11:00:00,53.79,53.79,50.58,50.58
2016-01-02 12:00:00,53.79,53.79,50.58,50.58
2016-01-02 13:00:00,53.79,53.79,50.58,50.58
2016-01-02 14:00:00,53.79,53.79,50.75,50.75
2016-01-02 15:00:00,52.19,52.19,50.86,50.86
2016-01-02 16:00:00,50.6,50.6,50.95,50.95
2016-01-02 17:00:00,51.51,51.51,51.48,51.48
2016-01-02 18:00:00,52.46,52.46,53.17,53.17
2016-01-02 19:00:00,52.52,52.52,52.49,52.49
2016-01-02 20:00:00,53.17,53.17,52.42,52.42
2016-01-02 21:00:00,53.79,53.79,53.36,53.36
2016-01-02 22:00:00,52.19,52.19,51.04,51.04
2016-01-02 23:00:00,50.6,50.6,50.58,50.58
2016-01-03 00:00:00,50.85,50.85,50.65,50.65
2016-01-03 01:00:00,50.89,50.89,50.65,50.65
2016-01-03 02:00:00,50.94,50.94,50.54,50.54
2016-01-03 03:00:00,50.94,50.94,50.5,50.5
2016-01-03 04:00:00,50.94,50.94,50.56,50.56
2016-01-03 05:00:00,50.94,50.94,50.58,50.58
2016-01-03 06:00:00,50.94,50.94,51.63,51.63
2016-01-03 07:00:00,50.77,50.77,50.64,50.64
2016-01-03 08:00:00,50.6,50.6,50.61,50.61
2016-01-03 09:00:00,50.6,50.6,50.58,50.58
2016-01-03 10:00:00,50.6,50.6,52.21,52.21
2016-01-03 11:00:00,50.6,50.6,52.36,52.36
2016-01-03 12:00:00,52.19,52.19,52.36,52.36
2016-01-03 13:00:00,53.79,53.79,52.42,52.42
2016-01-03 14:00:00,53.79,53.79,52.42,52.42
2016-01-03 15:00:00,53.79,53.79,52.42,52.42
2016-01-03 16:00:00,53.79,53.79,52.42,52.42
2016-01-03 17:00:00,53.27,53.27,52.45,52.45
2016-01-03 18:00:00,52.75,52.75,53.24,53.24
2016-01-03 19:00:00,53.24,53.24,53.45,53.45
2016-01-03 20:00:00,53.75,53.75,52.77,52.77
2016-01-03 21:00:00,53.79,53.79,52.8,52.8
2016-01-03 22:00:00,52.19,52.19,51.33,51.33
2016-01-03 23:00:00,50.73,50.73,50.58,50.58
2016-01-04 00:00:00,52.56,52.56,54.61,54.61
2016-01-04 01:00:00,51.72,51.72,53.89,53.89
2016-01-04 02:00:00,51.72,51.72,53.17,53.17
2016-01-04 03:00:00,52.56,52.56,53.16,53.16
2016-01-04 04:00:00,53.68,53.68,53.29,53.29
2016-01-04 05:00:00,54.11,54.11,53.16,53.16
2016-01-04 06:00:00,54.25,54.25,53.18,53.18
2016-01-04 07:00:00,54.3,54.3,53.27,53.27
