datetime,prog_ind,prog_liq,real_ind,real_liq
2009-01-01 00:00:00,67.1,67.1,71.59,71.59
2009-01-01 01:00:00,55.37,55.37,63.37,63.37
2009-01-01 02:00:00,52.35,52.35,52.53,52.53
2009-01-01 03:00:00,52.35,52.35,52.53,52.53
2009-01-01 04:00:00,52.35,52.35,52.53,52.53
2009-01-01 05:00:00,52.35,52.35,52.53,52.53
2009-01-01 06:00:00,52.35,52.35,48.74,48.74
2009-01-01 07:00:00,52.35,52.35,49.64,49.64
2009-01-01 08:00:00,52.35,52.35,52.53,52.53
2009-01-01 09:00:00,53.87,53.87,52.53,52.53
2009-01-01 10:00:00,58.19,58.19,52.53,52.53
2009-01-01 11:00:00,58.19,58.19,52.53,52.53
2009-01-01 12:00:00,58.19,58.19,52.53,52.53
2009-01-01 13:00:00,58.19,58.19,52.53,52.53
2009-01-01 14:00:00,53.87,53.87,52.53,52.53
2009-01-01 15:00:00,52.35,52.35,52.53,52.53
2009-01-01 16:00:00,53.87,53.87,52.53,52.53
2009-01-01 17:00:00,67.7,67.7,71.8,71.8
2009-01-01 18:00:00,72.22,72.22,72.22,72.22
2009-01-01 19:00:00,72.22,72.22,72.22,72.22
2009-01-01 20:00:00,72.22,72.22,71.87,71.87
2009-01-01 21:00:00,67.33,67.33,70.44,70.44
2009-01-01 22:00:00,55.37,55.37,53.29,53.29
2009-01-01 23:00:00,52.35,52.35,52.53,52.53
2009-01-02 00:00:00,52.53,52.53,50.6,50.6
2009-01-02 01:00:00,52.53,52.53,48.4,48.4
2009-01-02 02:00:00,52.53,52.53,48.4,48.4
2009-01-02 03:00:00,52.53,52.53,50.6,50.6
2009-01-02 04:00:00,52.53,52.53,52.53,52.53
2009-01-02 05:00:00,52.53,52.53,52.53,52.53
2009-01-02 06:00:00,55.36,55.36,52.53,52.53
2009-01-02 07:00:00,62.71,62.71,55.83,55.83
2009-01-02 08:00:00,71.9,71.9,70.48,70.48
2009-01-02 09:00:00,72.22,72.22,71.59,71.59
2009-01-02 10:00:00,72.22,72.22,71.59,71.59
2009-01-02 11:00:00,72.22,72.22,71.59,71.59
2009-01-02 12:00:00,72.22,72.22,71.59,71.59
