,ABR,AMY-L9030,AMY1,AMY2,CEN,Date,Demanda,EEC,EEC20,EOL,GSR,HORA,HPA1,HPA2,LNI-L9040,MTR,NSL,PBP,PCA1,PCA2,PCF1,PCF2,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PEN3,PEN4,PHC1,PHC2,PHL1,PHL2,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,PNI1,PNI2,SND-L9090,TCPI-L9150,TPC
10,204 255 204,0 0 0,204 255 204,204 255 204,166 202 240,22/3/2015,0 0 0,0 0 0,255 255 153,204 255 204,255 255 153,10,204 255 204,166 202 240,255 255 153,0 0 0,166 202 240,204 255 204,204 153 204,255 255 153,255 255 153,255 255 153,0 0 0,0 0 0,166 202 240,0 0 0,0 0 0,166 202 240,166 202 240,166 202 240,255 255 153,204 255 204,204 255 204,166 202 240,166 202 240,,,0 0 0,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,255 255 153,0 0 0,0 0 0,0 0 0,166 202 240
11,204 255 204,0 0 0,204 255 204,204 255 204,166 202 240,22/3/2015,0 0 0,0 0 0,0 0 0,204 255 204,255 255 153,11,204 255 204,166 202 240,255 255 153,0 0 0,0 0 0,204 255 204,204 153 204,204 153 204,255 255 153,255 255 153,0 0 0,0 0 0,166 202 240,0 0 0,0 0 0,166 202 240,166 202 240,166 202 240,255 255 153,204 255 204,204 255 204,166 202 240,166 202 240,,,0 0 0,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,255 255 153,0 0 0,0 0 0,0 0 0,166 202 240
12,204 255 204,0 0 0,204 255 204,204 255 204,166 202 240,22/3/2015,0 0 0,0 0 0,0 0 0,204 255 204,255 255 153,12,204 255 204,166 202 240,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 153 204,255 255 153,255 255 153,0 0 0,0 0 0,166 202 240,0 0 0,0 0 0,166 202 240,166 202 240,255 180 118,255 255 153,204 255 204,204 255 204,166 202 240,166 202 240,,,0 0 0,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,255 255 153,0 0 0,0 0 0,0 0 0,166 202 240
13,204 255 204,0 0 0,204 255 204,204 255 204,166 202 240,22/3/2015,0 0 0,0 0 0,0 0 0,204 255 204,255 255 153,13,204 255 204,166 202 240,255 255 153,166 202 240,0 0 0,204 255 204,255 255 153,204 153 204,255 255 153,255 255 153,0 0 0,0 0 0,166 202 240,0 0 0,0 0 0,166 202 240,166 202 240,255 180 118,255 255 153,204 255 204,204 255 204,166 202 240,166 202 240,,,0 0 0,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,255 255 153,0 0 0,0 0 0,0 0 0,166 202 240
14,204 255 204,0 0 0,204 255 204,204 255 204,166 202 240,22/3/2015,0 0 0,0 0 0,0 0 0,204 255 204,255 255 153,14,204 255 204,166 202 240,255 255 153,166 202 240,166 202 240,204 255 204,255 255 153,204 153 204,255 255 153,255 255 153,0 0 0,0 0 0,166 202 240,0 0 0,0 0 0,166 202 240,166 202 240,255 180 118,255 255 153,204 255 204,204 255 204,166 202 240,166 202 240,,,0 0 0,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,255 255 153,0 0 0,0 0 0,0 0 0,166 202 240
15,204 255 204,0 0 0,204 255 204,204 255 204,166 202 240,22/3/2015,0 0 0,0 0 0,0 0 0,204 255 204,255 255 153,15,204 255 204,166 202 240,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 153 204,255 255 153,255 255 153,0 0 0,0 0 0,166 202 240,0 0 0,0 0 0,166 202 240,166 202 240,255 180 118,166 202 240,204 255 204,204 255 204,166 202 240,166 202 240,,,0 0 0,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,255 255 153,0 0 0,0 0 0,0 0 0,166 202 240
16,204 255 204,0 0 0,204 255 204,204 255 204,166 202 240,22/3/2015,0 0 0,0 0 0,0 0 0,204 255 204,255 255 153,16,204 255 204,166 202 240,0 0 0,0 0 0,0 0 0,204 255 204,204 153 204,204 153 204,255 255 153,255 255 153,0 0 0,0 0 0,166 202 240,0 0 0,0 0 0,166 202 240,166 202 240,255 180 118,166 202 240,204 255 204,204 255 204,166 202 240,166 202 240,,,0 0 0,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,255 255 153,0 0 0,0 0 0,0 0 0,166 202 240
17,204 255 204,0 0 0,204 255 204,204 255 204,166 202 240,22/3/2015,0 0 0,0 0 0,0 0 0,204 255 204,255 255 153,17,204 255 204,166 202 240,0 0 0,0 0 0,0 0 0,204 255 204,204 153 204,204 153 204,255 255 153,255 255 153,0 0 0,0 0 0,166 202 240,0 0 0,0 0 0,166 202 240,166 202 240,166 202 240,166 202 240,204 255 204,204 255 204,166 202 240,166 202 240,,,0 0 0,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,255 255 153,0 0 0,0 0 0,0 0 0,166 202 240
18,204 255 204,0 0 0,204 255 204,204 255 204,166 202 240,22/3/2015,0 0 0,0 0 0,0 0 0,204 255 204,255 255 153,18,204 255 204,166 202 240,0 0 0,0 0 0,0 0 0,204 255 204,204 153 204,204 153 204,255 255 153,255 255 153,0 0 0,0 0 0,166 202 240,0 0 0,0 0 0,166 202 240,166 202 240,166 202 240,166 202 240,204 255 204,204 255 204,166 202 240,166 202 240,,,0 0 0,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,255 255 153,0 0 0,0 0 0,0 0 0,166 202 240
19,204 255 204,0 0 0,204 255 204,204 255 204,166 202 240,22/3/2015,0 0 0,0 0 0,0 0 0,204 255 204,255 255 153,19,204 255 204,166 202 240,0 0 0,166 202 240,0 0 0,204 255 204,204 153 204,204 153 204,255 255 153,255 255 153,0 0 0,0 0 0,166 202 240,0 0 0,0 0 0,166 202 240,166 202 240,166 202 240,166 202 240,204 255 204,204 255 204,166 202 240,166 202 240,,,0 0 0,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,255 255 153,0 0 0,0 0 0,0 0 0,166 202 240
