,HORA,ABR,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,PBP,CEN,EEC,EEC20,EOL,PNI1,PNI2,GSR,HPA1,HPA2,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN3,PEN4,PHL1,PHL2,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,TPC,LNI-L9040,SND-L9090,AMY-L9030,TCPI-L9150,Demanda,Date
0,00,33.654,0,0,0,0,0,9.917,34.432,0,0,0,0,28.001,15.1,31.463,20.601,45.877,0,38.632,25.94,25.439,0,0,6.62,14.016,0,6.576,0,0,0,28.528,28.738,0,3.407,0,0,0,0,0,19.2,0,5.77,36.62,47.975,42.5,-20.201,-59.713,447.97,1/8/2015
1,01,31.507,0,0,0,0,0,10.122,34.667,0,0,0,0,25.901,11.7,21.272,9.846,44.543,0,42.46,26.079,25.356,0,0,0,13.949,0,7.479,0,0,0,28.337,28.299,0,3.541,0,0,0,0,0,19.5,0,5.68,36.582,43.458,38.06,-20.901,-55.409,421.62,1/8/2015
2,02,21.173,0,0,0,0,0,10.071,34.903,0,0,0,0,25.001,9.3,16.229,9.682,46.335,0,21.309,25.829,25.3,0,0,0,14.128,0,19.743,0,0,0,28.729,28.828,0,9.036,0,0,0,0,0,19.2,0,5.77,36.582,38.087,30.937,-26.701,-46.803,411.62,1/8/2015
3,03,24.081,0,0,0,0,0,10.027,34.638,0,0,0,0,30.001,11.7,21.115,9.658,50.45,0,23.249,25.718,25.439,0,0,0,13.926,0,10.09,0,0,0,28.678,28.689,0,3.452,0,0,0,0,0,19.4,0,5.78,36.582,41.261,34.581,-23.601,-48.817,409.27,1/8/2015
4,04,23.757,0,0,0,0,0,10.005,34.873,0,0,0,0,35.301,13.7,16.912,18.613,45.364,0,26.856,25.912,25.523,0,0,0,14.061,0,7.055,0,0,0,28.528,28.288,0,3.501,0,0,0,0,0,19.3,0,5.67,36.212,43.703,37.611,-24.401,-53.505,416.03,1/8/2015
5,05,12.542,0,0,0,0,0,9.917,34.873,0,0,0,0,14.7,7.3,7.824,27.054,48.637,0,12.58,25.718,25.411,0,0,0,13.881,0,23.803,24.624,0,0,28.518,28.118,0,8.845,0,0,0,0,0,19.3,0,5.78,36.212,33.57,27.805,-36.001,-40.211,430.46,1/8/2015
6,06,5.12,0,0,0,0,0,10.042,34.52,0,0,0,0,22.901,14.4,23.846,11.665,43.71,13.485,37.281,25.272,25.606,0,0,0,13.028,0,6.74,0,0,0,28.408,28.467,3.572,3.467,0,0,0,0,0,19.3,0,5.73,35.076,40.529,34.352,-27.001,-47.114,410.89,1/8/2015
7,07,32.099,0,0,0,0,0,3.567,26.242,0,0,0,0,19.501,13.6,29.676,0,51.334,16.102,35.901,25.662,25.356,0,0,0,12.399,0,13.85,0,0,0,30.548,30.158,3.568,0,0,0,0,0,0,19.6,0,5.77,36.201,44.313,45.439,-31.101,-57.717,430.21,1/8/2015
8,08,17.746,0,0,0,0,0,10.335,24.946,0,0,0,0,9,6.3,9.032,39.395,52.583,16.747,21.242,25.606,25.411,0,6.559,0,13.477,0,15.272,16.516,0,0,30.328,31.028,8.784,5.722,0,0,0,0,0,19.7,0,5.61,36.179,58.351,49.962,-55.302,-57.607,452.14,1/8/2015
9,09,19.457,0,0,0,0,0,10.049,25.034,0,34.401,0,0,14.9,8.6,12.605,32.766,47.949,14.274,15.487,25.718,25.745,0,6.601,0,13.185,0,18.963,20.03,0,0,29.948,30.938,3.58,3.477,0,0,0,0,0,19.3,0,5.37,35.368,21.363,26.817,-28.501,-37.703,491.79,1/8/2015
