,HORA,ABR,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,PBP,CEN,EEC,EEC20,EOL,PNI1,PNI2,GSR,HPA1,HPA2,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN3,PEN4,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,TPC,LNI-L9040,SND-L9090,AMY-L9030,TCPI-L9150,Demanda,Date
0,00,7.557,0,0,0,0,0,0,0,0,0,0,0,5.8,4.4,10.871,0,28.194,0,17.044,25.745,0,0,6.385,6.425,0,0,24.309,24.911,24.296,24.61,30.487,27.009,0,0,0,0,0,19.854,0,5.44,38.863,41.871,34.269,-65.602,-61.214,382.88,1/11/2014
1,01,5.061,0,0,0,0,0,0,0,0,0,0,0,3.1,0,6.722,0,33.744,0,1.781,25.718,0,0,0,6.558,0,0,24.309,24.911,24.255,24.61,30.238,26.618,0,0,0,0,0,20.671,0,5.5,50.376,34.669,26.478,-64.002,-51.912,368.94,1/11/2014
2,02,2.547,0,0,0,0,0,0,0,0,0,0,15.4,1.5,0,2.521,0,10.582,0,0,25.718,0,0,0,6.581,0,0,24.309,24.911,24.391,24.651,30.268,26.528,0,0,0,0,0,20.671,0,5.3,50.677,43.458,36.915,-80.302,-62.313,358.79,1/11/2014
3,03,9.325,0,0,0,0,0,0,0,0,0,0,0,29.601,19.401,8.56,0,0,0,11.075,25.773,0,0,0,0,0,0,24.309,24.911,24.446,24.487,30.458,26.728,0,0,0,0,0,19.873,0,5.4,22.749,48.585,44.908,-67.002,-75.918,356.53,1/11/2014
4,04,9.035,0,0,0,0,0,0,0,0,0,0,0,3.9,4.4,6.459,0,0,0,11.273,25.801,0,0,0,0,0,0,24.309,24.911,24.446,24.624,31.118,26.528,0,0,0,0,0,20.708,0,5.37,50.477,40.407,38.398,-77.502,-67.806,359.87,1/11/2014
5,05,0.19,0,0,0,0,0,2.798,0,0,0,0,0,12.8,5,3.1,1.131,51.504,16.428,17.3,25.968,0,0,0,0,0,0,24.309,24.911,24.446,24.624,30.138,28.188,0,0,0,0,0,20.299,0,5.43,41.838,67.995,51.985,-67.402,-64.016,371.84,1/11/2014
6,06,9.82,0,0,0,0,0,10.657,0,0,0,0,0,19.101,12.4,11.9,0,37.888,11.988,8.69,25.773,0,0,0,0,0,0,24.309,24.911,24.487,24.378,29.488,25.108,0,0,0,0,0,20.355,0,5.5,27.434,60.305,48.231,-57.702,-61.708,365.07,1/11/2014
7,07,9.23,0,0,0,0,0,10.628,0,0,0,0,0,28.701,13.9,10,0,51.8,16.946,26.8,25.718,0,0,0,0,0,0,24.337,25.157,24.432,24.61,29.648,25.079,0,0,0,0,0,19.984,0,5.54,30.307,86.795,70.269,-66.302,-77.914,389.97,1/11/2014
8,08,18.021,0,0,0,0,0,0.227,0,0,0,0,0,34.001,17.401,11.081,0,44.474,14.43,39.762,25.718,0,0,0,0,0,0,24.337,24.897,24.268,24.432,28.958,28.508,0,0,0,0,0,20.689,0,5.2,30.264,23.438,12.049,-1.8,-38.508,421.49,1/11/2014
9,09,23.316,0,0,0,0,0,8.855,0,0,0,0,0,22.301,14.8,17.07,12.996,43.66,14.282,32.971,25.578,0,0,6.408,6.41,0,0,24.337,24.897,24.432,24.364,29.348,27.168,0,0,0,0,0,19.91,0,5.2,50.159,8.911,0,15.3,-19.904,454.17,1/11/2014
10,10,23.379,0,0,0,0,0,10.144,0,0,0,0,0,17.901,16.201,15.808,25.587,51.578,16.576,38.431,25.885,0,0,6.398,6.407,0,0,24.337,24.897,24.35,24.624,32.188,28.198,0,0,0,0,0,19.91,0,5.1,39.569,55.422,39.113,-28.601,-55.007,466.57,1/11/2014
11,11,30.834,0,0,0,0,0,10.349,30.72,0,0,0,0,10.7,7,18.646,42.492,52.17,16.502,14.023,25.69,0,0,0,6.4,0,0,24.337,24.897,24.46,24.733,30.138,28.288,0,0,0,0,0,19.91,0,4.9,46.971,69.948,62.02,-45.601,-58.504,466.29,1/11/2014
12,12,17.59,0,0,0,0,0,10.13,30.543,0,0,0,0,7.4,4.8,13.025,46.974,51.134,16.502,8.899,25.745,0,0,6.4,6.402,0,0,24.337,24.897,24.446,24.473,30.928,27.788,0,0,0,0,0,19.91,0,5,49.055,34.303,25.425,-32.201,-25.91,474.77,1/11/2014
13,13,11.539,0,0,0,0,0,10.349,31.456,0,0,0,0,2.1,1.8,9.348,49.797,51.578,16.576,5.377,25.551,0,0,6.402,6.393,0,0,24.337,24.897,24.473,24.706,31.238,27.758,0,0,0,0,0,19.91,0,5.97,47.016,53.346,41.667,-49.602,-44.203,457.38,1/11/2014
14,14,7.535,0,0,0,0,0,10.269,31.603,0,0,0,0,0.9,1.6,5.933,50.086,51.578,16.428,5.58,25.551,0,0,6.415,6.39,0,0,24.337,24.897,24.268,24.678,30.458,27.818,0,0,0,0,5.2,19.91,0,5.4,35.975,51.149,37.245,-51.202,-41.017,446.66,1/11/2014
15,15,5.216,0,0,0,0,0,11.492,31.162,0,2.31,0,0,0.3,0.3,2.887,50.583,51.134,16.428,2.858,25.69,0,0,5.075,5.071,0,0,24.337,24.897,24.268,24.665,30.328,28.058,0,0,0,0,0,19.91,0,5.1,43.183,40.773,29.133,-42.101,-30.012,437.48,1/11/2014
16,16,1.79,0,0,0,0,0,10.247,32.87,0,2.895,0,0,0.4,0.8,0.577,42.451,51.208,16.502,3.12,25.718,0,0,5.055,5.056,0,0,24.337,24.897,24.268,24.651,30.458,27.808,0,0,0,0,0,19.91,0,5.1,43.905,35.768,25.086,-37.501,-23.218,423.92,1/11/2014
17,17,15.208,0,0,0,0,0,3.384,0,0,0,0,0,29.801,21.101,39.499,0,27.01,0,30.392,25.634,0,0,3.085,3.075,0,0,24.337,24.897,24.35,24.651,29.778,28.278,0,0,0,0,0,19.91,0,5.2,37.577,37.111,34.123,-24.101,-57.002,427.05,1/11/2014
18,18,9.077,6.933,16.688,15.723,0,0,11.844,34.078,21.931,38.827,0,0,27.201,18.601,6.354,43.095,37.296,12.136,16.019,25.69,0,0,6.418,6.452,0,0,24.337,24.897,24.35,24.596,29.188,28.048,0,0,0,3,3,20.763,0,5,40.718,88.26,75.433,-66.902,-74.215,559.71,1/11/2014
19,19,24.268,0,0,0,0,0,11.858,33.872,9.523,38.827,0,0,28.201,15.501,12.657,32.019,46.102,14.43,43.057,25.857,0,0,6.395,6.395,0,0,24.337,24.897,24.432,24.487,29.418,27.458,0,0,0,0,0,20.003,0,4.8,37.654,75.93,68.3,-56.902,-82.711,561.85,1/11/2014
20,20,29.571,0,0,0,0,0,11.822,34.461,0,0,0,0,20.701,18.401,29.203,42.846,46.99,15.466,39.944,25.801,0,0,6.385,6.437,0,0,24.337,24.897,24.432,24.487,30.108,28.078,0,0,0,0,0,20.003,0,4.98,37.763,73.366,64.812,-55.802,-88.406,553.15,1/11/2014
21,21,27.775,0,0,0,0,0,11.895,9.951,0,0,0,0,26.201,14.9,24.581,18.159,45.14,14.726,34.016,25.634,0,0,6.375,6.423,0,0,24.337,24.897,24.446,24.569,29.678,27.788,0,0,0,0,0,20.003,0,5.2,37.974,64.699,52.26,-59.702,-82.803,510.23,1/11/2014
22,22,30.194,0,0,0,0,0,0,0,0,0,0,0,23.201,16.001,21.797,2.034,50.986,0,34.633,25.411,0,0,6.415,6.407,0,0,24.337,24.925,24.145,24.624,30.518,28.418,0,0,0,0,0,20.003,0,5.3,37.908,86.428,74.041,-73.502,-92.215,442.52,1/11/2014
23,23,33.34,0,0,0,0,0,0,0,0,0,0,0,32.101,22.001,28.731,0,0,0,42.915,25.3,0,0,6.353,6.398,0,0,24.337,24.925,24.405,24.624,31.138,28.658,0,0,0,0,0,20.114,0,5.2,21.432,73,68.694,-59.002,-93.204,412.49,1/11/2014
0,00,20.157,0,0,0,0,0,0,0,0,0,0,0,25.301,20.501,28.311,0,0,0,30.937,25.523,0,0,3.122,3.097,0,0,24.022,24.979,24.186,24.596,30.768,28.738,0,0,0,0,0,20.114,0,5.36,16.399,23.804,22.678,-21.401,-49.916,380.96,2/11/2014
1,01,34.289,0,0,0,0,0,0,0,0,0,0,0,22.501,17.101,26.157,0,0,0,42.254,25.94,0,0,0,3.097,0,0,24.337,24.979,24.405,24.501,26.588,24.588,0,0,0,0,0,20.114,0,5.39,3.181,69.094,63.695,-57.302,-85.714,359.65,2/11/2014
