,HORA,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC2,AMY1,AMY2,CEN,EEC,EEC20,PCHN,PNI1,PNI2,GSR,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN1 y 2,PEN3,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,TPC,LNI-L9040,AMY-L9030,TCPI-L9150,Demanda,Date
0,00,0,0,0,0,0,12.085,0,0,0,0,30.201,18.401,0,47.5,15.205,0,25.662,25.634,0,32.232,14.124,23.954,24.132,14.561,0,0.8,38.867,0,0,0,0,0,0,19,6,48.276,2.686,12.5,1.099,380.349,1/4/2012
1,01,0,0,0,0,0,0,0,0,0,0,26.401,17.201,0,47.5,15.358,0,25.662,25.801,0,32.637,13.596,24.173,23.653,0,0,0.255,38.407,0,0,0,0,0,0,19,6.2,48.276,-13.428,11.6,1.685,364.263,1/4/2012
2,02,0,0,0,0,0,0,0,0,0,0,18.501,11.2,0,53.798,17.686,0,25.356,25.801,0,29.492,13.596,22.874,24.309,0,0,0.852,39.417,0,0,0,0,0,0,19,6.15,49.918,-20.631,16.101,9.888,352.592,1/4/2012
3,03,0,0,0,0,0,0,0,0,0,0,12.9,9,0,54.464,17.76,0,25.773,25.801,0,32.48,13.068,21.917,21.821,0,0,0.58,38.288,0,0,0,0,0,0,19,6.15,49.68,-24.903,13.7,10.694,349.191,1/4/2012
4,04,0,0,0,0,0,0,0,0,0,0,9,7.4,0,53.724,17.538,0,25.551,25.439,0,31.604,14.124,23.94,24.186,0,0,0.914,39.227,0,0,0,0,0,0,19,6.2,49.914,-3.418,1.7,2.783,346.696,1/4/2012
5,05,0,0,0,0,0,11.734,31.309,0,0,0,3.8,3.8,0,43.734,0,0,25.551,25.773,0,15.993,17.028,23.366,21.589,16.803,0,0.686,38.577,0,0,0,0,0,0,19,6.23,49.146,5.982,-5.3,1.886,351.551,1/4/2012
6,06,0,0,0,0,0,12.254,33.607,0,0,0,5.3,3.7,0,46.028,2.96,0,25.551,25.773,0,16.397,14.652,15.696,15.86,15.956,0,0.272,38.168,0,0,0,0,0,0,19.7,6.34,39.034,-5.737,1.5,5.182,336.303,1/4/2012
7,07,0,0,0,0,0,0,33.253,0,0,0,5,3.9,0,16.65,0,0,25.551,25.94,0,16.464,14.784,23.94,24.583,20.549,20.686,0.94,38.667,0,0,0,0,0,0,19.8,6.23,47.92,-40.895,16.301,17.597,351.854,1/4/2012
8,08,0,0,0,0,0,0,33.017,0,0,0,13.1,5.5,0,23.088,0,0,25.718,25.606,0,14.757,14.652,23.94,24.46,23.721,24.022,0.808,38.338,0,0,0,0,0,0,20,1,40.146,-3.662,6.2,2.582,346.753,1/4/2012
9,09,0,0,0,0,0,12.246,0,0,0,0,15.501,11.7,0,49.21,0,0,25.718,25.467,0,27.583,16.368,23.585,24.514,16.12,16.571,0.545,38.267,0,0,0,0,0,0,20,5.84,38.587,-13.672,26.801,-13.605,368.298,1/4/2012
10,10,0,0,0,0,0,12.107,33.135,0,0,0,7,5.3,0,48.84,0,0,25.69,25.718,0,31.648,17.028,16.256,17.446,14.834,0,0.976,37.827,0,0,0,0,0,0,19.6,5.67,47.225,-40.651,12.8,3.095,391.056,1/4/2012
11,11,0,0,0,0,0,12.019,33.017,0,0,0,11.1,7.6,0,50.098,0,0,25.69,25.801,0,30.997,16.104,19.565,19.346,14.616,0,0.879,39.328,0,0,0,0,0,0,19.1,5.44,46.591,-18.189,18.401,3.882,373.197,1/4/2012
12,12,0,0,0,0,0,12.32,33.783,0,0,0,7.7,3.6,0,49.95,0,0,25.69,25.801,0,29.425,17.688,23.667,24.501,22.067,16.626,0.818,38.517,0,0,0,0,0,0,18.8,5.44,38.377,2.564,11,-5.805,387.011,1/4/2012
