,HORA,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC2,AMY1,AMY2,CEN,EEC,EEC20,PCHN,PNI1,PNI2,GSR,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN1 y 2,PEN3,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,TPC,LNI-L9040,AMY-L9030,TCPI-L9150,Demanda,Date
0,00,0,0,0,0,0,10.921,0,0,0,0,13.1,5.9,0,51.652,16.206,0,0,24.938,0,30.997,19.8,23.721,24.337,24.665,0,1.072,38.458,0,0,0,0,0,0,18.7,6.23,48.774,-18.433,1.7,2.582,373.622,1/5/2012
1,01,0,0,0,0,0,10.979,0,0,0,0,6.5,6.2,15.177,53.058,17.39,0,0,25.217,0,31.042,14.256,23.612,24.173,24.514,0,1.019,38.418,0,0,0,0,0,0,18.8,6.2,38.93,2.808,-4.2,1.19,355.687,1/5/2012
2,02,0,0,0,0,0,11.082,0,0,0,0,7.4,6.5,25.819,50.69,16.206,0,0,25.356,0,30.48,14.124,16.024,16.53,24.542,0,1.055,38.718,0,0,0,0,0,0,18.8,6.23,38.93,-16.602,8.6,9.796,346.692,1/5/2012
3,03,0,0,0,0,0,10.928,0,0,0,0,6.5,7,25.768,50.616,16.354,0,0,25.328,0,26.011,10.956,19.237,19.907,24.542,0,1.046,37.667,0,0,0,0,0,0,19,6.3,38.93,-11.353,7.8,7.984,341.659,1/5/2012
4,04,0,0,0,0,0,11.082,0,0,0,0,16.601,12,25.854,51.874,17.02,0,0,24.966,0,29.2,22.044,7.903,8.627,24.46,0,1.178,38.468,0,0,0,0,0,0,19,6.3,38.93,-7.447,9.6,6.592,346.762,1/5/2012
5,05,0,0,0,0,0,11.111,0,0,0,0,18.801,13.8,19.075,51.134,16.798,0,0,24.966,0,12.848,23.892,20.96,21.561,24.665,0,1.002,38.187,0,0,0,0,0,0,18.8,6.3,38.93,0,5.2,3.296,354.334,1/5/2012
6,06,0,0,0,0,0,10.965,0,0,0,0,20.101,13.3,0,45.14,12.876,0,0,25.217,0,23.517,19.404,20.946,21.739,24.05,0,0.967,38.187,0,0,0,0,0,0,18.9,6.3,36.038,-17.579,14.8,8.295,332.058,1/5/2012
7,07,0,0,0,0,0,10.972,0,0,0,0,25.001,13.7,0,44.548,14.504,0,0,25.551,0,32.21,23.364,11.909,12.592,24.692,0,1.151,38.857,0,0,0,0,0,0,18.9,6.15,34.411,6.714,-1.4,-6.317,339.515,1/5/2012
8,08,0,0,0,0,0,10.401,0,0,0,0,27.701,19.201,0.457,51.43,17.02,0,0,25.94,0,33.895,22.968,13.194,14.028,24.692,0,0.554,37.917,0,0,0,0,0,0,18.7,6,38.246,-17.823,14.6,2.893,362.674,1/5/2012
9,09,0,0,0,0,0,9.397,33.253,0,0,0,21.301,15.801,0,43.956,14.578,0,0,25.885,0,31.469,21.516,9.639,10.528,14.752,14.301,1.081,38.047,0,0,0,0,0,0,22.2,6.1,38.382,-8.301,6,-1.3,375.787,1/5/2012
10,10,0,0,0,0,0,9.28,31.692,0,0,0,20.001,13.3,11.786,50.69,16.724,0,0,26.664,0,28.728,18.348,10.022,10.856,16.174,15.86,0.976,38.447,0,0,0,0,0,0,21.2,5.76,38.382,-16.846,12.9,5.896,382.94,1/5/2012
11,11,0,0,0,0,0,10.642,31.78,0,0,0,14.8,10.1,12.207,51.282,16.576,0,0,26.052,0,25.988,20.988,10.733,11.58,24.323,23.954,1.028,38.777,0,0,0,0,0,0,22.4,5.76,38.382,2.075,-1.2,-1.904,398.381,1/5/2012
12,12,0,0,0,0,0,10.437,31.162,0,0,0,6.8,5.2,20.889,51.134,16.872,0,0,26.052,0,34.164,17.952,21.971,22.573,24.323,23.954,1.002,38.437,0,0,0,0,0,0,22.4,5.59,30.568,-5.615,0.7,4.083,412.312,1/5/2012
13,13,0,0,0,0,0,10.181,31.957,0,0,0,4.5,2.4,29.416,50.172,16.354,0,0,26.107,0,29.986,15.18,13.467,13.754,24.337,23.954,0.852,38.487,0,0,0,0,0,0,22.4,5.21,38.361,-13.062,-1.6,4.688,407.049,1/5/2012
14,14,0,0,0,0,0,9.976,31.692,0,0,0,2,3.3,32.436,50.838,16.28,0,0,26.107,0,28.077,19.8,10.268,10.979,24.186,23.899,0.835,38.387,0,0,0,0,0,0,22.4,5.36,38.512,-20.875,9.2,11.792,395.215,1/5/2012
15,15,0,0,0,0,0,9.939,29.865,0,0,0,0,0.2,32.432,50.468,16.502,0,0,26.079,0,29.133,17.292,23.913,24.364,24.61,0,1.011,38.707,0,0,0,0,0,0,22.6,5.44,38.512,-9.278,2,9.595,388.75,1/5/2012
16,16,0,0,0,0,0,8.533,31.162,0,0,0,0.3,0,21.548,50.912,16.354,0,0,26.052,0,28.122,21.384,21.725,22.245,18.963,14.37,0.791,38.938,0,0,0,0,0,0,22.5,5.6,38.395,-24.049,5.4,16.297,390.246,1/5/2012
17,17,0,0,0,0,0,8.643,31.22,0,0,0,1.5,2,18.977,50.986,16.798,0,0,25.801,0,30.233,18.612,18.922,19.497,21.233,20.973,0,38.768,0,0,0,0,0,0,22.2,5.76,38.395,-49.684,21.001,25.782,393.419,1/5/2012
18,18,0,0,0,0,0,10.877,33.165,0,0,0,4.6,4.4,23.73,51.134,16.798,0,0,25.968,0,28.504,19.536,19.237,19.893,24.173,23.981,0.818,38.577,0,0,0,0,0,0,22,5.99,48.467,-20.02,7.3,10.089,424.479,1/5/2012
19,19,16.639,18.677,0,0,0,11.053,33.459,22.914,40.024,0,21.801,17.701,38.856,51.282,16.872,0,0,25.606,0,28.818,20.856,13.768,14.561,15.86,14.725,0.844,38.647,0,0,0,5.2,0,0,22.2,5.98,48.465,15.748,0.2,-9.101,537.961,1/5/2012
20,20,14.076,18.909,0,0,0,11.045,33.783,23.123,40.413,0,15.501,11.4,39.995,51.652,16.65,0,0,25.718,0,29.784,24.024,13.549,14.014,16.01,16.092,0.818,38.747,0,0,0,5.2,0,0,22.2,6.15,48.465,17.579,-5.4,-5.402,530.541,1/5/2012
