,HORA,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC2,AMY1,AMY2,PBP,CEN,EEC,EEC20,EOL,PNI1,PNI2,GSR,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN3,PEN4,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,TPC,LNI-L9040,SND-L9090,AMY-L9030,TCPI-L9150,Demanda,Date
0,00,0,0,0,0,0,10.027,33.165,0,0,0,0,0.2,0,21.596,52.022,17.168,3.097,0,0,0,13.791,12.408,13.372,14.78,24.692,24.432,28.088,27.688,0,0,0,0,5.2,0,19.3,5.51,37.604,19.776,3.259,-13.3,-5.512,359.917,1/6/2013
1,01,0,0,0,0,0,9.749,31.869,0,0,0,0,0,0,0,51.726,16.946,0,0,0,0,13.432,11.88,18.854,19.975,24.432,24.337,27.848,27.668,0,0,0,0,0,0,18.4,3,47.53,6.348,0,1,6.592,347.604,1/6/2013
2,02,0,0,0,0,0,10.166,33.224,0,0,0,0,0,0,0,52.466,17.242,0,0,0,0,13.432,12.012,10.364,11.211,24.446,24.35,29.848,30.298,0,0,0,0,0,0,18.2,6.22,47.47,10.01,0,-4,2.893,338.904,1/6/2013
3,03,0,0,0,0,0,10.042,32.959,0,0,0,0,0,0,0,50.912,1.554,0,0,0,0,13.432,12.408,16.284,17.227,24.514,24.323,29.418,29.848,0,0,0,0,0,0,18.1,6.27,46.994,9.522,0,-4.8,3.589,334.754,1/6/2013
4,04,0,0,0,0,0,10.291,33.4,0,0,0,0,0,0,0,51.578,16.576,0,0,0,0,13.455,10.692,10.541,11.498,24.514,24.323,30.957,32.388,0,0,0,0,0,0,20,6.3,46.766,0,0,5.1,13.587,340.037,1/6/2013
5,05,0,0,0,0,0,9.873,32.664,0,0,0,0,0,0,0,51.8,17.242,0,0,0,0,13.634,12.012,18.389,19.346,24.514,24.323,30.408,30.898,0,0,0,0,4,0,19.6,6.2,46.589,12.207,0,-7.5,1.794,360.905,1/6/2013
6,06,0,0,0,0,0,10.115,33.165,0,0,0,0,0,0,0,51.726,17.168,0,0,0,0,13.634,12.408,17.336,18.403,15.901,14.479,30.268,30.468,0,0,0,0,5.2,0,19.6,6.15,46.589,5.371,0,2.4,10.382,337.733,1/6/2013
7,07,0,0,0,0,0,9.698,32.016,0,0,0,0,0,0,14.932,51.43,16.946,0,0,0,0,13.634,12.012,20.837,21.63,14.999,14.397,29.958,29.878,0,0,0,0,5.2,0,19.3,6.07,46.589,0,0,4.9,14.686,358.929,1/6/2013
8,08,0,0,0,0,0,9.815,31.928,0,0,0,0,0,0,52.571,51.134,16.872,0,0,0,0,13.522,11.88,20.878,21.602,19.442,15.477,30.288,30.097,0,0,0,0,0,0,19,5.92,50.12,-12.696,0,11.9,22.797,407.385,1/6/2013
9,09,0,0,0,0,0,9.961,32.664,0,36.266,0,0,0,0,52.507,51.282,16.65,0,0,0,0,13.567,11.88,19.1,20.29,21.274,15.34,30.638,30.198,0,0,0,0,0,0,19.3,6,49.655,4.028,0,-1.5,8.698,435.499,1/6/2013
