,HORA,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC2,AMY1,AMY2,PBP,CEN,EEC,EEC20,PCHN,PNI1,PNI2,GSR,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN1 y 2,PEN3,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,TPC,LNI-L9040,AMY-L9030,TCPI-L9150,Demanda,Date
0,00,0,0,0,0,0,10.254,30.513,0,0,0,15.801,11,9.873,0,52.614,17.464,0,25.3,25.217,0,0,0,6.946,7.615,17.583,17.911,0,38.697,0,0,0,0,0,0,0,6.3,39.282,0,0,0,338.929,1/9/2012
1,01,0,0,0,0,0,10.013,11.041,0,0,0,25.301,16.901,10.819,0,52.096,17.242,0,25.3,25.244,0,0,0,6.836,7.875,0,16.749,0,38.697,0,0,0,0,0,0,0,6.3,40.325,0,2.6,0,318.542,1/9/2012
2,02,0,0,0,0,0,10.218,2.38,0,0,0,29.101,20.501,13.183,0,52.318,17.094,0,25.634,25.272,0,0,0,7.944,8.504,0,16.543,0,38.537,0,0,0,0,0,0,0,6.3,39.384,0,4,0,309.694,1/9/2012
3,03,0,0,0,0,0,5.684,2.38,0,0,0,23.901,15.401,10.766,0,51.874,5.032,0,25.244,25.077,0,0,0,8.217,8.819,21.192,21.178,0,38.888,0,0,0,0,0,0,0,6.3,39.384,0,4.2,0,307.866,1/9/2012
4,04,0,0,0,0,0,0,2.321,0,0,0,32.401,14.4,7.93,0,50.394,15.392,0,25.244,25.244,0,0,0,7.78,8.668,21.028,20.823,0,38.107,0,0,0,0,0,0,0,6.3,37.993,0,6,0,311.956,1/9/2012
5,05,0,0,0,0,0,8.533,2.321,0,0,0,25.201,16.801,8.14,0,52.318,17.094,0,25.272,25.244,0,0,0,23.762,24.419,15.053,15.053,0,38.477,0,0,0,0,0,0,0,6.3,39.422,0,6.3,0,337.296,1/9/2012
6,06,0,0,0,0,0,10.254,31.014,0,0,0,27.801,19.301,5.829,0,52.392,17.316,0,25.634,25.578,0,0,0,10.61,11.389,15.245,0,0,38.187,0,0,0,0,0,0,0,6.3,39.272,3.54,3,0,330.455,1/9/2012
7,07,0,0,0,0,0,10.064,30.101,0,0,0,24.101,19.001,11.975,0,52.318,17.242,0,25.634,25.161,0,0,0,23.913,24.501,19.674,0,0,39.047,0,0,0,0,0,0,0,6.3,39.272,1.831,6,0,355.108,1/9/2012
8,08,0,0,0,0,0,10.335,30.543,0,19.928,0,21.501,17.701,13.393,28.394,52.17,17.02,0,25.272,25.161,0,0,0,17.596,18.239,25.116,0,0,38.747,0,0,0,0,0,0,0,6.3,37.382,23.438,0,0,387.18,1/9/2012
9,09,0,0,0,0,0,10.379,30.543,23.139,35.932,0,19.001,15.201,14.286,28.492,52.096,17.316,0,25.272,25.551,0,0,0,12.032,12.702,25.253,0,0,38.707,0,0,0,0,5.2,0,0,6.3,37.262,12.329,0,0,423.061,1/9/2012
10,10,0,0,0,0,0,10.276,30.425,22.173,36.461,0,22.801,16.901,13.656,28.492,52.614,17.316,0,25.69,25.105,0,0,0,16.038,16.68,25.253,0,0,37.338,0,0,0,0,5.2,0,0,6.3,37.262,12.696,0,0,433.837,1/9/2012
11,11,0,0,11.536,0,0,10.042,29.836,21.737,36.127,0,19.301,12.9,12.237,28.492,51.282,16.65,0,25.69,25.495,0,0,0,20.563,20.85,25.253,0,0,37.648,0,0,0,0,5.2,0,0,6.3,37.538,8.667,6.6,0,432.684,1/9/2012
12,12,0,0,18.519,0,0,10.415,31.662,22.044,36.183,0,13.9,10.9,9.611,34.895,51.726,16.724,0,25.69,25.495,0,0,0,12.401,13.221,25.253,0,0,37.648,0,0,0,0,5.2,0,0,6.3,37.385,30.03,0,0,416.935,1/9/2012
13,13,0,0,0,0,0,10.415,30.425,22.06,36.238,0,16.501,9.6,10.294,34.41,51.652,16.798,0,25.69,25.077,0,0,0,14.643,15.395,25.253,0,0,38.257,0,0,0,0,5.2,0,0,6.3,30.893,19.898,3.3,0,397.726,1/9/2012
14,14,0,0,0,0,0,10.305,30.307,12.424,34.624,0,14.2,11.2,9.086,30.597,51.208,16.576,0,25.69,25.133,0,0,0,15.217,15.901,25.253,0,0,38.227,0,0,0,0,5.2,0,0,6.3,35.157,6.226,0,0,406.104,1/9/2012
15,15,0,0,0,0,0,10.335,30.248,0,34.29,0,31.801,21.601,12.763,30.585,43.734,13.616,0,25.69,25.495,0,0,0,7.643,7.889,15.641,15.04,0,38.437,0,0,0,0,5.2,0,0,6.3,32.885,0,14.5,0,391.401,1/9/2012
16,16,0,0,0,0,0,10.159,29.865,0,35.71,0,4.2,4.4,8.613,30.554,50.616,16.576,0,25.801,25.105,0,0,0,20.727,21.001,15.737,14.657,0,38.667,0,0,0,0,5.2,0,0,6.3,39.241,0,0,2.49,399.125,1/9/2012
