,HORA,ABR,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,PBP,CEN,EEC,EEC20,EOL,PNI1,PNI2,MTL,GSR,HEM,HPA1,HPA2,PHD,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN3,PEN4,PHL1,PHL2,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,TPC,LNI-L9040,SND-L9090,AMY-L9030,TCPI-L9150,Demanda,Date
0,00,26.202,0,0,0,0,0,10.533,0,0,0,0,0,31.101,21.001,24.791,0,43.81,0,40.839,25.69,0,0,0,0,0,0,1.131,30.368,31.02,7.369,0,0,0,28.129,27.928,3.555,0,0,0,0,0,0,18.7,0,5.45,40.166,-24.171,-32.878,58.502,10.199,406.14,1/2/2016
1,01,25.656,0,0,0,0,0,0,0,0,0,0,0,27.801,19.301,23.741,0,44.556,0,32.449,25.495,0,0,0,0,0,0,1.46,29.694,31.416,7.451,0,0,0,28.538,27.578,0,0,0,0,0,0,0,18.8,0,5.53,33.923,-35.157,-41.649,61.802,16.7,381.71,1/2/2016
2,02,25.86,0,0,0,0,0,0,0,0,0,0,0,23.601,16.801,26.262,0,42.247,0,24.172,25.773,0,0,0,0,0,0,1.46,30.278,27.456,7.998,0,0,0,27.959,26.969,0,0,0,0,0,0,0,18.6,0,5.45,42.492,-13.794,-25.59,35.101,2.985,374.67,1/2/2016
3,03,23.432,0,0,0,0,0,0,0,0,0,0,0,19.501,15.401,23.95,0,45.383,0,20.191,25.551,0,0,0,0,0,0,1.926,28.594,28.248,7.123,0,0,0,28.188,27.569,0,6.008,0,0,0,0,0,18.3,0,5.52,46.237,-29.42,-40.898,49.902,18.787,372.75,1/2/2016
4,04,28.026,0,0,0,0,0,0,0,0,0,0,0,23.001,17.001,28.101,0,33.509,0,24,25.495,0,0,0,0,0,0,2.21,30.48,29.172,7.629,0,0,0,28.048,26.908,0,6.005,0,0,0,0,0,18.5,0,5.6,40.548,-36.012,-44.285,55.202,17.084,382.27,1/2/2016
5,05,29.311,0,0,0,0,0,0,3.205,0,0,0,0,19.201,14.8,29.414,0,52.644,0,26.235,25.662,0,0,0,0,0,0,1.857,29.537,24.024,17.364,0,0,0,28.448,27.188,0,6.005,0,0,0,0,4.9,18.6,0,5.6,49.858,-30.03,-36.943,60.502,18.586,401.74,1/2/2016
6,06,34.188,0,0,0,0,0,10.745,0,0,0,0,10.055,21.801,16.401,26.104,12.927,48.444,0,19.114,25.745,0,0,0,0,0,0,1.857,30.48,26.664,14.629,0,0,0,27.959,27.148,0,8.534,0,0,0,4.9,4.9,18.7,0,5.6,42.386,-31.373,-43.58,76.202,31.294,406.75,1/2/2016
7,07,30.174,0,0,0,0,0,10.723,0,0,0,0,0,27.301,17.901,24.581,47.457,37.638,0,25.462,40.469,0,0,0,0,0,0,1.857,31.536,26.4,7.506,0,0,0,29.998,22.908,0,8.534,0,0,0,4.9,4.9,19,0,5.6,32.61,-51.515,-52.049,88.303,42.592,430.14,1/2/2016
8,08,33.997,0,0,0,0,0,9.346,0,0,35.821,0,0,24.101,17.201,31.41,38.059,47.949,0,31.137,47.678,0,0,0,0,0,0,1.857,29.402,31.152,8.395,0,0,0,30.538,28.708,0,3.433,0,0,0,4.9,4.9,18.7,0,5.37,39.715,-54.567,-44.578,84.503,37.098,501.34,1/2/2016
9,09,32.262,0,0,0,0,0,10.503,0,20.174,36.99,0,0,27.701,19.901,30.78,37.432,48.272,0,34.944,47.733,0,0,0,0,5.014,5.046,1.857,29.604,29.832,9.051,10.432,15.723,0,28.818,27.858,0,7.978,0,0,0,4.9,4.9,18.4,0,5.21,37.316,-41.505,-35.569,88.003,30.982,546.71,1/2/2016
10,10,28.828,0,0,0,0,0,10.437,0,17.451,36.35,0,0,25.201,16.601,25.947,46.428,52.298,0,31.577,47.177,0,0,0,0,5.009,5.048,1.857,31.312,29.04,9.625,11.034,15.723,0,28.568,27.768,0,8.862,0,0,0,4.9,4.9,18.5,0,5.06,39.715,-61.281,-55.95,86.203,39.589,576.68,1/2/2016
11,11,28.659,0,0,0,0,0,10.371,0,18.482,35.793,0,0,16.901,14.9,16.019,52.381,53.167,0,27.758,47.789,0,0,0,0,5.016,5.08,1.857,28.616,29.7,20.331,21.602,21.835,0,28.129,27.708,4.363,4.274,0,0,0,4.9,4.9,18.3,0,5.14,40.412,-66.408,-59.136,82.603,43.086,594.25,1/2/2016
12,12,17.76,17.339,18.604,0,0,0,10.262,0,17.145,35.209,0,0,12.9,8,12.657,51.684,51.817,0,15.811,47.566,0,0,0,0,5.004,5.073,2.226,29.694,28.38,18.211,19.606,20.016,0,27.768,27.648,7.069,7.056,0,0,0,4.9,4.9,18.6,0,4.7,40.412,-82.156,-75.991,89.403,60.298,596.48,1/2/2016
13,13,21.366,17.339,18.726,0,0,0,10.071,0,17.258,35.209,0,0,9.5,5,12.657,51.95,49.959,0,11.855,47.483,0,0,0,0,5.024,5.058,1.508,30.93,30.624,20.426,21.671,20.016,0,28.388,27.948,7.157,7.098,0,0,0,4.9,4.9,19,0,4.7,40.412,-77.395,-70.727,76.902,53.084,606.31,1/2/2016
14,14,23.211,16.947,18.58,9.021,18.409,0,9.983,0,17,35.209,0,0,15.401,8.5,17.017,49.691,46.039,0,22.262,47.26,0,0,0,0,5.036,5.071,1.508,30.278,30.888,14.547,15.846,15.422,0,28.498,27.348,3.565,3.423,0,0,0,4.9,4.9,18.7,0,4.7,39.955,-74.343,-67.687,90.503,51.985,608.68,1/2/2016
15,15,19.672,17.101,18.555,11.353,18.519,0,10.159,0,18.482,35.181,0,0,12.9,8.6,17.385,52.775,51.099,0,17.309,46.815,0,0,0,0,5.044,5.073,1.508,16.622,32.604,16.708,18.266,15.422,0,28.628,27.118,8.617,8.533,0,0,0,4.9,4.9,18.7,0,4.6,40.483,-53.224,-43.333,65.902,37.483,606.81,1/2/2016
16,16,20.65,17.031,18.458,11.451,6.787,0,10.196,0,16.629,35.125,0,0,14.5,10.7,15.231,54.826,52.177,0,18.538,46.815,0,0,0,0,5.041,5.063,1.508,10.692,27.984,15.833,17.172,15.053,0,27.918,27.218,7.217,7.153,0,0,0,4.9,4.9,18.7,0,4.76,40.32,-64.577,-58.44,76.202,43.489,593.89,1/2/2016
