,HORA,ABR,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,PBP,CEN,EEC,EEC20,EOL,PNI1,PNI2,GSR,HEM,HPA1,HPA2,PHD,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN3,PEN4,PHL1,PHL2,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,TPC,LNI-L9040,SND-L9090,AMY-L9030,TCPI-L9150,Demanda,Date
14,14,20.284,0,0,0,0,0,7.317,20.733,0,0,0,0,15.1,9.2,26.472,32.047,48.144,14.555,20.287,25.801,0,0,0,5.08,5.081,0,31.334,30.36,0,0,0,0,25.209,25.228,0,0,0,0,0,0,0,18.7,0,4.75,47.339,42.726,41.008,-37.501,-50.209,436.99,27/12/2015
15,15,29.923,0,0,0,0,0,7.222,27.597,0,0,0,0,17.701,12.9,22.112,15.32,48.501,15.507,27.286,25.718,0,0,0,5.1,5.095,0,32.749,25.212,0,0,0,0,25.098,25.108,0,0,0,0,0,0,0,18.6,0,4.68,47.617,49.074,42.665,-35.701,-55.318,438.34,27/12/2015
16,16,27.425,0,0,0,0,0,8.313,26.595,0,0,0,0,16.801,10,24.949,10.235,52.314,16.429,28.557,25.996,0,0,0,6.601,0,0,26.819,28.38,0,0,0,0,25.178,24.788,0,0,0,0,0,0,0,18.8,0,4.72,47.698,31.373,25.269,-15.1,-41.218,430.3,27/12/2015
17,17,24.949,0,0,0,0,0,7.053,32.281,0,0,0,0,14.1,9.2,20.326,29.036,48.421,15.286,24.891,25.912,0,0,0,6.677,0,0,25.943,26.268,0,0,0,0,25.788,25.809,0,0,0,0,0,0,0,19.1,0,4.91,46.68,35.279,22.184,-26.701,-35.414,437.29,27/12/2015
18,18,27.633,0,0,0,0,0,7.061,32.517,0,12.664,0,0,18.501,14,25.106,53.016,51.294,16.784,29.385,25.968,0,0,0,6.635,0,0,25.539,26.928,23.694,24.979,0,20.44,24.628,24.708,0,0,0,0,0,4.9,4.9,18.8,0,4.98,49.688,35.89,23.53,-19.201,-40.413,574.95,27/12/2015
19,19,29.576,0,0,0,0,0,7.083,33.047,19.82,36.879,0,0,36.601,17.701,25.474,48.507,47.087,14.625,40.104,25.829,0,0,0,6.606,0,0,27.223,27.192,6.617,8.149,0,0,25.348,24.888,6.491,6.345,0,0,0,4.9,4.9,18.9,0,5.06,46.469,29.42,18.558,-0.8,-39.003,593.26,27/12/2015
20,20,37.282,0,0,0,0,0,7.5,33.548,0,36.934,0,0,38.201,17.801,36.925,44.794,42.444,11.784,39.51,25.94,0,0,0,6.62,0,0,31.626,22.704,7.356,8.846,0,0,24.878,25.058,3.523,3.408,0,0,0,0,4.9,18.6,0,5.15,41.002,21.119,12.387,4.1,-40.01,578.73,27/12/2015
21,21,36.221,0,0,0,0,0,7.39,33.577,0,0,0,0,38.701,17.601,36.925,44.893,47.083,14.608,39.509,25.801,0,0,0,6.64,0,0,26.033,24.288,7.465,0,0,0,25.108,25.128,3.546,3.448,0,0,0,0,0,19,0,5.23,40.396,41.505,31.605,-13.2,-61.214,529.9,27/12/2015
22,22,34.877,0,0,0,0,0,7.361,33.577,0,0,0,0,33.901,17.901,34.877,9.752,47.265,14.982,38.623,25.718,0,0,0,6.588,0,0,25.449,28.644,0,0,0,0,25.058,25.058,0,3.44,0,0,0,0,0,19,0,5.38,39.914,35.768,23.566,-4.2,-47.902,470.13,27/12/2015
23,23,32.064,0,0,0,0,0,7.478,0,0,0,0,0,34.801,17.501,35.192,0,51.447,16.447,39.873,25.745,0,0,0,6.635,0,0,32.816,21.12,0,0,0,0,24.888,25.159,0,0,0,0,0,0,0,18.8,0,5.3,38.305,38.942,25.81,-10,-51.802,430.64,27/12/2015
0,0,9.917,0,0,0,0,0,0,0,0,0,0,0,34.401,17.001,33.826,0,51.333,0,38.72,25.773,0,0,0,6.598,0,0,31.604,25.608,0,0,0,0,25.589,25.708,0,0,0,0,0,0,0,18.8,0,5.38,40.532,26.734,15.683,-10.9,-45.503,404.78,28/12/2015
1,1,20.274,0,0,0,0,0,0,0,0,0,0,0,33.401,17.501,33.249,0,51.478,0,39.941,25.829,0,0,0,6.578,0,0,33.333,25.872,0,0,0,0,25.459,25.108,0,0,0,0,0,0,0,18.7,0,5.4,37.476,30.274,21.616,-0.4,-42.116,390.23,28/12/2015
2,2,9.962,0,0,0,0,0,0,0,0,0,0,0,35.201,17.901,31.883,0,52.19,0,30.113,25.69,0,0,0,6.606,0,0,32.098,20.988,0,0,0,0,25.138,24.928,0,0,0,0,0,0,0,18.39,0,5.53,42.063,32.594,21.232,-9.7,-42.409,376.97,28/12/2015
3,3,10.022,0,0,0,0,0,0,0,0,0,0,0,35.001,17.201,28.784,0,51.856,0,30.404,25.801,0,0,0,6.625,0,0,30.076,24.156,0,0,0,0,24.918,24.859,0,0,0,0,0,0,0,19.2,0,5.53,30.484,23.56,12.79,-7.8,-39.113,375.48,28/12/2015
4,4,30.303,0,0,0,0,0,0,0,0,0,0,0,29.801,16.401,26.682,0,51.787,0,30.744,25.829,0,0,0,6.645,0,0,26.527,21.912,0,0,0,0,25.469,25.438,0,0,0,0,0,0,0,19,0,5.53,39.172,32.594,21.094,-13.6,-47.609,388.77,28/12/2015
5,5,28.022,0,0,0,0,0,2.959,1.379,0,0,0,0,28.601,16.101,26.892,0,53.114,17.285,31.666,25.773,0,0,0,6.621,0,0,31.963,23.628,0,0,0,0,25.379,25.408,0,0,0,0,0,0,0,19,0,5.53,37.647,39.186,23.191,-13.2,-45.009,402.8,28/12/2015
6,6,15.166,0,0,0,0,0,7.412,33.931,0,0,0,0,21.401,9.8,19.118,0,40.825,13.42,28.138,26.246,0,0,0,6.623,0,0,30.346,25.476,0,0,0,0,25.498,25.558,0,0,0,0,0,0,0,18.9,0,5.53,44.664,29.42,17.377,-13.5,-31.513,396.28,28/12/2015
7,7,14.82,0,0,0,0,0,7.42,33.636,0,0,0,0,24.001,11.6,22.322,0,44.814,13.517,28.377,25.857,0,0,0,6.645,0,0,30.66,24.684,0,0,0,0,26.058,26.128,0,0,0,0,0,0,0,19.1,0,5.46,47.232,40.407,26.597,-20.501,-41.914,407.74,28/12/2015
8,8,28.21,0,0,0,0,0,7.434,33.607,0,0,0,0,24.801,10.4,20.8,20.68,48.336,15.144,29.679,25.745,0,0,0,6.63,0,0,29.604,28.248,7.205,0,0,0,25.498,24.339,0,0,0,0,0,0,0,19.3,0,5.37,47.752,36.988,35.377,-27.901,-50.612,464.93,28/12/2015
9,9,27.161,0,0,0,0,0,7.508,33.636,0,16.338,0,0,26.101,9.1,21.324,57.084,49.517,15.693,22.084,24.855,0,0,0,6.616,0,0,26.46,25.344,8.313,0,0,0,25.748,24.418,0,0,0,0,0,0,0,18.8,0,5.3,49.006,37.233,46.126,-36.001,-51.912,504.96,28/12/2015
10,10,28.921,0,0,0,0,0,7.801,33.813,0,36.294,0,0,22.901,14,24.949,41.751,40.588,12.797,29.531,35.515,0,0,0,6.576,0,0,30.683,30.36,8.86,0,0,0,25.838,24.819,0,0,0,0,0,4.9,4.9,18.8,0,5.22,43.866,56.032,59.053,-43.601,-65.114,527.32,28/12/2015
11,11,20.687,0,0,0,0,0,7.302,31.928,0,34.485,0,0,19.401,11.9,15.389,48.413,52.22,16.789,18.408,25.439,0,0,0,6.574,0,0,27.426,29.964,12.264,13.823,0,0,25.858,24.458,5.052,4.981,0,0,0,4.9,4.9,18.9,0,4.91,49.96,22.828,23.823,-31.801,-43.013,564.49,28/12/2015
12,12,19.633,0,0,0,0,0,7.376,32.87,0,34.485,0,0,15.901,8.5,12.342,44.495,50.186,16.142,16.071,35.292,0,0,0,6.584,0,0,28.077,25.74,19.825,21.274,0,0,25.958,24.618,8.273,8.212,0,0,0,4.9,4.9,18.8,0,4.83,47.659,30.152,31.285,-24.801,-33.912,540.22,28/12/2015
13,13,21.604,0,0,0,0,0,8.438,32.34,0,34.485,0,0,14.6,7.6,15.704,48.382,50.974,16.102,19.341,47.344,0,0,0,6.6,0,0,29.178,25.74,10.295,11.772,0,0,25.518,24.198,3.482,3.38,0,0,0,4.9,4.9,19.2,0,4.75,47.385,29.42,31.87,-29.101,-37.501,543.52,28/12/2015
14,14,14.313,0,0,0,0,0,7.273,30.985,20.4,34.513,0,0,10.6,6.4,8.508,44.45,48.255,15.092,13.306,47.455,0,0,0,6.598,0,0,26.931,23.496,12.784,14.452,0,0,23.489,22.849,8.737,8.741,0,0,0,4.9,4.9,19,0,4.67,47.354,46.51,41.932,-45.801,-49.019,536.84,28/12/2015
15,15,11.122,0,10.401,0,0,0,7.171,31.574,19.997,33.761,0,0,7.6,5.4,6.879,53.567,50.725,16.078,11.806,46.954,0,0,0,6.605,0,0,28.369,27.72,18.54,20.044,0,0,25.289,25.188,8.801,8.726,0,0,0,4.9,4.9,19,0,4.75,47.139,45.045,38.929,-44.401,-42.409,565.85,28/12/2015
16,16,12.99,0,18.397,0,0,0,8.416,31.957,19.723,34.902,0,0,6.8,5.3,8.192,43.679,47.386,14.779,11.809,47.01,0,0,0,6.603,0,0,27.313,23.496,16.967,18.348,0,0,25.388,24.628,4.25,4.135,0,0,0,4.9,4.9,19,0,4.67,45.311,32.35,22.568,-33.401,-28.401,548.15,28/12/2015
17,17,10.31,0,18.482,0,0,0,7.193,32.016,19.755,36.461,0,0,12.3,6.2,13.183,49.203,50.701,16.371,18.046,0,0,0,0,6.608,0,0,28.032,23.76,9.502,10.842,0,0,25.438,25.088,6.404,6.373,0,0,0,4.9,4.9,19,0,4.75,47.176,34.913,17.267,-27.401,-37.007,525.22,28/12/2015
18,18,17.962,16.275,18.604,10.547,17.09,8.691,7.178,32.34,20.029,36.405,0,0,13.5,9.2,9.769,44.708,51.972,16.83,22.172,0,0,0,0,6.581,0,0,30.211,28.512,21.561,22.833,0,14.971,25.308,24.838,8.911,8.882,0,0,0,4.9,4.9,19.3,0,4.98,50.434,42.36,21.992,-21.901,-33.711,621.65,28/12/2015
19,19,23.452,15.07,18.555,14.405,18.348,17.188,7.361,33.43,20.239,38.103,0,0,15.901,9.5,15.599,50.93,52.052,16.966,30.183,0,0,0,0,6.608,0,0,29.357,20.592,17.596,19.087,0,20.126,25.398,24.668,8.911,8.789,0,0,0,4.9,4.9,19,0,4.98,50.508,65.676,44.038,-39.201,-55.007,647.22,28/12/2015
20,20,34.329,7.661,18.397,14.063,5.64,0,7.266,33.666,19.288,38.103,0,0,38.201,17.801,29.624,50.727,42.434,13.888,39.111,0,0,0,0,6.596,0,0,29.649,23.1,11.58,12.825,0,0,25.368,25.168,3.527,3.426,0,0,0,4.9,4.9,19.2,0,5.06,47.407,48.585,34.104,-16.701,-62.404,629.34,28/12/2015
21,21,33.496,0,0,0,0,0,7.259,33.901,3.029,37.519,0,0,37.901,17.901,29.152,51.586,51.301,16.508,37.606,0,0,0,0,6.581,0,0,28.683,26.004,9.133,10.514,0,0,25.209,23.728,3.589,3.481,0,0,0,4.9,4.9,18.8,0,5.06,47.773,31.007,20.573,1.7,-47.902,570.13,28/12/2015
22,22,35.122,0,0,0,0,0,7.383,33.96,1.563,16.115,0,0,37.401,17.801,31.778,21.761,42.441,13.031,37.619,24.799,0,0,0,6.61,0,0,31.244,26.532,0,0,0,0,25.708,25.368,0,8.749,0,0,0,0,0,19.2,0,5.16,42.948,36.622,21.863,-9.1,-54.018,516.93,28/12/2015
23,23,32.358,0,0,0,0,0,7.434,34.461,0,0,0,0,33.901,17.801,27.26,22.412,47.556,14.933,37.465,25.745,0,0,0,6.576,0,0,31.267,24.816,0,0,0,0,25.428,24.748,0,0,0,0,0,0,0,18.6,0,5.22,47.283,41.139,24.738,-7.5,-50.209,477.11,28/12/2015
0,0,24.016,0,0,0,0,0,7.471,34.697,0,0,0,0,28.801,16.401,27.891,0,48.611,14.747,35.355,25.968,0,0,0,6.606,0,0,30.997,22.572,0,0,0,0,25.428,24.458,0,0,0,0,0,0,0,18.8,0,5.3,48.009,30.03,15.876,-6.6,-43.013,449.85,29/12/2015
1,1,23.507,0,0,0,0,0,7.442,34.461,0,0,0,0,28.701,16.001,26.945,0,41.332,13.487,28.33,25.94,0,0,0,6.594,0,0,32.929,25.08,0,0,0,0,25.278,24.498,0,0,0,0,0,0,0,18.6,0,5.4,48.041,36.744,24.061,-15.8,-45.814,433.38,29/12/2015
2,2,10.249,0,0,0,0,0,7.427,34.962,0,0,0,0,29.601,14.8,30.78,0,43.497,14.186,34.518,25.773,0,0,0,6.586,0,0,30.099,24.288,0,0,0,0,25.668,25.039,0,0,0,0,0,0,0,19,0,5.45,46.244,37.843,25.059,-12.1,-44.203,421.58,29/12/2015
3,3,10.139,0,0,0,0,0,7.442,34.873,0,0,0,0,29.601,14.8,22.427,0,45.645,12.88,36.109,25.801,0,0,0,6.569,0,0,28.481,24.024,0,0,0,0,25.138,24.708,0,0,0,0,0,0,0,18.8,0,5.45,46.011,34.791,21.076,-9.8,-38.215,411.05,29/12/2015
4,4,10.137,0,0,0,0,0,7.5,35.227,0,0,0,0,27.901,15.301,22.795,0,42.181,13.542,29.431,25.885,0,0,0,6.608,0,0,32.682,26.664,0,0,0,0,23.678,22.558,0,0,0,0,0,0,0,19.2,0,5.45,36.98,30.274,20.545,-21.001,-43.104,417.01,29/12/2015
5,5,27.314,0,0,0,0,0,7.427,34.991,0,0,0,0,30.701,16.501,25.264,0,47.5,14.773,33.397,25.857,0,0,0,6.615,0,0,30.368,24.816,0,0,0,0,26.928,25.698,0,0,0,0,0,0,0,19,0,5.4,36.98,30.519,17.231,-8.1,-42.701,442.59,29/12/2015
6,6,10.184,0,0,0,0,0,7.53,34.962,0,0,0,0,33.801,16.601,30.044,0,47.5,14.856,30.747,25.829,0,0,0,6.603,0,0,31.042,27.72,0,0,0,0,27.938,27.439,0,0,0,0,0,0,0,18.6,0,5.37,36.721,47.121,31.706,-15.4,-45.814,415.86,29/12/2015
7,7,9.965,0,0,0,0,0,7.551,35.05,0,0,0,0,33.601,17.901,28.994,0,41.686,13.533,20.276,25.94,0,0,0,6.606,0,0,32.367,28.248,0,0,0,0,25.578,25.419,0,0,0,0,0,0,0,18.6,0,5.4,48.187,48.585,43.956,-36.401,-60.408,429.18,29/12/2015
8,8,29.693,0,0,0,0,0,7.508,33.813,0,0,0,0,35.001,17.201,27.89,18.19,55.015,18.023,20.192,26.024,0,0,0,6.583,0,0,30.817,25.476,0,0,0,0,25.589,24.868,0,0,0,0,0,4,4,18.8,0,5.2,50.429,47.609,43.086,-26.601,-58.303,478.51,29/12/2015
9,9,31.644,0,0,0,0,0,7.427,33.312,0,0,0,0,29.001,14,25.106,56.457,51.939,17.195,20.295,25.578,0,0,0,6.63,0,0,29.267,27.588,9.748,0,0,0,25.628,25.048,0,0,0,0,0,4.9,4.9,18.8,0,5.2,49.656,40.529,42.564,-26.501,-54.915,517.68,29/12/2015
10,10,29.444,0,0,0,0,0,7.442,34.078,0,32.871,0,0,24.101,16.201,23.268,55.224,48.544,15.266,20.538,25.773,0,0,0,6.586,0,0,29.851,24.948,7.971,9.352,0,0,28.448,28.037,0,0,0,0,0,4.9,4.9,18.5,0,5,47.971,44.679,46.785,-33.101,-57.204,548.04,29/12/2015
11,11,32.948,0,0,0,0,0,7.368,32.988,0,36.433,0,0,22.201,13.3,20.852,51.281,54.731,17.942,20.11,25.634,0,0,0,6.593,0,0,25.427,26.136,23.981,11.403,0,0,26.449,26.258,6.997,0,0,0,0,4.9,4.9,18.3,0,4.8,50.651,64.943,62.615,-51.002,-69.417,565.44,29/12/2015
12,12,26.561,0,0,0,0,0,7.193,32.075,0,35.877,0,0,19.601,11.5,16.859,50.047,53.311,17.328,20.204,25.578,0,0,0,6.605,0,0,29.335,29.568,14.206,15.75,0,0,28.518,27.948,6.916,6.708,0,0,0,4.9,4.9,18.3,0,4.8,48.555,38.82,35.176,-28.101,-46.803,564.08,29/12/2015
13,13,18.272,0,0,0,0,0,7.222,31.191,0,35.96,0,0,13.5,8.7,10.398,49.253,52.756,17.407,14.534,29.225,0,0,0,6.576,0,0,26.954,25.476,19.688,21.083,0,0,28.429,27.978,8.935,8.813,0,0,0,4.9,4.9,18.3,0,4.52,50.686,44.557,43.37,-51.102,-51.802,560.64,29/12/2015
14,14,14.338,0,0,0,0,0,7.112,30.779,12.649,35.877,0,0,9.2,3.8,7.877,47.309,54.402,17.579,11.479,46.008,0,0,0,6.6,0,0,28.953,25.608,20.29,21.739,0,1.996,28.429,27.999,8.935,8.813,0,0,0,4.9,4.9,18.8,0,4.7,50.076,36.744,30.305,-37.501,-38.508,570.13,29/12/2015
15,15,14.089,15.392,18.69,0,0,0,7.149,30.484,18.434,34.234,0,0,6.1,2.5,9.19,47.591,48.371,15.325,8.414,47.511,0,0,0,6.578,0,0,33.648,22.176,12.77,14.206,0,0,28.408,27.888,8.935,8.813,0,0,0,4.9,4.9,18.4,0,4.6,48.062,47.609,35.597,-42.101,-40.706,567.36,29/12/2015
16,16,11.012,0,18.58,0,0,0,7.888,30.425,19.61,34.234,0,0,5.7,4.1,8.297,49.019,47.728,15.008,8.022,47.789,0,0,0,6.59,0,0,34.771,26.664,11.498,13.002,0,0,28.318,27.948,8.849,8.857,0,0,0,4.9,4.9,18.4,0,4.6,48.165,45.656,37.089,-43.001,-39.808,554.95,29/12/2015
17,17,16.198,0,0,0,0,0,8.372,30.572,19.772,34.234,0,0,6.9,4.7,9.979,49.544,47.618,15.135,17.373,47.706,0,0,0,6.579,0,0,32.03,26.4,7.533,8.682,0,0,28.678,27.938,3.55,3.456,0,0,0,4.9,4.9,18.4,0,4.9,47.182,39.796,24.033,-30.501,-33.216,533.12,29/12/2015
18,18,31.827,0,0,0,0,0,8.57,31.957,0,34.763,0,0,28.801,16.201,26.42,57.067,52.551,17.109,34.517,43.03,0,0,0,6.576,0,0,32.727,24.948,20.03,21.411,0,0,28.818,27.928,3.523,3.421,0,0,0,4.9,4.9,18.4,0,5.1,50.607,30.03,16.654,-3.8,-41.017,634.26,29/12/2015
19,19,22.79,0,18.494,0,0,0,8.643,32.959,20.158,35.153,0,0,23.101,15.301,26.892,50.784,49.095,15.716,33.958,47.566,0,0,0,6.588,0,0,25.853,27.984,14.014,15.381,0,0,28.478,28.268,7.676,7.655,0,0,0,4.9,4.9,18.9,0,5,50.215,41.627,29.133,-17.301,-48.817,641.79,29/12/2015
20,20,34.392,0,18.531,0,0,0,8.709,31.839,19.401,34.708,0,0,25.401,15.801,31.725,55.943,48.022,15.199,37.854,47.706,0,0,0,6.579,0,0,29.739,26.268,6.699,7.821,0,0,28.478,28.058,5.274,5.105,0,0,0,4.9,4.9,18.4,0,5.06,44.806,51.271,31.834,-32.301,-61.214,657.74,29/12/2015
21,21,37.48,0,0,0,0,0,8.745,32.075,0,19.455,0,0,37.401,18.301,31.567,44.95,48.342,15.26,39.499,25.634,0,0,0,6.598,0,0,35.647,26.532,12.291,13.659,0,0,28.628,27.529,3.514,5.11,0,0,0,0,0,18.7,0,5.15,40.885,36.5,24.784,-4.1,-51.106,576.9,29/12/2015
22,22,35.218,0,0,0,0,0,8.679,32.104,0,0,0,0,36.301,18.501,35.559,23.52,48.498,15.368,39.282,25.801,0,0,0,6.611,0,0,31.289,28.512,11.621,0,0,0,27.668,27.508,3.514,5.11,0,0,0,0,0,18.7,0,5.24,44.52,34.547,22.587,0.1,-47.902,519.78,29/12/2015
23,23,33.721,0,0,0,0,0,8.716,32.252,0,0,0,0,37.501,18.301,36.032,17.4,47.867,15.066,39.36,25.718,0,0,0,6.61,0,0,31.491,23.1,0,0,0,0,27.099,26.918,0,3.503,0,0,0,0,0,18.7,0,5.25,38.082,32.838,19.913,-3,-51.619,494.56,29/12/2015
0,0,29.922,0,0,0,0,0,8.848,32.458,0,0,0,0,34.401,17.201,28.363,0,41.446,13.647,36.979,25.912,0,0,0,6.598,0,0,28.504,26.136,0,0,0,0,28.037,27.959,0,0,0,0,0,0,0,19.2,0,5.22,33.739,31.617,19.08,-8.2,-50.008,452.09,30/12/2015
1,1,29.933,0,0,0,0,0,8.797,32.458,0,0,0,0,34.501,15.301,34.299,0,40.25,12.641,37.79,25.773,0,0,0,0,6.605,0,32.3,23.364,0,0,0,0,27.518,25.598,0,0,0,0,0,0,0,18.7,0,5.3,36.965,30.519,19.95,-2.3,-44.917,444.85,30/12/2015
2,2,20.42,0,0,0,0,0,4.739,0,0,0,0,0,35.101,18.401,36.768,0,40.597,10.65,35.23,25.996,0,0,0,0,6.608,0,28.661,27.456,0,0,0,0,28.538,27.999,0,0,0,0,0,0,0,18.7,0,5.3,36.965,30.274,16.663,-13.2,-50.319,424.74,30/12/2015
3,3,37.619,0,0,0,0,0,0,0,0,0,0,0,29.701,16.401,35.087,0,51.186,16.554,31.293,26.079,0,0,0,0,6.605,0,29.672,26.004,0,0,0,0,28.578,27.798,0,0,0,0,0,0,0,18.7,0,5.3,46.435,39.918,25.919,-10.1,-50.209,427.49,30/12/2015
4,4,36.343,0,0,0,0,0,0,0,0,0,0,0,36.001,17.401,31.778,0,40.604,12.858,31.965,25.996,17.563,0,0,0,6.6,0,29.335,27.984,0,0,0,0,28.098,27.558,0,0,0,0,0,0,0,19,0,5.45,37.06,28.077,17.515,-0.5,-41.603,428.1,30/12/2015
5,5,36.649,0,0,0,0,0,0,0,0,0,0,0,36.301,18.001,35.876,0,41.727,13.307,30.467,25.829,25.718,0,0,0,6.626,0,26.662,26.4,0,0,0,0,28.559,28.308,0,0,0,0,0,0,0,19,0,5.45,41.387,28.321,18.146,-2.2,-45.21,447.23,30/12/2015
6,6,33.369,0,0,0,0,0,0,0,0,0,0,0,36.001,18.301,36.19,0,50.194,12.5,34.808,25.885,25.94,0,0,0,6.606,0,28.796,24.948,0,0,0,0,27.898,27.648,0,0,0,0,0,0,0,18.6,0,5.38,31.039,36.744,26.725,-9.4,-54.402,444.45,30/12/2015
7,7,32.608,0,0,0,0,0,0,0,0,0,0,0,36.401,18.301,36.505,0,47.385,0,36.088,25.912,25.885,0,0,0,6.59,0,31.379,27.588,0,0,0,0,29.428,28.838,0,0,0,0,0,0,0,18.7,0,5.38,46.781,43.825,39.982,-18.801,-58.412,447.19,30/12/2015
8,8,36.428,0,0,0,0,0,8.321,27.185,0,0,0,0,37.101,18.401,35.403,0,48.715,15.325,35.867,25.829,26.079,0,0,0,6.611,0,29.425,24.552,0,0,0,0,28.418,27.418,0,0,0,0,0,0,0,18.6,0,5.2,47.783,36.866,38.279,-16.901,-59.017,503.45,30/12/2015
9,9,35.697,0,0,0,0,0,8.855,32.576,0,0,0,0,36.601,18.201,33.774,0,54.496,16.954,37.498,25.718,26.024,0,0,0,6.603,0,31.064,31.548,13.809,0,0,0,29.448,27.068,0,0,0,0,0,0,0,18.8,0,5.2,47.608,30.274,31.239,-5.8,-51.619,533.46,30/12/2015
10,10,31.536,0,0,0,0,0,8.877,33.017,0,0,0,0,34.801,18.201,34.825,14.925,47.073,14.874,36.236,25.829,25.829,0,0,0,6.6,0,25.471,26.928,12.866,14.493,0,0,28.628,26.718,0,9.102,0,0,0,0,0,18.6,0,5,46.055,45.778,46.876,-32.701,-66.305,552.86,30/12/2015
11,11,30.292,0,0,0,0,0,8.826,33.43,0,0,0,0,27.901,17.201,28.153,18.38,49.497,16.09,33.408,25.885,25.885,0,0,0,6.62,0,30.952,24.948,16.407,18.047,0,0,29.538,26.958,8.923,8.284,0,0,0,0,0,18.5,0,4.8,48.516,37.843,39.982,-24.801,-53.413,557.85,30/12/2015
12,12,33.895,0,0,0,0,0,8.555,32.428,0,0,0,0,36.501,16.901,31.673,13.2,50.13,15.853,39.41,25.885,25.857,0,0,0,6.623,0,25.988,25.608,13.618,15.368,0,0,26.709,25.979,8.807,8.79,0,0,0,0,0,18.5,0,4.6,47.919,43.458,38.398,-14.8,-63.118,554.88,30/12/2015
13,13,24.51,0,0,0,0,0,8.562,32.399,0,0,0,0,26.601,14.4,15.756,20.982,55.305,18.093,31.421,25.885,25.662,0,0,0,6.611,0,30.346,24.948,22.3,23.639,0,0,27.739,26.528,8.887,8.797,0,0,0,0,0,18.5,0,4.52,50.687,48.585,39.067,-32.101,-57.808,555.35,30/12/2015
14,14,21.405,0,0,0,0,0,8.562,30.896,0,0,0,0,20.301,13.2,18.33,36.796,48.353,15.356,26.95,25.606,48.902,0,0,0,6.586,0,32.435,24.816,19.346,20.809,0,0,28.467,27.038,8.866,8.824,0,0,0,0,0,18.6,0,4.6,46.172,47.609,44.111,-36.601,-56.417,562.55,30/12/2015
15,15,18.832,0,0,0,0,0,8.401,30.72,0,0,0,0,18.601,10.1,15.441,55.225,47.851,14.727,19.452,25.885,49.988,0,0,0,6.636,0,30.368,23.1,18.758,19.934,0,0,28.968,27.678,8.862,8.794,0,0,0,0,0,18.3,0,4.5,46.475,37.965,39.57,-30.901,-45.412,556.38,30/12/2015
16,16,17.531,0,0,0,0,0,8.394,30.72,0,31.312,0,0,19.501,10.5,16.545,47.314,47.809,14.938,26.493,25.829,25.105,0,0,0,6.594,0,29.582,23.364,6.043,7.192,0,0,27.598,27.829,8.479,8.773,0,0,0,4.9,4.9,18.6,0,4.6,45.608,36.378,30.644,-24.001,-43.214,546.23,30/12/2015
17,17,27.126,0,0,0,0,0,8.577,31.044,0,34.596,0,0,30.101,16.101,21.849,44.253,42.107,12.741,28.864,25.69,0,0,0,0,3.072,0,30.772,27.324,8.49,9.707,0,0,28.429,27.668,3.559,3.461,0,0,0,0,0,18.6,0,4.7,43.569,40.162,26.798,-16.2,-40.303,521.94,30/12/2015
18,18,37.159,0,0,0,0,0,8.709,32.929,0,35.236,0,0,37.401,18.501,37.714,50.029,50.711,15.672,39.109,25.634,0,0,0,0,6.628,0,29.941,26.796,15.696,17.131,0,16.215,28.048,27.269,3.551,3.51,0,0,0,0,0,18.6,0,4.9,47.93,39.43,25.269,-4.3,-54.201,628.83,30/12/2015
19,19,36.539,0,0,0,0,0,9.148,33.047,0,36.851,0,0,37.801,17.701,39.08,49.358,47.62,15.188,39.48,25.551,0,0,0,0,6.613,0,29.627,27.588,13.372,14.711,16.01,15.053,28.928,27.607,6.116,5.916,0,0,0,4.9,4.9,18.8,0,5,46.295,39.674,25.04,-3.7,-51.802,649.61,30/12/2015
20,20,37.569,0,0,0,0,0,9.536,33.489,0,36.962,0,0,38.501,17.601,39.447,48.158,51.177,16.447,39.42,25.467,0,0,0,0,6.596,0,30.143,26.796,8.641,10.022,0,14.957,28.628,27.708,3.563,3.459,0,0,0,4.9,4.9,18.8,0,5.1,47.928,35.524,23.722,-9.3,-55.116,641.12,30/12/2015
21,21,37.218,0,0,0,0,0,8.76,33.489,0,0,0,0,38.801,18.401,39.552,50.602,48.698,15.274,39.929,25.328,0,0,0,0,6.6,0,28.122,29.568,21.26,22.464,0,0,24.729,24.559,3.529,3.449,0,0,0,4.9,4.9,18.6,0,5.15,47.036,43.825,28.813,-7.9,-59.804,595.98,30/12/2015
22,22,37.479,0,0,0,0,0,8.87,18.877,0,0,0,0,38.801,17.601,35.927,19.62,48.968,14.683,39.241,25.356,0,0,0,0,6.6,0,28.975,26.004,14.274,15.723,0,0,26.778,25.688,8.542,8.733,0,0,0,0,0,18.6,0,5.08,46.645,42.238,25.343,-8.3,-56.618,534.41,30/12/2015
23,23,37.499,0,0,0,0,0,8.841,0,0,0,0,0,37.901,17.601,39.132,19.167,48.917,15.422,39.81,25.3,0,0,0,0,6.581,0,28.257,28.38,10.336,11.744,0,0,26.019,25.428,3.508,3.452,0,0,0,0,0,18.7,0,5.11,39.666,30.274,16.672,2.5,-46.712,494.05,30/12/2015
