,HORA,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC2,AMY1,AMY2,PBP,CEN,EEC,EEC20,EOL,PNI1,PNI2,GSR,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN1 y 2,PEN3,PEN4,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,TPC,LNI-L9040,SND-L9090,AMY-L9030,TCPI-L9150,Demanda,Date
0,00,0,0,0,0,0,0,33.813,0,0,0,16.301,16.101,16.545,0,50.616,16.65,18.765,25.551,25.3,0,33.2,25.8,8.313,7.547,0,15.34,0,12.599,38.248,0,0,0,0,0,0,20.1,5.92,46.036,11.719,0,1.6,-13.312,432.738,1/1/2013
1,01,0,0,0,0,0,0,33.842,0,0,0,24.201,13.5,10.293,0,50.912,16.65,11.218,25.189,25.662,0,33.535,24.684,7.151,7.219,0,0,0,12.909,38.477,0,0,0,0,0,0,20,5.9,37.6,24.171,0,-5.2,-16.407,396.378,1/1/2013
2,02,0,0,0,0,0,0,0,0,0,0,28.201,20.901,22.375,0,41.884,13.468,10.893,25.551,26.135,0,30.076,24.42,0,8.053,0,0,0,12.459,37.218,0,0,0,0,0,0,20,5.99,28.54,19.532,0,-.2,-20.215,357.047,1/1/2013
3,03,0,0,0,0,0,0,0,0,0,0,13.5,8.9,20.432,0,51.652,2.368,8.781,25.244,25.551,0,30.503,25.476,22.915,24.542,0,0,0,12.72,38.168,0,0,0,0,0,0,20.3,6.07,0,30.152,0,-8.8,-15.802,331.572,1/1/2013
4,04,0,0,0,0,0,0,0,0,0,0,13.4,8.9,27.103,0,44.326,14.282,14.313,25.634,25.551,0,34.052,26.928,0,0,0,0,0,12.55,38.248,0,0,0,0,0,0,19.9,6,22.661,23.927,0,-1.3,-13.715,324.865,1/1/2013
5,05,0,0,0,0,0,0,0,0,0,0,31.601,15.601,30.937,0,40.996,10.138,11.499,25.634,25.133,0,31.132,27.06,0,0,0,0,0,12.659,38.127,0,0,0,0,0,0,20,5.92,0,23.804,0,1.4,-20.618,321.861,1/1/2013
6,06,0,0,0,0,0,0,0,0,0,0,36.201,22.301,31.2,0,0,0,19.933,25.996,25.606,0,32.794,24.948,0,8.258,0,0,0,13.159,38.328,0,0,0,0,0,0,19.8,5.92,0,25.513,0,-.9,-29.518,309.349,1/1/2013
7,07,0,0,0,0,0,0,0,0,0,0,33.801,21.801,28.153,0,0,0,15.243,25.996,25.439,0,34.86,27.456,0,10.692,0,0,0,12.64,38.097,0,0,0,0,0,0,19.8,5.92,0,0,0,14.3,-13.916,299.514,1/1/2013
8,08,0,0,0,0,0,0,0,0,0,0,25.401,18.101,31.882,0,0,0,17.457,25.996,25.384,0,34.119,25.08,16.475,14.821,0,0,0,13.089,37.008,0,0,0,0,0,0,19.9,5.84,0,1.709,0,10.7,-14.905,313.049,1/1/2013
9,09,0,0,0,0,0,0,0,0,0,0,30.501,21.001,34.667,0,33.966,0,18.581,26.052,25.356,0,33.984,23.232,0,18.936,0,0,0,13.02,37.627,0,0,0,0,0,0,19.8,5.67,0,38.575,0,-7.3,-28.913,340.031,1/1/2013
