,HORA,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC2,AMY1,AMY2,PBP,CEN,EEC,EEC20,PCHN,PNI1,PNI2,GSR,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN1 y 2,PEN3,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,TPC,LNI-L9040,AMY-L9030,TCPI-L9150,Demanda,Date
0,00,0,0,0,0,0,7.215,30.484,0,0,0,27.701,20.601,0,0,50.764,16.502,0,25.523,25.495,0,0,0,14.862,14.219,0,0,0,39.018,0,0,0,0,5.2,0,22.9,6.15,48.907,-23.194,18.001,1.794,358.94,1/8/2012
1,01,0,0,0,0,0,7.251,30.749,0,0,0,23.001,17.901,0,0,50.838,16.354,0,25.662,25.885,0,0,0,12.442,9.229,0,0,0,38.898,0,0,0,0,5.2,0,23,6.2,45.737,3.54,-1.1,-7.91,343.817,1/8/2012
2,02,0,0,0,0,0,7.193,30.602,0,0,0,18.201,13.7,0,0,50.32,16.576,0,25.634,25.606,0,0,0,13.522,13.946,0,0,0,38.557,0,0,0,0,5.2,0,23,6.3,48.185,0,1.3,-3.516,338.758,1/8/2012
3,03,0,0,0,0,0,7.266,30.366,0,0,0,18.701,15,0,0,50.32,0,0,25.857,25.551,0,0,0,18.977,16.325,0,0,0,38.468,0,0,0,0,5.2,0,23.4,6.2,48.185,0,3.1,-3.9,330.616,1/8/2012
4,04,0,0,0,0,0,7.244,30.72,0,0,0,15.501,11.6,0,0,51.8,17.02,0,25.857,25.773,0,0,0,14.93,15.956,0,0,0,38.898,0,0,0,0,5.2,0,24.3,6.07,48.185,7.324,-1.3,-5.713,338.743,1/8/2012
5,05,0,0,0,0,0,7.346,30.572,0,0,0,10,8.2,0,0,51.504,16.724,0,25.857,25.634,0,0,0,23.407,24.528,16.256,0,0,38.567,0,0,0,0,5.2,0,24.2,6.08,39.744,3.906,-2.6,-.513,353.026,1/8/2012
6,06,0,0,0,0,0,7.222,30.396,0,0,0,13.7,11.1,0,0,51.504,16.946,0,25.857,25.857,0,0,0,18.02,13.836,15.258,0,0,38.837,0,0,0,0,5.2,0,23.4,6.15,48.283,11.231,-6.9,-5.603,352.838,1/8/2012
7,07,0,0,0,0,0,7.185,30.337,0,0,0,4.6,2.8,0,7.516,51.652,16.946,0,25.495,26.386,0,0,0,24.091,24.35,24.473,0,0,38.808,0,0,0,0,5.2,0,22.8,6.16,48.283,-1.831,-4.5,4.688,368.725,1/8/2012
8,08,0,0,0,0,0,7.09,30.219,20.207,4.899,0,5.6,3.3,0,11.789,51.06,16.872,0,25.495,25.69,0,0,0,23.093,24.268,24.145,0,0,38.617,0,0,0,5.2,5.2,0,22.8,6,48.283,0,0.7,3.186,395.941,1/8/2012
9,09,0,0,0,0,0,6.035,31.81,20.61,34.123,0,16.701,8.9,0,12.528,51.726,16.872,0,25.551,25.773,0,0,0,10.104,17.46,15.395,16.79,0,39.018,0,0,0,5.2,5.2,0,23.5,6,48.283,23.682,-13.9,-8.808,436.605,1/8/2012
10,10,0,0,0,0,0,6.175,31.014,20.577,33.622,0,10.3,5.6,0,12.403,51.282,16.946,0,25.3,25.801,0,0,0,18.909,24.022,20.016,19.661,0,38.667,0,0,0,5.2,5.2,0,23.2,5.84,48.157,19.654,-7.1,-3.113,438.451,1/8/2012
11,11,0,19.6,0,0,0,5.816,28.716,20.046,33.288,0,9.2,6.8,0,12.461,50.838,16.65,0,25.3,25.495,0,0,0,18.813,16.776,17.952,17.842,0,38.487,0,0,0,5.2,5.2,0,23.2,5.62,48.157,5.127,-9.5,-1.611,457.441,1/8/2012
12,12,0,18.5,18.165,0,0,7.193,29.011,20.029,33.288,0,11.5,8.7,0,13.422,50.912,15.836,0,25.495,25.69,0,0,0,8.067,7.916,14.834,15.04,0,38.598,0,0,0,5.2,5.2,0,23,5.6,48.268,11.963,-11.4,-6.702,455.573,1/8/2012
13,13,0,0,18.226,0,0,7.229,30.072,20.561,34.902,0,7.5,5.5,0,12.496,51.282,16.206,0,25.495,25.606,0,0,0,17.801,18.909,15.655,15.135,0,38.747,0,0,0,5.2,5.2,0,23,5.44,42.691,13.55,0.1,-1.611,430.814,1/8/2012
14,14,0,0,18.238,0,0,4.38,30.189,20.497,33.511,0,1.6,1.7,0,19.118,51.874,16.28,0,25.495,25.411,0,0,0,20.741,21.424,20.016,18.84,0,38.367,0,0,0,5.2,5.2,0,23,5.44,42.691,18.921,-15.2,-5.805,451.296,1/8/2012
15,15,0,0,16.688,0,0,5.889,31.073,20.4,33.427,0,0.1,0,0,18.563,45.066,14.8,0,25.133,25.718,0,0,0,7.588,6.508,15.026,15.436,0,38.177,0,0,0,5.2,5.2,0,23,5.44,42.691,-4.151,-5.8,0,411.074,1/8/2012
16,16,0,0,0,0,0,6.057,31.368,19.353,33.539,0,0.1,0,0,18.559,44.548,14.652,0,25.133,25.69,0,0,0,20.331,22.655,19.374,19.743,0,38.777,0,0,0,5.2,5.2,0,23,5.51,48.761,23.682,-10,-3.809,417.677,1/8/2012
