,HORA,ABR,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,PBP,CEN,EEC,EEC20,EOL,PNI1,PNI2,GSR,HPA1,HPA2,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN3,PEN4,PHL1,PHL2,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,TPC,LNI-L9040,SND-L9090,AMY-L9030,TCPI-L9150,Demanda,Date
0,0,0,0,0,0,0,0,11.91,31.633,0,39.217,0,0,14.2,9.8,8.822,41.907,48.91,0,1.289,25.69,25.718,0,0,0,27.471,9.108,20.618,0,0,0,28.729,28.738,0,3.54,0,0,0,0,0,19.706,0,6,45.246,-60.915,-63.393,75.102,63.192,434.29,1/5/2015
1,1,0,0,0,0,0,0,11.91,31.603,0,38.66,0,0,17.701,8.9,21.482,24.84,44.726,0,10.376,25.578,25.829,0,0,0,27.156,8.448,15.204,0,0,0,29.398,28.998,0,3.54,0,0,0,0,0,19.576,0,5.77,48.24,-44.801,-50.282,70.502,48.286,424.24,1/5/2015
2,2,0,0,0,0,0,0,11.858,31.338,0,38.743,0,0,13.1,7.7,13.183,24.909,45.51,0,9.687,25.69,25.606,0,0,0,28.706,8.976,17.528,0,0,0,29.438,29.018,0,4.955,0,0,0,0,0,19.576,0,5.93,47.743,-39.308,-45.531,64.702,46.492,412.87,1/5/2015
3,3,0,0,0,0,0,0,11.844,31.338,0,38.743,0,0,9.5,5.5,10.241,24.909,47.898,14.923,1.126,25.745,25.439,0,0,0,29.649,10.032,10.227,0,0,0,28.418,29.088,0,7.217,0,0,0,0,0,18.741,0,5.85,46.542,-41.261,-50.319,62.402,52.992,409.17,1/5/2015
4,4,0,0,0,0,0,0,11.807,31.162,0,38.743,0,0,5.7,4,11.396,24.909,52.032,16.903,0.889,25.718,25.551,0,0,0,26.011,10.032,18.061,0,0,0,28.918,29.118,0,3.545,0,0,0,0,0,19.502,0,6,47.88,-46.022,-55.116,66.502,58.998,413.52,1/5/2015
5,5,0,0,0,0,0,0,12.034,31.486,0,38.743,0,0,9,5.9,15.126,24.909,51.984,16.772,0.876,25.857,25.523,0,0,0,26.595,9.636,17.063,0,0,0,28.708,28.938,0,6.494,0,0,0,0,4.9,18.741,0,6,49.082,-37.233,-42.747,60.902,49.293,424.16,1/5/2015
6,6,0,0,0,0,0,0,11.939,31.309,0,32.258,0,0,17.501,8.9,0,21.727,48.49,15.182,0.855,25.885,25.495,0,0,0,26.662,9.768,11.102,0,0,0,28.398,29.248,0,0,0,0,0,0,4.9,19.52,0,6,40.514,-35.524,-43.196,56.402,46.492,391.5,1/5/2015
7,7,0,0,0,0,0,0,11.726,31.014,0,22.238,0,0,16.201,9.8,0,24.763,50.468,15.855,0.798,26.024,25.606,0,0,0,29.919,9.9,15.915,0,0,0,28.488,29.278,3.494,3.393,0,0,0,0,4.9,19.39,0,6,40.047,-47.609,-56.023,68.002,56.893,403.97,1/5/2015
8,8,0,0,0,0,0,0,11.895,31.191,0,22.238,0,0,18.901,10.5,9.873,28.42,48.148,14.63,26.217,26.107,25.3,0,0,0,26.887,12.012,9.434,0,0,0,29.148,28.859,3.494,3.503,0,0,0,0,4.9,19.39,0,5.85,37.861,-73.244,-77.996,110.103,76.687,419.21,1/5/2015
9,9,9.965,0,0,0,0,0,11.668,30.896,0,22.238,0,0,18.501,10.2,17.07,28.522,48.315,14.782,28.946,26.024,25.829,0,0,0,25.606,9.636,7.192,0,0,0,28.678,28.488,3.494,3.503,0,0,0,0,4.9,18.815,0,5.77,36.357,-70.559,-77.721,108.503,70.186,435.01,1/5/2015
10,10,17.166,0,0,0,0,0,11.741,30.867,0,22.238,0,0,9.9,6.4,16.072,23.253,52.652,16.232,20.111,26.107,25.885,0,0,0,27.336,9.372,12.045,0,0,0,28.758,28.628,6.951,0,0,0,0,0,4.9,19.613,0,5.6,39.911,-58.473,-66.286,91.003,59.493,436.02,1/5/2015
11,11,21.64,0,0,0,0,0,11.236,30.808,0,39.105,0,0,19.601,8.8,13.34,20.031,49.205,15.445,21.564,26.052,25.996,0,0,0,26.033,8.316,12.25,0,0,0,29.258,28.767,6.951,0,0,0,0,0,4.9,19.669,0,5.53,38.539,-83.254,-86.813,112.303,76.687,464.13,1/5/2015
12,12,10.258,0,0,0,0,0,11.06,30.455,18.482,38.02,0,0,9.5,4.6,7.457,43.987,48.142,14.63,13.83,25.829,25.829,0,0,0,26.325,8.976,19.114,0,0,0,29.468,28.878,8.037,0,0,0,0,4.9,4.9,18.815,0,5.52,39.286,-83.987,-90.31,111.503,87.197,471.93,1/5/2015
13,13,5.226,0,0,0,0,0,10.972,30.219,18.805,38.075,0,0,4.8,2.4,3.938,39.951,50.462,16.082,5.656,25.773,25.662,0,0,0,26.235,11.088,18.458,19.661,0,0,28.588,28.668,8.037,0,0,0,0,4.9,4.9,18.815,0,5.29,39.245,-69.948,-79.369,93.503,79.397,468.36,1/5/2015
