,HORA,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC2,AMY1,AMY2,PBP,CEN,EEC,EEC20,EOL,PNI1,PNI2,GSR,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN1 y 2,PEN3,PEN4,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,TPC,LNI-L9040,SND-L9090,AMY-L9030,TCPI-L9150,Demanda,Date
0,0,0,0,0,0,0,0,0,0,0,0,39.201,22.501,39.709,0,51.652,16.576,35.945,25.578,0,0,31.356,13.728,6.891,0,0,0,0,28.388,28.248,0,0,0,0,0,0,20,6,36.027,-21.973,0,40.701,0,381.119,1/2/2013
1,1,0,0,0,0,0,0,0,0,0,0,39.401,22.401,39.867,0,50.986,16.724,33.956,25.551,0,0,30.683,15.972,7.862,0,0,0,0,27.898,28.068,0,0,0,0,0,0,20,6,34.599,-16.236,0,47.501,0,369.266,1/2/2013
2,2,0,0,0,0,0,0,0,0,0,0,38.801,22.601,38.029,0,50.986,7.474,33.705,25.634,0,0,30.278,26.004,7.246,0,0,0,0,27.739,27.948,0,0,0,0,0,0,20,6,15.643,-29.664,0,43.301,0,366.066,1/2/2013
3,3,0,0,0,0,0,0,0,0,0,0,39.201,22.601,38.974,0,48.322,10.582,33.393,25.662,0,0,32.277,23.496,6.672,0,0,0,0,28.278,28.068,0,0,0,0,0,0,20,6,14.398,-19.898,0,41.101,0,362.47,1/2/2013
4,4,0,0,0,0,0,0,0,0,0,0,37.001,22.301,31.882,0,48.618,6.808,33.985,25.718,0,0,33.423,13.728,24.091,0,0,0,0,27.139,27.718,0,0,0,0,0,0,20,6,5.968,-22.828,0,35.501,0,358.587,1/2/2013
5,5,0,0,0,0,0,0,0,0,0,0,38.401,19.401,39.446,0,50.32,16.502,33.952,25.718,0,0,31.154,19.14,7.52,0,0,0,0,27.468,27.418,0,0,0,0,0,0,20,6,27.203,-39.674,0,39.801,0,389.966,1/2/2013
6,6,0,0,0,0,0,0,0,0,0,0,38.701,21.001,38.449,0,50.468,16.502,34.015,25.634,0,0,33.064,7.26,7.711,0,0,0,0,28.208,27.978,0,0,0,0,0,0,20,6,47.932,-21.241,0,38.901,0,386.656,1/2/2013
7,7,0,0,0,0,0,0,0,0,0,0,34.401,22.001,36.137,0,50.838,15.688,33.926,25.662,0,0,29.178,21.12,0,0,0,0,0,27.968,27.708,0,0,0,0,0,0,20,6,50.269,-21.607,0,33.801,0,390.088,1/2/2013
8,8,0,0,0,0,0,10.408,21.823,0,0,0,37.001,22.501,38.606,0,50.986,15.318,33.882,26.246,0,0,30.233,27.456,19.073,20.139,0,0,0,27.918,27.508,0,0,0,0,0,0,20,6,47.283,-19.532,0,44.801,0,455.018,1/2/2013
9,9,0,0,0,0,0,9.947,30.749,0,0,0,37.301,21.801,37.136,0,50.986,15.762,35.927,25.272,0,0,28.751,22.308,19.77,20.673,0,23.639,0,30.478,31.307,0,0,0,0,0,0,20,6,48.533,3.174,0,35.901,0,511.378,1/2/2013
10,10,0,0,0,0,0,9.939,30.543,0,0,0,36.901,22.001,34.509,49.304,50.764,15.466,35.991,25.217,0,0,30.885,24.42,7.151,8.19,0,14.356,0,27.588,27.088,0,0,0,0,0,0,20,6,48.414,-14.893,0,41.501,0,537.119,1/2/2013
11,11,0,0,0,0,0,8.504,30.779,0,0,0,36.501,22.501,37.241,53.287,51.43,15.836,34.022,25.384,0,0,33.85,27.852,10.159,11.17,0,14.903,0,27.229,27.298,0,0,0,0,0,0,20,6,48.414,0,0,25.601,0,535.966,1/2/2013
