,HORA,ABR,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,PBP,CEN,EEC,EEC20,EOL,PNI1,PNI2,GSR,HPA1,HPA2,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN3,PEN4,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,TPC,LNI-L9040,SND-L9090,AMY-L9030,TCPI-L9150,Demanda,Date
0,00,20.153,0,0,0,0,0,0,0,0,0,0,0,37.6,15.3,37.188,12.076,27.776,0,44.02,26.079,0,0,0,0,32.3,31.548,6.235,0,0,0,30.408,22.239,0,0,0,0,0,19.335,0,6.31,31.023,38.209,33.628,-13.3,-56.911,397.98,1/2/2015
1,01,20.206,0,0,0,0,0,0,0,0,0,0,0,37.9,15.601,38.239,8.649,27.805,0,43.792,25.773,0,0,0,0,30.795,29.964,15.846,0,0,0,32.287,0,0,0,0,0,0,18.629,0,6.34,18.697,37.721,35.926,-17.101,-60.61,374.6,1/2/2015
2,02,19.828,0,0,0,0,0,0,0,0,0,0,0,37.3,16.401,37.766,8.649,27.902,0,43.953,25.801,0,0,0,0,31.446,32.208,6.74,0,0,0,32.287,0,0,0,0,0,0,19.464,0,6.46,18.697,39.796,35.166,-15.8,-58.211,363.95,1/2/2015
3,03,20.138,0,0,0,0,0,0,0,0,0,0,0,37.4,14.7,33.301,8.649,21.16,0,43.9,25.801,0,0,0,0,28.594,31.548,8.791,0,0,0,38.808,0,0,0,0,0,0,19.353,0,6.54,14.966,39.186,36.97,-19.201,-59.914,356.6,1/2/2015
4,04,20.174,0,0,0,0,0,0,0,0,0,0,0,37.8,15.801,36.716,8.649,17.93,0,43.791,25.857,0,0,0,0,29.604,30.492,6.946,0,0,0,38.917,0,0,0,0,0,0,19.353,0,6.4,15.533,43.336,41.154,-23.901,-62.514,355.88,1/2/2015
5,05,28.696,0,0,0,0,0,0,0,0,0,0,0,37.7,15.501,31.515,8.649,17.66,0,43.94,25.69,0,0,0,0,29.739,33.66,15.901,0,0,0,38.768,0,0,0,0,0,0,19.353,0,6.4,15.533,40.407,38.289,-13.7,-58.303,362.01,1/2/2015
6,06,30.348,0,0,0,0,0,0,0,0,0,0,0,37.8,16.301,37.135,8.649,17.783,0,43.84,25.606,0,0,0,0,29.941,32.076,6.549,0,0,0,38.837,0,0,0,0,0,0,19.112,0,6.46,15.533,43.947,40.925,-14.9,-61.617,357.62,1/2/2015
7,07,10.394,0,0,0,0,0,0,0,0,0,0,0,25.8,15.3,34.352,8.649,17.879,0,43.961,25.718,0,0,0,0,28.796,30.492,24.405,0,0,0,39.047,0,0,0,0,0,0,19.075,0,5.39,15.533,34.791,35.533,-24.701,-58.01,357.19,1/2/2015
8,08,10.482,0,0,0,0,0,0,0,0,0,0,0,36.91,13,34.93,8.649,35.063,0,43.95,25.773,0,0,0,0.621,30.323,31.284,22.313,0,0,0,38.758,0,0,0,0,0,0,19.075,0,6.23,15.693,60.182,58.065,-40.001,-70.406,365.2,1/2/2015
9,09,10.493,0,0,0,0,0,0,0,0,0,0,0,36.9,16.201,36.137,8.649,48.392,0,40.924,25.718,0,0,0,6.725,31.963,31.812,7.93,9.283,0,0,38.837,0,0,0,0,0,0,19.075,0,6.08,15.693,65.676,57.067,-45.701,-74.911,388.67,1/2/2015
10,10,10.246,0,0,0,0,0,0,0,0,0,0,0,34.4,16.101,37.346,8.649,48.568,0,43.8,25.773,0,0,0,6.717,32.053,32.604,8.162,9.256,0,0,38.978,0,0,0,0,0,0,19.075,0,5.85,15.693,52.37,39.671,-30.001,-64.418,395.66,1/2/2015
11,11,10.433,0,0,0,0,0,0,0,0,0,0,0,33.9,15.501,36.715,8.649,50.415,0,43.319,25.773,0,0,0,6.719,31.379,29.832,8.641,9.94,0,0,38.808,0,0,0,0,0,0,19.075,0,5.77,20.66,71.657,60.088,-51.802,-82.015,397.61,1/2/2015
12,12,20.175,0,0,0,0,0,0,0,0,0,0,0,26.5,12.1,35.402,8.649,50.34,0,37.956,25.829,0,0,0,6.73,33.086,27.456,12.469,13.563,0,0,38.898,0,0,0,0,0,0,18.963,0,5.53,30.063,55.177,45.283,-36.501,-66.305,406.07,1/2/2015
13,13,10.212,0,0,0,0,0,0,0,0,0,0,0,29.7,15.4,25.211,8.649,43.593,0,40.584,25.718,0,0,0,6.714,31.087,30.756,7.424,8.449,25.089,0,38.917,0,0,0,0,0,0,19.836,0,5.53,29.333,40.04,25.855,-17.301,-46.107,399.71,1/2/2015
14,14,10.484,0,0,0,0,0,0,0,0,0,0,0,28.2,15.901,21.219,8.649,35.166,0,43.341,25.885,0,0,0,6.697,30.076,31.548,8.422,9.625,16.12,16.079,38.808,0,0,0,0,0,0,18.945,0,5.6,29.026,58.351,49.541,-38.301,-68.319,398.55,1/2/2015
15,15,0,0,0,0,0,0,0,0,0,0,0,0,21.7,14.9,27.628,8.649,35.604,0,39.845,25.912,0,0,0,6.736,27.673,32.208,10.637,11.553,19.032,20.372,38.967,0,0,0,0,0,0,18.945,0,5.52,29.865,61.647,50.621,-47.601,-68.703,399.79,1/2/2015
16,16,19.656,0,0,0,0,0,0,0,0,0,0,0,20.45,10.8,20.326,8.649,36.354,0,35.63,26.052,0,0,0,6.761,30.66,27.984,10.76,12.059,24.255,23.817,38.498,0,0,0,0,0,0,18.945,0,5.6,24.263,53.835,40.577,-37.401,-60.005,404.52,1/2/2015
17,17,19.104,0,0,0,0,0,0,0,0,0,0,0,22.9,12.6,17.174,8.649,34.018,0,38.975,26.079,0,0,0,6.707,29.425,30.228,9.051,10.268,24.405,23.749,38.617,0,0,0,0,0,0,18.945,0,5.68,22.627,63.479,49.989,-42.601,-65.206,393.57,1/2/2015
18,18,28.544,0,0,0,0,0,0,0,0,0,0,0,22.9,13.3,28.258,8.649,47.709,0,38.751,26.024,0,0,0,6.7,30.413,30.36,18.635,19.797,20.973,19.825,39.198,0,0,0,0,0,0,18.945,0,5.92,34.755,40.895,31.413,-23.101,-53.102,463.56,1/2/2015
