,HORA,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,PBP,CEN,EEC,EEC20,EOL,PNI1,PNI2,GSR,HPA1,HPA2,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN3,PEN4,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,TPC,LNI-L9040,SND-L9090,AMY-L9030,TCPI-L9150,Demanda,Date
0,00,0,0,0,0,0,11.162,30.867,0,0,0,0,0.3,0.2,0,41.715,50.394,0,0,25.829,0,0,4.181,4.211,0,0,14.903,15.901,0,15.791,22.919,18.908,0,0,0,0,0,0,24.2,0,30.214,-22.828,0,-.1,9.284,354.087,1/9/2013
1,01,0,0,0,0,0,11.016,30.366,0,0,0,0,0,0,0,24.764,49.802,0,0,25.996,0,0,4.204,4.202,0,0,21.794,22.546,0,14.834,22.558,18.629,0,0,0,0,0,0,24.8,6.07,30.126,-14.893,0,-5.2,4.083,349.571,1/9/2013
2,02,0,0,0,0,0,11.097,30.838,0,0,0,0,0,0,0,24.437,50.32,0,0,25.829,0,0,0,6.085,0,0,15.094,16.051,0,15.217,22.478,18.809,0,0,0,0,0,0,24.2,6.07,30.146,-18.433,0,-4.9,5.988,339.697,1/9/2013
3,03,0,0,0,0,0,11.045,30.808,0,0,0,0,0,0,0,25.974,50.246,0,0,25.829,0,0,0,6.064,0,0,12.852,13.795,0,15.573,22.438,18.769,0,0,0,0,0,0,24.5,6.07,30.146,-18.189,0,-6.1,5.786,336.551,1/9/2013
4,04,0,0,0,0,0,11.272,31.191,0,0,0,0,0,0,0,9.95,50.986,0,0,25.745,0,0,0,6.078,0,0,18.963,20.003,0,16.379,22.419,18.648,0,0,0,0,0,0,24.8,6,30.146,-17.09,0,-7.4,4.083,334.832,1/9/2013
5,05,0,0,0,0,0,10.979,30.69,0,0,0,0,0,0,0,9.607,50.098,0,0,25.801,0,0,0,6.08,0,0,18.758,19.729,0,14.288,22.459,18.759,0,0,0,0,0,0,24.8,6.07,40.377,-17.823,0,-6.2,3.589,343.603,1/9/2013
6,06,0,0,0,0,0,11.06,30.867,0,0,0,0,0,0,0,14.313,50.542,0,0,25.718,0,0,0,6.073,0,0,9.461,10.473,0,14.766,22.858,18.759,0,0,0,0,0,0,24.6,6.07,40.418,-24.293,0,-.5,10.199,329.76,1/9/2013
7,07,0,0,0,0,0,11.338,30.867,0,2.616,0,0,0,0,0,8.287,50.542,0,0,25.885,0,0,0,6.078,0,0,23.708,24.501,0,15.354,22.839,18.669,0,0,0,0,0,0,24.8,6,40.418,-1.831,0,-3.2,7.489,320.806,1/9/2013
8,08,0,0,0,0,0,11.243,30.749,0,39.606,0,0,0,0,0,44.771,20.794,0,0,25.857,0,0,0,6.098,0,0,23.94,24.46,0,24.405,22.858,18.679,0,0,0,5.2,0,0,24.8,5.9,30.395,4.151,3.314,-7.9,4.193,355.997,1/9/2013
9,09,0,0,0,0,0,11.397,30.808,0,39.94,0,0,0,0,0,46.423,50.616,0,0,25.523,0,0,0,6.1,0,0,12.469,13.645,0,15.928,22.858,18.698,0,0,0,0,0,0,24.5,5.8,38.305,3.784,0,-8.3,4.486,363.04,1/9/2013
10,10,0,0,0,0,0,11.294,30.661,0,39.551,0,0,0.3,0.4,2.415,46.731,50.468,0,2.956,25.495,0,0,0,6.103,0,0,6.877,7.725,0,15.887,22.109,18.688,0,0,0,0,0,0,24.5,5.8,37.661,10.743,3.607,-18.601,-5.31,365.182,1/9/2013
11,11,0,0,0,0,0,10.987,28.834,0,0,0,0,2.7,2.4,6.721,29.807,49.876,0,4.107,25.384,0,0,0,6.103,0,0,19.374,20.686,0,18.977,22.289,18.669,0,0,0,0,0,0,24.3,5.67,40.35,-26.246,0,7.8,10.895,376.628,1/9/2013
12,12,0,0,0,0,0,11.111,28.952,0,0,0,0,5.3,3.4,1.574,29.611,49.802,0,8.536,25.272,0,0,0,6.116,0,0,21.37,22.163,0,23.913,22.419,18.669,0,0,0,0,0,0,24,5.4,33.005,-25.636,0,-1,2.893,392.564,1/9/2013
13,13,0,0,0,0,0,10.979,28.893,0,0,0,0,4.7,3.4,4.673,43.868,50.024,0,6.912,25.3,0,0,0,6.093,0,0,19.852,20.741,0,23.858,22.189,18.568,0,0,0,0,0,0,24.5,5.5,33.814,-13.672,0,-2.7,0.696,389.005,1/9/2013
14,14,0,0,0,0,0,11.228,29.63,0,0,0,0,0.4,0.4,1.732,56.003,50.616,0,4.616,25.356,0,0,0,6.101,0,0,14.424,15.504,0,15.354,22.248,18.778,0,0,0,0,0,0,24,5.5,40.497,-21.607,0,-4.1,3.992,389.884,1/9/2013
15,15,0,0,0,0,0,11.031,29.158,0,0,0,0,0.2,0.2,1.575,38.838,50.32,0,4.122,25.551,0,0,0,6.086,0,0,21.548,22.368,0,22.559,22.258,18.709,0,0,0,0,0,0,24.5,5.6,37.247,-11.963,0,-5.6,1.483,376.389,1/9/2013
16,16,0,0,0,0,0,10.833,28.569,0,0,0,0,0,0.3,0,38.633,50.172,0,3.873,25.69,0,0,0,6.101,0,0,19.046,19.975,16.366,22.3,22.159,18.828,0,0,0,0,0,0,24,5.8,37.368,-17.457,0,1.8,13.697,375.082,1/9/2013
17,17,0,0,0,0,0,10.789,28.805,0,2.143,0,0,0.2,0,0,18.387,50.246,0,0,25.467,0,0,0,6.085,0,0,23.899,24.419,24.378,24.255,22.308,18.639,0,0,0,0,0,0,24.2,6.4,40.452,-19.288,0,-3.8,6.391,394.219,1/9/2013
18,18,0,0,0,0,0,10.84,28.923,2.24,38.938,0,0,3.1,2.1,0.472,52.142,50.172,0,4.147,25.439,0,0,0,6.08,0,0,23.885,24.678,23.899,23.927,22.138,18.738,0,0,0,5.2,0,0,24.3,6.1,38.904,-6.958,0,-1,7.599,447.443,1/9/2013
19,19,16.401,18.616,18.128,16.187,14.258,11.023,28.687,20.287,39.272,0,0,6.8,3.7,0.944,52.938,44.844,13.69,6.552,25.328,0,0,0,6.085,0,0,12.332,13.289,14.889,13.577,22.178,19.089,0,0,0,5.2,0,0,24.3,6,38.983,-2.808,0,10.5,11.188,504.961,1/9/2013
