,HORA,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC2,AMY1,AMY2,CEN,EEC,EEC20,PCHN,PNI1,PNI2,GSR,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN1 y 2,PEN3,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,TPC,LNI-L9040,AMY-L9030,TCPI-L9150,Demanda,Date
0,00,0,0,0,0,0,9.251,31.662,0,0,0,2.8,1.8,0,49.876,0,0,25.606,25.161,0,13.6,8,11.744,7.014,24.596,24.446,0,37.327,0,0,0,0,0,0,25.6,6.5,47.4,0,-.2,4.889,347.694,1/6/2012
1,01,0,0,0,0,0,9.309,0,0,0,0,0,0,0,50.024,0,0,25.829,25.411,0,13.6,8.1,14.862,18.922,24.364,24.214,0,37.847,0,0,0,0,0,0,25.5,6.5,47.4,7.08,-8.8,0.989,332.723,1/6/2012
2,02,0,0,0,0,0,9.265,0,0,0,0,0,0,0,49.876,0,0,25.773,25.244,0,13.949,8,6.905,12.059,24.61,24.2,0,37.667,0,0,0,0,0,0,25.6,6.5,47.4,6.47,-7.9,1.685,316.844,1/6/2012
3,03,0,0,0,0,0,9.324,0,0,0,0,0,0,0,49.95,0,0,25.745,25.495,0,14.196,8,8.395,8.614,24.651,24.323,0,37.778,0,0,0,0,0,0,25.6,6.5,47.4,4.273,-4.4,4.889,311.344,1/6/2012
4,04,0,0,0,0,0,9.28,0,0,0,0,0,0,0,49.654,0,0,25.745,25.495,0,14.3,8,11.184,12.032,24.569,24.323,0,37.807,0,0,0,0,0,0,25,6.5,47.4,5.737,-3.1,2.985,315.767,1/6/2012
5,05,0,0,0,0,0,9.243,0,0,0,0,0,0,0,49.876,0,0,25.745,25.467,0,13.7,8,23.803,24.391,24.665,24.255,0,36.597,0,0,0,0,0,0,25.3,6.5,47.4,12.085,-14.1,0,347.057,1/6/2012
6,06,0,0,0,0,0,9.492,11.925,0,0,0,0,0,0,48.988,0,0,25.745,25.384,0,13.4,8.1,23.229,23.995,24.583,24.323,0,37.317,0,0,0,0,0,0,25.6,6.5,38.2,-6.104,-2.6,4.999,350.586,1/6/2012
7,07,0,0,0,0,0,9.309,30.543,0,0,0,0,0,0,50.098,0,0,25.745,25.356,0,14,8,23.927,24.473,24.446,24.214,0,37.247,0,0,0,0,0,0,25.3,6.46,38.2,24.659,-19.001,-4.816,366.476,1/6/2012
8,08,0,0,0,0,0,7.727,30.543,22.946,40.441,0,0,0,0.512,49.802,0,0,25.745,25.356,0,13.9,8,15.272,21.93,24.72,24.378,0,37.377,0,0,0,0,0,0,25.2,6.46,47.4,22.34,-14.7,-2.6,422.669,1/6/2012
9,09,18.249,18.751,0,0,0,9.214,26.861,22.446,40.079,0,0.9,2,42.49,50.394,0,0,25.745,25.384,0,13.9,0,6.686,7.233,24.501,24.405,0,36.597,0,0,0,5.2,0,0,25.2,6.3,47.4,27.833,-16.2,-6.116,474.418,1/6/2012
10,10,18.445,18.677,0,0,0,9.221,27.155,21.431,40.386,0,0,0.5,50.232,50.024,0,0,25.801,25.718,0,13.8,0,13.016,13.7,24.473,24.296,0,37.527,0,0,0,5.2,0,0,24.9,6.23,40,-3.296,0.5,10.291,483.237,1/6/2012
11,11,18.306,0,18.043,0,0,7.698,26.861,22.479,40.024,0,3.8,2.6,52.078,50.098,0,0,25.801,25.718,0,13.5,0,13.891,14.834,24.706,24.323,0,36.127,0,0,0,5.2,0,0,24.6,6.15,47.4,-6.47,-3.5,11.792,502.415,1/6/2012
12,12,0,0,18.25,0,0,7.764,31.898,22.366,41.777,0,1.6,1.4,52.324,50.246,0,0,25.801,25.634,0,13.6,0,16.079,16.694,24.637,24.323,0,36.148,0,0,0,5.2,0,0,24.8,6.23,47.4,-1.221,-7.5,3.186,499.706,1/6/2012
13,13,0,0,0,0,0,9.009,26.507,21.947,40.302,0,0.1,0.1,51.679,49.062,0,0,25.801,25.551,0,13.8,0,23.653,24.555,24.596,24.323,0,37.197,0,0,0,5.2,0,0,24.7,6.13,47.4,-25.025,0.4,13.092,493.145,1/6/2012
14,14,15.603,0,18.458,0,0,9.141,26.919,22.865,38.688,0,0,0,52.168,49.876,0,0,25.801,25.189,0,13.6,0,14.151,15.026,24.651,24.296,0,36.387,0,0,0,5.2,0,0,24.8,6.15,47.4,-3.296,1.7,10.694,487.271,1/6/2012
15,15,13.208,0,17.933,0,0,9.024,26.713,24.187,38.409,0,0,0,51.14,50.172,0,0,25.439,25.551,0,13.2,0,14.793,17.104,24.637,24.296,0,36.058,0,0,0,5.2,0,0,24.9,6.15,47.4,-16.114,8.8,17.194,485.634,1/6/2012
16,16,0,0,4.7,0,0,8.994,28.039,23.784,40.358,0,0,0,47.409,48.544,0,0,25.411,25.161,0,22.7,0,21.042,22.464,24.747,24.583,0,36.797,0,0,0,0,0,0,24.8,6.23,47.4,-43.214,12.9,23.896,489.581,1/6/2012
17,17,0,0,0,0,0,9.126,28.422,24.219,39.996,0,0,0,8.406,49.802,0,0,25.411,25.189,0,24.2,8.5,23.079,24.118,24.596,24.46,0,36.648,0,0,0,0,0,0,24.6,6.15,47.4,-15.259,1.1,11.884,456.597,1/6/2012
18,18,0,0,0,0,0,9.053,28.422,24.171,40.246,0,0,0,25.405,50.024,0,0,25.411,25.606,0,22.619,8.976,20.796,20.946,24.596,24.391,0,36.837,0,0,0,0,0,0,24.8,6.15,47.4,0,-3.1,10.291,458.663,1/6/2012
