,HORA,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC2,AMY1,AMY2,CEN,EEC,EEC20,PCHN,PNI1,PNI2,GSR,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN1 y 2,PEN3,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,TPC,LNI-L9040,AMY-L9030,TCPI-L9150,Demanda,Date
0,00,0,0,0,0,0,0,0,0,0,0,39.001,22.501,0,50.764,16.28,0,25.773,25.523,0,33.041,15.972,8.805,7.301,0,0,2.874,38.288,0,0,0,0,0,0,19,6.15,43.071,-21.607,24.401,7.086,344.464,1/3/2012
1,01,0,0,0,0,0,0,0,0,0,0,38.501,22.501,0,49.358,0,0,25.411,25.551,0,32.367,16.5,9.639,7.629,0,0,2.83,38.237,0,0,0,0,0,0,19.2,6.2,42.952,-33.57,26.701,10.694,333.051,1/3/2012
2,02,0,0,0,0,0,0,0,0,0,0,38.701,22.501,0,48.766,0,0,25.523,25.384,0,33.378,15.18,7.233,6.891,0,0,2.584,37.898,0,0,0,0,0,0,19,6.2,42.952,-35.646,27.501,10.584,329.752,1/3/2012
3,03,0,0,0,0,0,0,0,0,0,0,39.601,22.501,0,50.468,16.65,0,25.523,25.745,0,32.794,17.424,9.461,10.063,15.149,0,2.54,39.368,0,0,0,0,0,0,19,6.2,0,-26.612,28.101,10.895,320.103,1/3/2012
4,04,0,0,0,0,0,0,0,0,0,0,35.201,22.601,0,50.468,16.28,0,25.885,25.467,0,31.379,13.86,17.514,18.963,14.766,0,2.681,37.617,0,0,0,0,0,0,19,6.2,0,-31.495,26.601,11.39,331.386,1/3/2012
5,05,0,0,0,0,0,0,0,0,0,0,37.201,22.401,0,44.548,14.282,0,25.885,25.829,0,32.614,14.52,11.198,9.283,15.833,0,2.584,39.188,0,0,0,0,0,0,19.2,6.23,42.791,-31.617,25.701,8.588,360.915,1/3/2012
6,06,0,0,0,0,0,0,0,0,0,0,37.301,20.501,0,50.024,16.502,0,25.885,25.495,0,35.512,20.724,14.602,16.803,15.149,0,1.081,39.018,0,0,0,0,0,0,19,6.23,42.92,-27.955,29.001,10.895,374.806,1/3/2012
7,07,0,0,0,0,0,0,0,0,0,0,37.401,22.501,16.246,50.764,16.724,0,25.885,25.467,0,32.277,13.2,10.705,9.639,15.942,0,2.628,38.727,0,0,0,0,0,0,19,6.23,47.951,-7.813,20.401,2.289,376.41,1/3/2012
8,08,0,0,0,0,0,0,0,0,0,0,37.401,22.601,49.239,50.32,16.428,0,25.523,25.745,0,33.131,17.424,11.868,7.287,15.586,0,2.725,39.068,0,0,0,0,0,0,19,6.15,48.087,-26.734,30.101,8.899,415.317,1/3/2012
9,09,0,0,0,0,0,12.349,0,0,39.411,0,39.201,22.601,51.302,50.69,16.65,0,25.523,25.523,0,31.312,15.84,7.069,6.262,14.424,0,2.593,38.317,0,0,0,0,0,0,19,5.92,48.156,-26.978,23.701,5.988,469.432,1/3/2012
10,10,0,0,0,0,0,12.488,0,0,39.439,0,38.501,22.501,51.322,50.616,16.576,0,25.662,25.662,0,31.379,16.896,21.383,21.753,21.069,0,1.565,38.628,0,0,0,0,0,0,19,5.67,48.156,-21.729,20.501,8.991,500.503,1/3/2012
11,11,0,0,0,0,0,12.591,0,0,39.606,0,39.001,22.401,51.295,50.542,16.724,0,25.662,25.578,0,32.794,18.084,18.485,20.167,15.737,16.051,2.61,38.198,0,0,0,0,0,0,19,5.5,48.156,-6.226,19.901,5.988,498.519,1/3/2012
12,12,0,0,0,0,0,12.657,0,0,41.582,0,38.901,22.601,54.637,51.06,16.798,0,25.662,25.578,0,29.762,16.5,18.704,16.885,16.325,16.557,2.76,38.657,0,0,0,0,0,0,19,5.45,48.156,3.906,11.5,-1.611,504.437,1/3/2012
13,13,0,0,0,0,0,12.268,30.602,0,38.743,0,32.001,20.901,54.73,50.32,16.502,0,25.662,25.578,0,31.491,17.292,3.459,16.12,14.288,0,2.584,38.307,0,0,0,0,0,0,19.2,5.4,38.523,-41.139,21.101,12.085,501.924,1/3/2012
14,14,0,0,0,0,0,11.91,30.248,0,38.743,0,29.501,21.001,54.496,50.394,16.428,0,25.272,25.189,0,31.401,17.292,18.745,20.358,16.981,0,2.584,29.148,0,0,0,0,0,0,19,5.36,38.638,-33.448,23.001,12.799,500.337,1/3/2012
15,15,0,0,0,0,0,12.159,30.16,0,39.022,0,33.701,22.201,54.337,50.542,16.724,0,25.578,25.189,0,31.671,19.932,18.909,19.88,16.981,16.981,2.681,4.18,0,0,0,0,0,0,19.2,5.5,48.37,-1.953,13.4,-1.703,504.154,1/3/2012
16,16,0,0,0,0,0,12.071,29.011,0,40.358,0,38.901,22.401,54.387,50.172,16.65,0,25.69,25.606,0,32.165,14.52,16.379,15.313,14.862,15.368,2.663,0,0,0,0,0,0,0,19.2,5.44,48.37,-14.771,14,1.392,498.906,1/3/2012
17,17,0,0,0,0,0,12.818,31.014,0,41.61,0,37.401,22.501,54.516,50.764,16.576,0,25.801,25.551,0,38.409,19.536,20.057,22.915,0,0,2.804,5.609,0,0,0,0,0,0,19.3,5.6,48.37,27.589,16.201,1.593,455.769,1/3/2012
18,18,0,0,0,0,0,12.415,30.455,0,41.109,0,39.001,22.501,13.188,51.948,16.724,0,25.801,25.551,0,28.01,17.16,0,7.547,0,0,2.496,38.787,0,0,0,0,0,0,20.2,5.67,48.116,-31.251,15.6,1.685,460.645,1/3/2012
19,19,0,0,0,0,0,12.598,30.838,24.171,41.638,0,39.301,22.601,54.353,50.838,16.724,0,25.885,25.606,0,33.356,17.556,8.627,8.86,15.504,0,2.575,38.607,0,0,0,0,0,0,20,5.76,48.116,-17.335,10.7,0.293,549.856,1/3/2012
