,AMY-L9030,AMY1,AMY2,CEN,Date,Demanda,EEC,EEC20,EOL,GSR,HORA,LNI-L9040,MTR,NSL,PBP,PCA1,PCA2,PCF1,PCF2,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PEN3,PEN4,PHC1,PHC2,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,PNI1,PNI2,SND-L9090,TCPI-L9150,TPC
5,-1.8,23.101,12.3,0,10/7/2013,377.999,51.282,16.576,0,0,05,-12.818,13.477,10.296,9.82,25.294,0,0,0,0,0,0,2.71,0,10.247,0,0,0,27.148,32.037,0,0,0,0,0,0,0,0,20,5.6,25.606,0,0,0,47.809
6,23.701,16.801,8.7,0,10/7/2013,359.927,50.986,16.132,0,0,06,-20.875,13.342,9.108,12.184,0,18.006,0,0,0,0,0,2.588,0,9.822,29.394,0,0,26.478,31.938,0,0,0,0,0,0,0,0,20,5.6,25.662,0,0,17.597,50.513
7,7,11.9,10.4,46.337,10/7/2013,385.886,51.208,16.798,0,0,07,6.836,13.612,10.824,22.953,0,6.686,0,0,0,0,0,2.661,0,10.071,31.662,0,0,25.459,31.857,0,0,0,0,0,0,0,0,20,5.6,25.523,0,0,2.087,50.023
8,0.7,31.301,19.401,46.054,10/7/2013,464.354,51.06,16.65,0,0,08,12.696,13.14,10.032,23.321,16.872,17.856,0,15.231,0,0,0,2.698,0,10.144,31.957,0,0,25.549,31.768,0,0,0,0,0,0,0,0,20,5.6,25.801,0,0,0,47.232
9,-5.8,12.3,10,46.162,10/7/2013,526.807,51.874,16.798,0,0,09,6.226,13.073,9.636,5.566,21.479,22.518,23.612,22.682,6.835,0,0,2.661,0,10.218,31.78,12.359,36.962,25.589,31.598,0,0,0,0,0,5.2,0,0,20,5.6,25.634,0,0,0,41.922
10,-3.6,13.7,9.5,46.911,10/7/2013,529.302,51.356,16.65,0,0,10,8.911,13.23,9.768,4.147,17.295,18.102,16.694,16.256,18.558,18.323,0,2.649,0,10.181,32.546,19.385,35.932,25.498,31.328,0,0,0,0,0,5.2,0,0,20,5.6,25.551,0,0,0,44.786
11,-3.9,4.8,3.6,47.388,10/7/2013,536.025,50.69,16.65,0,0,11,6.104,12.893,9.504,6.302,19.032,20.18,17.788,23.503,18.361,18.702,4.309,2.637,0,10.005,32.104,18.853,36.628,25.198,31.728,0,0,0,0,0,5.2,0,0,20,5.6,25.912,0,0,4.688,46.979
12,2,3.1,3.7,53.377,10/7/2013,450.547,45.436,13.69,0,0,12,10.01,12.915,11.088,5.513,8.094,8.901,0,0,16.807,18.555,16.688,2.6,0,9.969,32.104,18.901,34.346,25.459,32.018,0,0,0,0,0,5.2,0,0,20,5.6,25.745,0,0,7.984,43.204
13,-5.2,2.8,2.7,50.196,10/7/2013,508.295,51.43,16.798,0,0,13,8.179,13.499,10.692,8.613,19.21,19.989,17.131,0,0,18.567,16.834,2.686,0,10.093,32.458,19.159,34.095,25.759,31.458,0,0,0,0,0,5.2,0,0,20,5.6,25.773,0,0,0,44.592
14,-4.2,0,0,50.005,10/7/2013,528.43,50.542,16.132,0,0,14,3.418,12.556,10.956,0.945,21.903,22.901,21.424,19.893,0,18.336,16.7,2.649,0,9.683,31.515,18.966,34.763,25.308,31.817,0,0,0,0,0,5.2,0,0,20,5.6,25.69,0,0,7.691,50.367
15,-7.8,0,0,50.372,10/7/2013,509.27,51.726,16.724,0,0,15,10.01,13.14,10.824,0,18.266,19.128,17.213,16.721,18.445,18.494,0,2.71,0,9.837,31.957,18.982,34.318,25.308,31.978,0,0,0,0,0,5.2,0,0,20,5.6,25.801,0,0,6.098,47.954
16,-5.7,0,0,50.339,10/7/2013,505.624,51.652,16.946,0,0,16,6.714,13.365,8.844,0,20.167,21.042,20.098,18.43,18.572,0,0,2.71,0,9.932,33.165,18.998,34.485,24.638,31.698,0,0,0,0,0,5.2,0,0,20,5.6,25.801,0,0,4.889,48.556
17,-3.3,15.401,8,50.329,10/7/2013,459.059,51.652,16.946,0,0,17,7.569,5.975,10.296,0,9.01,9.598,17.938,16.407,0,0,0,2.71,0,9.991,33.724,10.957,36.266,26.319,32.008,0,0,0,0,0,5.2,0,0,20,5.6,25.801,0,0,0,37.863
18,16.201,2.5,3.4,50.049,10/7/2013,453.833,50.764,16.576,9.856,0,18,-12.452,13.05,10.428,0,15.887,17.008,17.678,0,0,0,0,2.661,0,9.903,34.078,0,36.044,26.279,31.828,0,0,0,0,0,5.2,0,0,20,5.6,25.745,0,0,18,47.462
19,-3.4,11.8,7.4,50.236,10/7/2013,543.045,51.282,16.65,14.634,0,19,8.423,13.342,9.9,6.353,14.055,15.081,16.872,15.532,0,19.556,17.676,2.661,0,10.152,33.931,20.255,36.211,25.889,32.028,0,0,0,0,0,5.2,0,0,20,5.6,25.718,0,0,0,40.504
20,-6.5,0,0,50.832,10/7/2013,532.665,51.356,16.946,6.15,0,20,6.592,13.387,10.296,3.622,19.524,20.44,19.114,17.801,0,18.812,15.674,2.698,0,10.093,33.96,20.255,36.322,25.628,31.437,0,0,0,0,0,5.2,0,0,20,5.6,25.022,0,0,2.582,50.161
21,0,2.1,1.8,49.423,10/7/2013,496.053,50.69,16.724,7.263,0,21,0,13.612,9.9,1.207,17.008,18.02,18.211,0,0,4.736,15.491,2.637,0,9.969,32.104,19.997,35.793,25.578,31.598,0,0,0,0,0,5.2,0,0,20,5.6,25.996,0,0,7.691,45.486
22,4.2,0,0,43.118,10/7/2013,430.054,51.652,16.798,0,0,22,-11.963,13.679,9.636,0,7.41,8.176,0,0,0,0,0,2.649,0,10.13,32.9,20.513,36.405,25.688,31.647,0,0,0,0,0,5.2,0,0,20,5.6,25.189,0,0,14.997,48.418
23,-1.4,0,0,42.916,10/7/2013,396.086,51.356,16.872,0,0,23,-14.893,13.612,9.9,2.1,11.635,12.551,0,0,0,0,0,2.698,0,8.892,32.31,0,0,26.518,31.578,0,0,0,0,0,0,0,0,20,5.6,26.052,0,0,8.496,48.873
0,5.2,14.8,7.9,2.066,11/7/2013,377.192,43.956,14.208,17.661,0,00,-12.574,13.499,9.372,18.278,0,7.547,0,0,0,0,0,2.722,0,9.851,32.841,0,0,25.948,31.737,0,0,0,0,0,0,0,0,19.1,5.6,25.384,0,0,-7.013,37.529
1,6.5,15.501,6.3,0,11/7/2013,359.251,52.614,16.206,12.806,0,01,-15.259,13.612,10.032,4.358,0,7.11,0,0,0,0,0,2.673,0,9.192,19.555,0,0,26.438,31.737,0,0,0,0,0,0,0,0,19,5.6,25.885,0,0,1.099,47.411
2,2,14.6,10.9,0,11/7/2013,356.977,51.208,16.872,15.977,0,02,-10.62,13.634,10.164,7.089,0,6.781,0,0,0,0,0,2.698,0,8.811,0.33,0,0,26.528,31.698,0,0,0,0,0,0,0,0,19.3,5.65,25.495,0,0,-4.303,49.447
3,31.201,33.601,19.601,0,11/7/2013,351.381,43.438,13.838,27.111,0,03,-19.532,13.275,9.372,25.317,0,0,0,0,0,0,0,2.673,0,5.479,0.33,0,0,26.258,31.907,0,0,0,0,0,0,0,0,19.1,5.75,25.69,0,0,-2.71,30.115
4,-9.3,15.301,11.4,0,11/7/2013,357.957,50.394,0,18.967,0,04,-8.179,13.657,10.56,22.532,23.051,23.872,0,0,0,0,0,2.71,0,0,0.33,0,0,25.798,31.888,0,0,0,0,0,0,0,0,19.2,5.67,25.578,0,0,-18.915,0
5,11.2,17.601,11.9,0,11/7/2013,380.916,51.06,16.724,22.6,0,05,-22.828,13.477,10.428,10.346,0,24.884,0,0,0,0,0,2.71,0,9.397,0.33,0,0,26.308,31.588,0,0,0,0,0,0,0,0,18.9,5.84,25.662,0,0,-2.6,35.978
6,12.4,20.901,15.1,0,11/7/2013,377.124,44.252,14.208,22.246,0,06,-11.231,13.702,10.428,15.599,0,0,0,0,0,0,0,2.698,0,10.086,31.81,0,0,26.348,31.668,0,0,0,0,0,0,0,0,18,5.52,25.495,0,0,-7.306,38.6
7,-8.5,6.4,5.6,32.061,11/7/2013,401.053,51.726,17.02,15.188,0,07,11.231,13.342,10.164,11.291,1.695,25.089,0,0,0,0,0,2.698,0,10.291,32.428,0,0,26.088,32.058,0,0,0,0,0,0,0,0,18,5.51,25.495,0,0,-11.408,50.232
8,-13.2,3.6,3.2,46.339,11/7/2013,481.312,51.726,16.872,4.491,0,08,10.987,13.499,11.088,2.415,23.913,24.596,23.257,22.122,0,0,0,2.722,0,10.276,32.193,0,13.638,25.408,32.068,0,0,0,0,0,0,0,0,20,5.67,25.551,0,0,-5.31,50.356
9,5.1,10,7.4,46.664,11/7/2013,501.422,50.542,16.502,12.932,0,09,5.249,13.028,10.56,6.932,21.821,22.682,15.846,15.163,0,0,0,2.185,0,9.903,31.191,17.387,34.513,26.098,32.178,0,0,0,0,0,5.2,0,0,19.5,5.44,25.022,0,0,6.995,48.422
10,-1.8,12.5,8.9,43.026,11/7/2013,532.648,51.504,16.872,14.047,0,10,13.306,13.499,10.824,13.708,23.216,23.94,20.741,22.669,0,0,0,2.673,0,10.02,31.545,17.596,34.429,25.178,32.258,0,0,0,0,0,5.2,0,0,20,5.44,25.328,0,0,-3.9,49.877
11,-1.3,6.6,5.3,52.791,11/7/2013,553.006,51.134,16.724,15.047,0,11,3.418,13.028,9.24,8.14,20.727,21.616,16.639,15.45,16.751,18.677,0,2.722,0,10.056,31.78,17.773,34.93,25.249,32.058,0,0,0,0,0,5.2,0,0,19.4,5.43,25.662,0,0,1.392,50.234
12,-5.9,2.6,2.6,48.641,11/7/2013,529.906,50.542,16.65,7.115,0,12,8.911,13.455,0,2.887,19.292,20.153,18.458,22.901,16.933,18.604,9.339,2.661,0,9.969,29.806,17.548,34.401,25.368,33.058,0,0,0,0,0,5.2,0,0,19.4,5.25,25.662,0,0,1.099,47.32
13,-4.7,5.2,3.6,52.262,11/7/2013,509.412,51.356,17.02,10.994,0,13,11.841,13.455,0,6.879,16.366,17.405,0,16.256,16.947,18.677,16.822,2.698,0,10.115,31.721,17.838,34.346,25.289,32.048,0,0,0,0,0,5.2,0,0,19,5.2,25.718,0,0,0.787,44.928
14,-5.3,1.8,0.7,48.481,11/7/2013,521.167,51.504,16.946,6.796,0,14,12.207,13.163,0,1.838,23.161,23.913,0,25.007,17.073,18.714,16.785,0,0,10.218,31.368,17.902,34.513,24.899,32.337,0,0,0,0,0,5.2,0,0,19.5,5.27,25.773,0,0,-.201,50.306
15,-4.3,1,1.6,48.75,11/7/2013,497.099,52.244,17.094,6.301,0,15,6.47,13.028,0,1.733,18.649,19.674,0,0,16.933,18.799,16.907,0,0,10.056,31.073,17.886,34.875,24.769,32.467,0,0,0,0,0,5.2,0,0,18.5,5.32,25.69,0,0,0.696,50.494
16,0.5,11.7,4.6,48.377,11/7/2013,517.382,51.874,16.872,7.418,0,16,0,12.826,8.976,9.611,13.372,14.534,0,0,18.278,18.665,16.663,0,0,9.807,30.572,17.612,34.374,24.838,32.108,0,0,0,0,0,5.2,0,0,20,6,25.94,0,0,-1.3,47.713
17,-11.5,0.3,0.1,47.23,11/7/2013,480.803,53.576,17.686,1.299,0,17,14.283,13.252,10.428,0.84,20.741,21.52,0,16.708,18.516,0,0,0,0,10.833,32.635,17.806,35.181,24.968,32.128,0,0,0,0,0,5.2,0,0,19.6,6,25.578,0,0,2.49,50.454
18,2.2,1.2,1.3,48.825,11/7/2013,475.111,51.578,16.576,12.712,0,18,2.564,13.252,10.032,8.14,18.102,19.073,0,15.778,0,0,0,0,0,11.206,32.369,17.677,34.763,25.608,32.028,0,0,0,0,0,5.2,0,0,19.6,6.13,25.829,0,0,6.299,45.801
19,-9.1,0,0,42.364,11/7/2013,540.893,51.874,16.946,3.404,0,19,12.207,13.342,9.768,0.63,21.712,22.669,19.797,18.758,19.342,19.495,19.251,0,0,11.778,33.047,17.79,34.875,25.209,31.628,0,0,0,0,0,5.2,0,0,19.4,6.22,25.69,0,0,3.589,49.746
20,-13.3,0.1,0,42.148,11/7/2013,519.768,51.8,16.946,0.45,0,20,10.987,13.342,9.768,0,15.573,16.694,19.442,17.952,18.306,18.726,17.151,0,0,10.899,32.664,17.935,35.125,25.518,31.708,0,0,0,0,0,5.2,0,0,20.2,6.3,25.662,0,0,2.692,46.922
21,-7.4,0.1,0,42.241,11/7/2013,456.784,51.726,17.168,-.183,0,21,11.231,13.342,10.824,0,12.661,13.754,0,0,18.348,11.536,18.384,0,0,10.013,32.517,18.628,34.902,27.177,31.777,0,0,0,0,0,5.2,0,0,19.9,6.21,25.718,0,0,5.896,39.578
22,-.2,0.1,0,43.744,11/7/2013,391.401,51.504,16.946,0,0,22,-9.033,13.657,10.032,0,5.92,6.713,0,0,0,0,0,0,0,10.086,32.458,7.992,20.068,26.038,31.978,0,0,0,0,0,5.2,0,0,19.6,6.25,25.662,0,0,12.085,38.762
23,-2.8,0.1,0,45.767,11/7/2013,369.813,49.876,0,0,0,23,-14.405,13.589,10.164,0,8.354,9.16,0,0,0,0,0,0,0,8.987,32.9,8.975,0,25.798,31.958,0,0,0,0,0,0,0,0,19.3,6.18,25.773,0,0,9.687,37.865
0,-17.601,0.1,0,36.466,12/7/2013,342.4,50.394,0,1.28,0,00,8.789,13.657,11.22,0,0,9.325,0,0,0,0,0,0,0,10.305,33.283,5.882,0,25.688,31.978,0,0,0,0,0,0,0,0,18.8,5.95,25.467,0,0,0.494,47.164
1,4.1,0.1,0.1,35.606,12/7/2013,337.633,49.284,0,2.539,0,01,-9.888,13.612,10.032,1.627,0,13.563,0,0,0,0,0,0,0,10.203,32.988,0,0,25.509,31.828,0,0,0,0,0,0,0,0,18.3,5.92,25.718,0,0,12.983,48.984
2,-10,0.2,0.1,16.529,12/7/2013,341.9,51.578,16.872,3.152,0,02,3.296,13.477,10.692,1.523,0,8.162,0,0,0,0,0,0,0,10.218,32.988,0,0,26.208,31.788,0,0,0,0,0,0,0,0,19.5,5.92,25.773,0,0,0.787,49.84
3,-8.4,0.2,0,16.504,12/7/2013,320.865,51.504,16.798,0,0,03,10.987,13.387,10.164,1.05,0,16.038,0,0,0,0,0,0,0,10.034,32.576,0,0,26.539,31.698,0,0,0,0,0,0,0,0,19.4,6.15,25.745,0,0,1.886,47.551
4,2.2,0.2,0.1,26.588,12/7/2013,334.156,51.578,16.724,3.948,0,04,0,13.252,10.164,0,0,11.047,0,0,0,0,0,0,0,10.1,32.752,0,0,26.208,31.618,0,0,0,0,0,0,0,0,19,6.22,25.885,0,0,10.492,47.447
5,-3.8,0.2,0,37.158,12/7/2013,363.704,51.948,16.946,0,0,05,0,13.522,10.56,0,0,24.843,0,0,0,0,0,0,0,10.13,33.017,0,0,25.688,31.618,0,0,0,0,0,0,0,0,19.2,6.25,25.69,0,0,6.482,49.939
6,-10.3,0.2,0,49.47,12/7/2013,359.995,51.8,16.798,0,0,06,10.498,13.589,10.032,1.155,0,13.139,0,0,0,0,0,0,0,10.02,32.576,0,0,26.088,31.918,0,0,0,0,0,0,0,0,19.3,6.25,25.912,0,0,-1.117,47.094
7,5.9,0.3,2,51.863,12/7/2013,384.448,51.504,16.65,8.171,0,07,0,13.522,10.032,1.732,15.286,16.639,0,0,0,0,0,0,0,9.939,32.222,0,0,25.608,32.167,0,0,0,0,0,0,0,0,19,6,25.885,0,0,9.687,46.335
8,-14.7,2.6,0.1,49.51,12/7/2013,460.371,52.096,16.872,2.096,0,08,9.522,13.634,11.352,1.838,23.927,23.024,0,18.43,0,0,0,0,0,10.298,31.898,0,34.429,24.739,31.788,0,0,0,0,0,0,0,0,19,5.9,25.773,0,0,-4.907,45.578
9,9.8,7.8,2.7,0,12/7/2013,497.576,52.762,16.798,7.883,0,09,13.794,13.207,10.164,19.433,23.79,23.134,23.844,22.559,7.087,0,13.269,0,0,9.317,30.013,16.807,0,35.278,0,0,0,0,0,0,5.2,0,0,18.7,5.67,26.246,0,0,0,47.576
10,-2.1,8.8,7.8,47.937,12/7/2013,514.601,51.134,16.798,18.817,0,10,11.841,13.207,10.296,6.039,8.012,9.024,15.409,15.737,18.319,17.054,16.7,0,0,8.709,29.659,16.533,34.568,37.348,7.09,0,0,0,0,0,5.2,0,0,19.6,5.51,25.773,0,0,-4.907,48.362
11,-.5,3.7,2.4,52.821,12/7/2013,533.29,50.986,16.724,7.858,0,11,0,13.207,10.56,3.046,17.118,18.362,15.368,14.629,17.409,17.029,16.529,0,0,8.423,29.041,15.872,32.286,25.398,31.098,0,0,0,0,0,5.2,0,0,19,5.44,25.718,0,0,4.285,47.717
12,-2.5,0.6,0.9,49.222,12/7/2013,522.716,51.356,16.724,4.334,0,12,9.4,13.207,11.088,0,19.565,20.536,16.776,16.844,18.333,17.188,16.7,0,0,8.54,30.896,17.161,33.177,25.298,31.508,0,0,0,0,0,5.2,0,0,19.5,5.44,25.662,0,0,-.513,47.717
13,3.9,0.3,0.5,52.961,12/7/2013,504.296,51.282,16.872,2.81,0,13,-5.737,13.207,10.956,0,16.352,17.514,0,16.448,18.249,16.932,8.643,0,0,9.661,32.016,17.29,33.149,26.109,31.728,0,0,0,0,0,5.2,0,0,19.2,5.36,25.69,0,0,11.884,48.061
14,1.3,0,0,46.204,12/7/2013,513.017,51.06,16.872,0,0,14,5.371,12.107,9.24,0,23.968,23.038,23.339,20.645,18.6,17.042,0,0,0,9.895,31.073,17.773,35.181,25.198,31.987,0,0,0,0,0,5.2,0,0,19.3,5.51,26.107,0,0,10.987,47.932
15,-4.5,0,0,49.778,12/7/2013,522.597,51.208,16.872,0,0,15,6.592,13.23,10.692,0,22.231,22.846,23.407,19.838,18.6,17.029,0,0,0,9.976,30.072,18.644,34.095,25.438,31.718,0,0,0,0,0,5.2,0,0,19.3,5.74,25.634,0,0,7.398,47.932
16,-1.8,0,0,48.297,12/7/2013,502.4,51.504,16.872,0,0,16,42.848,13.05,10.164,0,19.073,20.003,23.216,22.6,18.361,17.188,16.834,18.592,0,9.888,31.692,19.401,0,25.119,32.018,0,0,0,0,0,5.2,0,0,18.3,5.67,25.69,0,0,1.794,48.091
17,-.6,0,0,46.693,12/7/2013,473.102,50.912,16.576,0,0,17,-4.028,13.477,10.164,0,20.235,20.809,15.915,14.219,18.236,17.103,3.638,0,0,9.771,30.396,18.563,0,24.779,31.838,0,0,0,0,0,5.2,0,0,18.2,5.6,25.328,0,0,17.396,47.976
18,2.6,0.3,0.3,40.109,12/7/2013,465.013,51.43,16.872,2.463,0,18,0,13.477,10.032,0,13.659,14.643,15.778,14.356,18.432,0,0,0,0,10.064,30.985,19.079,35.626,24.998,31.817,0,0,0,0,0,5.2,0,0,18.3,5.76,25.411,0,0,14.686,47.976
19,-7.6,0.2,0.1,46.548,12/7/2013,548.405,51.726,16.946,0.827,0,19,16.968,13.612,10.032,0,24.05,23.051,22.997,22.573,18.418,17.225,18.311,17.042,0,10.144,31.191,19.127,34.318,25.608,32.228,0,0,0,0,0,5.2,0,0,19.3,5.99,25.634,0,0,2.582,47.976
20,-.3,0.2,0,43.207,12/7/2013,536.008,51.208,16.798,0,0,20,2.93,13.499,9.9,0,21.835,22.792,15.381,14.014,18.333,17.017,18.397,18.189,0,9.983,30.926,18.982,34.596,25.339,32.198,0,0,0,0,0,5.2,0,0,19.4,5.99,26.024,0,0,9.192,47.976
21,-2.7,0.2,0,46.546,12/7/2013,487.185,51.356,16.872,0,0,21,6.226,13.499,9.768,0,22.969,23.188,16.12,14.247,0,0,14.551,0,0,10.013,31.103,20.078,34.624,25.948,31.708,0,0,0,0,0,5.2,0,0,19.3,5.99,25.829,0,0,10.694,47.977
22,-2.1,0.2,0,46.396,12/7/2013,428.946,51.652,16.798,0,0,22,3.784,13.499,9.636,0,24.009,23.065,0,0,0,0,0,0,0,10.093,31.25,4.093,34.763,26.058,32.158,0,0,0,0,0,5.2,0,0,18.6,6.05,25.718,0,0,7.196,49.771
23,-7.7,0.2,0,46.57,12/7/2013,399.127,51.208,16.724,0,0,23,6.714,13.365,9.9,0,10.924,11.909,0,0,0,0,0,0,0,10.108,31.073,5.672,34.234,25.448,31.638,0,0,0,0,0,5.2,0,0,19,6,25.662,0,0,2.692,37.969
0,-10.2,0.2,0,46.536,13/7/2013,371.755,51.06,16.798,0,0,00,8.545,13.6,10.7,0,14.684,15.682,0,0,0,0,0,0,0,10.1,31.456,0,3.089,25.318,31.888,0,0,0,0,0,5.2,0,0,18.4,6,25.69,0,0,0.385,38.508
1,-5,0.2,0,46.611,13/7/2013,353.489,51.134,16.872,0,0,01,5.86,13.7,10.9,0,12.1,13.139,0,0,0,0,0,0,0,10.232,31.486,0,0,25.188,31.898,0,0,0,0,0,0,0,0,18,6,25.634,0,0,5.695,37.895
2,-3.3,0.2,0,46.651,13/7/2013,340.491,51.578,16.946,0,0,02,7.935,13.6,10.1,0,7.588,8.463,0,0,0,0,0,0,0,10.137,31.456,0,0,25.308,31.898,0,0,0,0,0,0,0,0,19.5,6.15,25.662,0,0,5.182,37.27
3,-.5,0.2,0,46.344,13/7/2013,343.224,50.986,6.364,0,0,03,0,13.8,11.6,0,10.241,10.993,0,0,0,0,0,0,0,9.976,31.397,0,0,24.998,31.718,0,0,0,0,0,0,0,0,19.5,6.15,25.578,0,0,8.496,37.925
4,-5.2,0.2,0,46.289,13/7/2013,345.808,51.726,17.02,0,0,04,4.883,13.7,10.6,0,7.848,8.791,0,0,0,0,0,0,0,10.181,31.397,0,0,26.019,31.588,0,0,0,0,0,0,0,0,19.4,6.07,25.606,0,0,5.383,36.931
5,-.4,0.2,0,40.223,13/7/2013,364.639,51.726,17.168,0,0,05,1.465,13.6,10.4,0,18.909,19.962,0,0,0,0,0,0,0,10.152,31.103,0,0,25.238,32.037,0,0,0,0,0,0,0,0,19.5,6.16,25.606,0,0,7.086,37.274
6,-7.1,0.2,0,40.253,13/7/2013,346.799,51.652,16.724,0,0,06,10.743,13,10.9,0,11.963,13.002,0,0,0,0,0,0,0,9.976,31.191,0,0,25.618,32.008,0,0,0,0,0,0,0,0,19.5,6.07,25.773,0,0,1.685,38.016
7,-9.5,0.2,0,40.178,13/7/2013,375.717,51.948,17.168,0,0,07,10.743,13.9,10.9,0,14,15.149,18.266,0,0,0,0,0,0,10.203,31.427,0,0,25.098,32.158,0,0,0,0,0,0,0,0,19.5,6,25.69,0,0,1.392,40.268
8,-2.2,0.2,0,40.741,13/7/2013,413.136,51.8,16.872,0,0,08,3.662,13.5,10.1,0,23.229,24.241,20.536,18.977,0,0,0,0,0,10.144,31.162,0,0,25.148,32.018,0,0,0,0,0,0,0,0,19.3,5.92,25.745,0,0,5.988,40.305
9,-1.3,0.2,0,40.681,13/7/2013,437.986,51.06,16.428,0,0,09,10.498,13.1,10,0,21.397,22.217,23.093,22.382,0,0,0,0,0,10.049,30.572,0,34.401,25.029,32.108,0,0,0,0,0,5.2,0,0,19.1,5.29,25.801,0,0,10.089,40.247
10,-10.5,0,0.3,40.474,13/7/2013,452.316,51.43,16.872,6.544,0,10,16.48,13,10.428,0,19.004,20.071,23.024,22.395,0,0,0,0,0,10.254,31.427,3.626,33.121,25.108,32.028,0,0,0,0,0,5.2,0,0,18.5,5.4,25.718,0,0,-4.212,40.188
11,-4.9,0,0,39.473,13/7/2013,461.811,51.652,17.02,0,0,11,10.01,13.2,10,0,16.352,17.391,22.587,22.423,0,0,0,0,0,10.071,31.338,19.546,33.9,25.198,32.167,0,0,0,0,0,5.2,0,0,20.2,5.4,25.718,0,0,5.383,46.455
12,-2.4,0,0,40.468,13/7/2013,449.073,51.652,16.798,0,0,12,6.714,13.1,10,0,14.219,14.999,19.073,18.827,0,0,0,0,0,9.91,30.838,19.32,34.151,25.209,32.158,0,0,0,0,0,5.2,0,0,19.5,5.36,25.578,0,0,3.296,46.908
13,-2.5,0,0,36.907,13/7/2013,446.352,51.504,16.798,0.346,0,13,0,13.3,10,0,12.387,13.399,16.817,17.911,0,0,0,0,0,9.815,30.425,17.435,34.568,25.218,32.207,0,0,0,0,0,5.2,0,0,19.3,5.36,25.634,0,0,8.789,46.684
14,-4,0,0,36.669,13/7/2013,430.388,51.874,16.946,0,0,14,10.62,13.432,10,0,11.731,12.729,17.405,16.844,0,0,0,0,0,9.991,31.898,8.782,34.596,25.178,32.218,0,0,0,0,0,5.2,0,0,19.2,5.28,25.467,0,0,0.696,46.684
15,-8.8,0,0,36.533,13/7/2013,409.378,52.392,17.02,0,0,15,18.067,13.65,10.3,0,9.379,10.309,17.364,17.501,0,0,0,0,0,10.152,32.075,1.241,35.292,24.928,31.928,0,0,0,0,0,5.2,0,0,19.3,5.28,25.634,0,8.725,-5.2,46.692
16,-4.9,0,0,39.912,13/7/2013,400.739,51.282,16.798,0,0,16,14.893,13.41,10.9,0,10.555,11.512,20.905,0,0,0,0,0,0,10.034,31.986,0,31.145,25.379,31.848,0,0,0,0,0,5.2,0,0,19.3,5.36,25.606,0,0,-1.209,48.401
17,4.6,4.9,1.7,39.69,13/7/2013,411.122,51.504,16.946,1.098,0,17,2.93,13.62,10.9,5.933,22.559,23.393,21.042,0,0,0,0,0,0,9.925,31.692,0,0,25.128,31.978,0,0,0,0,0,0,0,0,19.3,5.48,25.523,0,0,6.995,49.896
18,12,7.7,3.8,39.688,13/7/2013,436.666,51.134,16.576,9.069,0,18,-14.527,13.57,10.7,5.303,14.848,15.819,14.875,0,0,2.136,0,0,0,9.698,31.132,0,26.914,25.228,31.838,0,0,0,0,0,0,0,0,19.5,5.6,25.773,0,0,21.387,46.958
19,-2,11.5,6,39.766,13/7/2013,523.698,51.874,16.872,13.829,0,19,11.231,13.7,10.5,2.678,18.512,19.469,19.004,18.772,0,2.564,18.372,0,0,10.188,32.929,19.401,36.35,25.108,31.838,0,0,0,0,0,5.2,0,0,19.8,5.51,25.523,0,0,-10.712,46.958
20,7.4,26.101,14.1,39.723,13/7/2013,530.888,52.244,16.872,35.301,0,20,7.324,13.6,10.9,5.251,8.996,10.008,16.42,15.997,0,2.93,0,0,0,8.716,32.959,18.547,36.628,25.448,32.117,0,0,0,0,0,5.2,0,0,19.5,5.6,25.857,0,0,-15.601,46.958
21,7.1,16.701,11.5,38.919,13/7/2013,479.891,51.43,16.872,32.863,0,21,13.672,13.6,10.9,12.973,15.983,17.336,17.309,16.803,0,2.686,0,0,0,9.983,32.31,0,17.034,25.119,31.838,0,0,0,0,0,0,0,0,18.8,5.7,25.244,0,3.616,-15.418,46.958
22,6.1,10,5.7,45.59,13/7/2013,434.98,50.986,16.428,12.553,0,22,0,13.7,10.5,5.041,23.229,23.954,15.928,0,0,2.612,0,0,0,9.932,32.281,0,0,25.688,32.167,0,0,0,0,0,0,0,0,18.3,5.7,25.3,0,0,3.388,46.958
23,8.3,11.8,8.8,42.811,13/7/2013,398.581,45.806,3.7,13.137,0,23,1.465,13.7,10.9,6.249,21.383,22.245,0,0,0,2.734,0,0,0,10.181,32.693,0,0,26.058,32.178,0,0,0,0,0,0,0,0,19.7,5,25.3,0,0,0.989,46.958
0,-7.6,7,5.6,30.162,14/7/2013,368.705,50.616,0,7.231,0,00,0,13.8,10.7,2.94,14.069,15.258,0,0,0,2.747,0,0,0,10.276,32.988,0,0,25.348,31.638,0,0,0,0,0,0,0,0,19.6,5.8,25.411,0,0,-7.709,30.127
1,0.2,11,7.7,0,14/7/2013,353.177,49.95,0,12.065,0,01,-11.109,13.8,10,2.153,11.772,12.62,0,0,0,2.673,0,0,0,10.034,32.517,0,0,26.218,32.398,0,0,0,0,0,0,0,0,19.5,5.8,25.133,0,0,-2.417,31.098
2,2.3,12.4,6.2,0,14/7/2013,344.276,50.394,0,6.038,0,02,-13.428,13.657,10.1,1.68,7.137,7.93,0,0,0,2.686,0,0,0,10.078,32.605,0,0,25.568,31.978,0,0,0,0,0,0,0,0,19.5,5.8,25.077,0,0,0.183,40.097
