,AMY-L9030,AMY1,AMY2,CEN,Date,Demanda,EEC,EEC20,EOL,GSR,HORA,HPA1,HPA2,LNI-L9040,MTR,NSL,PBP,PCA1,PCA2,PCF1,PCF2,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PEN3,PEN4,PHC1,PHC2,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,PNI1,PNI2,SND-L9090,TCPI-L9150,TPC
8,7.7,36.701,22.301,0,6/8/2013,454.672,52.096,16.724,36.724,0,08,,,8.911,13.2,0,30.255,17.419,18.389,16.106,0,0,0,0,0,0,8.694,32.163,1.209,0,26.539,26.149,0,0,0,0,0,0,0,0,18.8,5.6,25.411,0,0,-19.208,47.595
9,8.2,37.601,20.101,22.046,6/8/2013,513.892,50.838,16.65,39.095,0,09,,,5.86,13.3,0,30.569,23.995,24.323,22.628,13.959,0,0,0,0,0,8.548,31.957,0,0,26.428,25.918,0,0,0,0,0,0,0,0,19,5.13,25.551,0,0,-16.205,47.595
10,2.9,26.901,17.801,47.497,6/8/2013,521.375,51.948,16.724,40.139,0,10,,,22.095,13.1,0,30.675,23.981,24.624,21.739,23.544,0,0,0,0,0,8.76,32.399,0,0,26.618,25.908,0,0,0,0,0,0,0,0,19.4,5.13,25.662,0,12.763,-26.606,50.042
11,7.4,14.9,12,50.358,6/8/2013,540.609,53.28,17.168,36.058,0,11,,,2.197,13.163,0,32.775,23.968,24.555,23.927,23.885,0,0,0,0,0,8.335,31.662,0,12.525,26.698,26.048,0,0,0,0,0,5.2,0,0,19.1,4.89,25.495,0,0,-8.405,49.841
12,3.3,24.701,17.301,49.164,6/8/2013,543.912,52.17,16.798,27.756,0,12,,,5.249,13,0,28.835,20.905,21.534,16.489,15.532,0,0,0,0,0,8.357,31.721,0,37.435,26.628,26.288,0,0,0,0,0,0,0,0,19.2,4.82,25.69,0,0,-17.414,45.559
13,3.7,28.701,18.101,49.482,6/8/2013,529.019,52.244,17.02,29.539,0,13,,,17.823,13.5,0,24.214,23.927,24.514,16.188,15.614,0,0,0,0,0,8.357,31.25,0,37.936,26.319,26.268,0,0,0,0,0,0,0,0,19,4.74,25.718,0,4.459,-16.81,45.559
14,-.7,17.001,11.7,43.705,6/8/2013,552.502,53.946,16.872,16.392,0,14,,,4.151,13,0,20.536,23.872,24.542,23.995,23.161,0,0,0,0,0,7.83,30.425,0,37.352,27.028,27.748,9.949,6.645,0,0,0,5.2,0,0,19.2,4.66,25.745,0,0,-8.405,50.315
15,-.4,11.5,10.5,49.533,6/8/2013,541.033,53.798,16.946,27.392,0,15,,,12.94,13.1,0,13.235,23.872,24.583,23.735,22.983,0,0,0,0,0,7.976,30.69,18.499,37.463,25.608,26.378,0,0,0,0,0,5.2,0,0,19,4.73,25.551,0,0,-10.913,50.388
16,-5.7,2.9,2.3,46.004,6/8/2013,526.74,53.058,16.946,13.613,0,16,,,15.503,13.387,0,4.883,23.872,24.665,23.407,23.134,0,0,8.643,0,0,8.006,29.748,18.595,38.883,25.448,26.688,0,19.943,0,0,0,5.2,0,0,19,4.83,25.634,0,0,-4.303,50.327
17,-2.6,3.5,3,45.646,6/8/2013,486.218,52.022,16.872,13.037,0,17,,,4.883,13.4,0,6.932,23.872,24.542,15.764,14.219,0,0,4.907,0,0,7.976,29.659,19.143,38.688,25.668,26.709,0,0,0,0,0,5.2,0,0,19.2,4.89,25.662,0,0,1.483,40.54
18,4.8,2.3,2.4,46.782,6/8/2013,463.527,43.512,14.06,17.302,0,18,,,-6.104,13.32,0,5.198,23.872,23.981,15.696,0,0,0,0,0,0,9.185,30.838,18.676,38.354,25.488,26.908,0,0,0,0,0,5.2,0,0,19.1,5.04,25.606,0,0,10.987,41.048
19,-2.5,17.601,9.9,45.836,6/8/2013,579.168,51.134,16.946,16.459,0,19,,,8.179,13.7,0,17.858,23.872,24.487,21.438,20.071,18.306,0,18.494,0,0,10.957,32.252,19.192,38.994,25.658,27.288,0,0,0,0,0,5.2,0,0,19.1,5.1,25.634,0,0,-12.506,46.864
20,3.1,22.001,15.801,45.162,6/8/2013,561.768,50.838,16.354,34.083,0,20,,,17.457,13.6,0,20.905,24.063,24.323,16.311,14.725,0,0,16.431,0,0,11.14,32.075,18.418,39.3,25.688,26.228,0,0,0,0,0,5.2,0,0,19.2,5.2,25.634,0,5.667,-16.004,49.308
21,5.9,25.601,17.601,35.192,6/8/2013,518.938,51.726,16.724,29.233,0,21,,,9.4,13.769,0,21.483,23.79,24.61,16.543,14.957,0,0,0,0,0,10.745,30.307,4.012,38.883,26.648,26.449,0,0,0,0,0,0,0,0,19,5.34,25.606,0,0,-16.205,39.783
22,13,28.201,18.001,23.631,6/8/2013,456.511,51.134,16.724,24.665,0,22,,,0,13.2,0,24.108,23.298,23.639,15.34,13.098,0,0,0,0,0,10.818,30.248,0,0,26.528,26.019,0,0,0,0,0,0,0,0,19.5,5.36,25.69,0,0,-1.007,37.793
23,11.2,33.301,20.801,0,6/8/2013,412.422,51.282,16.724,30.44,0,23,,,1.831,13.6,0,30.464,13.754,14.944,0,0,0,0,0,0,0,10.738,29.217,0,0,26.568,26.208,0,0,0,0,0,0,0,0,19.3,5.5,25.634,0,0,-14.008,37.568
0,9.4,30.601,20.001,0,7/8/2013,386.828,52.244,16.65,35.48,0,00,,,4.273,13.3,0,33.301,8.313,8.983,0,0,0,0,0,0,0,4.863,0,0,0,26.539,26.098,0,0,0,0,0,0,0,0,19.2,5.59,25.885,0,0,-17.908,50.326
1,6.3,24.001,18.401,0,7/8/2013,373.423,52.244,16.798,39.15,0,01,,,11.109,13.9,0,23.163,17.159,17.993,0,0,0,0,0,0,0,0,0,0,0,26.648,26.088,0,0,0,0,0,0,0,0,19.5,5.59,26.107,0,0,-18.403,45.687
2,7.7,19.601,13,0,7/8/2013,366.98,51.504,16.65,36.428,0,02,,,7.08,13.679,0,24.109,19.346,20.221,0,0,0,0,0,0,0,0,0,0,0,26.528,26.328,0,0,0,0,0,0,0,0,19.2,5.7,26.024,0,0,-11.206,47.372
3,5.9,17.001,17.501,0,7/8/2013,357.967,51.43,9.99,35.063,0,03,,,11.231,13.8,0,23.11,15.833,16.831,0,0,0,0,0,0,0,11.404,0,0,0,26.548,26.228,0,0,0,0,0,0,0,0,19.2,5.75,25.773,0,0,-14.209,45.427
4,5.5,23.401,16.801,0,7/8/2013,360.448,44.918,14.578,32.632,0,04,,,12.696,13.7,0,23.688,17.036,17.965,0,0,0,0,0,0,0,11.309,0,0,0,26.158,26.279,0,0,0,0,0,0,0,0,19.3,5.6,25.912,0,0,-13.605,45.762
5,8.3,27.901,16.801,0,7/8/2013,392.511,43.956,14.06,39.64,0,05,,,10.987,13.9,0,26.053,19.51,0,0,0,0,0,0,0,0,11.031,30.867,0,0,26.258,26.388,0,0,0,0,0,0,0,0,19,5.6,25.912,0,0,-17.212,47.709
6,5.6,30.001,10.6,0,7/8/2013,388.431,52.022,16.502,36.71,0,06,,,14.527,13.8,0,20.642,19.428,0,0,0,0,0,0,0,0,11.155,31.014,0,0,26.418,26.069,0,0,0,0,0,0,0,0,19,5.67,25.773,0,0,-16.901,46.853
7,6.3,29.901,15.501,32.326,7/8/2013,410.169,52.318,16.65,41.913,0,07,,,8.423,13.3,0,18.909,8.573,0,0,0,0,0,0,0,0,11.243,31.044,0,0,26.149,26.149,0,0,0,0,0,0,0,0,19.2,5.76,25.745,0,5.777,-18.311,37.677
8,6.4,17.201,13.9,35.031,7/8/2013,466.569,52.54,16.798,39.25,0,08,,,15.992,13.3,0,24.791,23.831,24.651,16.475,0,0,0,0,0,0,11.177,31.103,0,0,28.028,28.318,0,0,0,0,0,0,0,0,19,5.3,25.885,0,0,-12.104,50.278
9,1.3,23.301,14,48.049,7/8/2013,513.069,52.022,16.65,33.312,0,09,,,16.114,13.2,0,22.322,16.803,17.924,25.677,0,0,0,0,0,0,11.016,30.572,0,37.046,28.058,27.038,0,0,0,0,0,0,0,0,19,5.3,25.968,0,5.365,-18.311,50.279
10,-.3,21.101,17.701,50.503,7/8/2013,542.378,52.466,16.28,31.241,0,10,,,7.569,13.3,0,24.108,22.012,22.614,16.803,15.491,0,0,0,0,0,11.206,30.985,0,35.515,27.108,26.178,0,0,0,0,0,0,0,0,18.9,5.12,25.495,0,0,-16.608,48.912
11,2.2,22.801,13.4,47.072,7/8/2013,552.59,51.948,15.836,29.416,0,11,,,15.259,13.2,0,21.587,23.981,24.419,23.708,23.38,0,0,0,0,0,10.957,30.543,20.029,36.183,26.308,26.128,0,0,0,0,0,5.2,0,0,19,5.21,25.606,0,0,-9.503,44.634
12,0.8,17.601,10.9,46.904,7/8/2013,548.472,51.8,16.206,25.295,0,12,,,9.888,13.4,0,24.003,23.981,24.419,14.889,14.862,0,0,18.848,0,0,10.694,30.16,19.063,36.127,26.458,25.238,0,0,0,0,0,5.2,0,0,19,4.9,25.551,0,0,-8.606,45.055
13,-1,23.601,11.3,46.177,7/8/2013,542.082,50.838,16.28,0,0,13,,,5.127,13.2,0,23.373,24.063,24.637,21.342,19.975,0,0,18.311,0,0,9.588,29.63,18.982,38.465,25.618,25.558,0,0,0,0,0,5.2,0,0,19.1,4.82,25.272,0,0,-3.516,41.275
14,-4.3,19.301,12.8,46.249,7/8/2013,564.731,51.43,16.946,0,0,14,,,12.94,13.4,0,20.852,24.05,24.501,24.227,23.284,19.048,0,18.409,0,0,8.174,28.068,19.192,39.217,25.818,26.109,0,0,0,0,0,5.2,0,0,19,4.82,25.523,0,0,-8.515,49.238
15,-.9,8.4,11.4,46.38,7/8/2013,552.389,51.652,16.798,14.661,0,15,,,16.114,12.96,0,19.381,23.954,24.528,16.502,15.026,17.745,18.653,18.079,0,0,8.665,27.98,19.224,39.217,25.908,26.208,0,0,0,0,0,5.2,0,0,19,4.3,25.578,0,6.949,-9.815,47.298
16,-2.4,13,10.3,46.085,7/8/2013,543.815,51.8,16.65,22.347,0,16,,,10.132,13.275,0,11.238,23.981,24.596,16.79,15.709,15.42,5.725,18.104,0,0,7.801,27.597,19.063,38.688,26.298,26.418,0,0,0,0,0,5.2,0,0,19.1,4.66,25.773,0,0,-8.002,37.902
17,-1.6,11.5,10,34.788,7/8/2013,478.812,51.948,16.65,26.214,0,17,,,3.784,13.2,0,8.717,14.739,16.01,16.926,15.6,0,0,0,0,0,7.859,29.041,9.91,38.326,28.637,28.337,0,0,0,0,0,0,0,0,19.2,4.8,25.578,0,0,-13.514,39.502
18,5.1,19.101,14.9,12.106,7/8/2013,446.277,51.578,16.576,29.284,0,18,,,5.127,13.3,0,16.649,9.461,10.35,15.641,14.561,0,0,0,0,0,7.83,29.011,0,38.215,27.668,28.748,0,0,0,0,0,0,0,0,19.2,4.9,25.606,0,0,-6.116,38.562
19,14,21.801,16.301,50.856,7/8/2013,562.884,51.504,16.65,38.591,0,19,,,5.249,13.5,0,22.375,23.927,24.542,16.858,15.6,0,0,0,0,0,8.423,31.338,18.901,38.242,29.638,30.428,0,0,0,0,0,5.2,0,0,19.2,5,25.94,0,0,-10.511,38.411
20,11.7,28.201,17.101,48.061,7/8/2013,560.904,52.096,16.724,36.058,0,20,,,3.418,13.7,0,23.688,23.94,24.569,17.104,15.819,0,0,0,0,0,9.251,31.633,2.82,38.66,29.528,29.908,0,0,0,0,0,0,0,0,19.5,5.2,25.885,0,0,-14.301,45.546
21,7.2,20.601,13.2,19.353,7/8/2013,504.707,51.356,16.65,30.799,0,21,,,9.033,13.589,0,20.379,23.94,24.569,18.977,17.501,0,0,0,0,0,8.408,31.751,2.32,38.437,28.948,28.689,0,0,0,0,0,0,0,0,19,5.36,25.801,0,0,-13.807,43.585
22,13.1,21.501,15.601,17.89,7/8/2013,444.636,51.874,16.798,21.225,0,22,,,1.587,13.7,0,20.064,23.844,24.569,17.118,0,0,0,0,0,0,8.255,31.279,0,0,29.448,29.438,0,0,0,0,0,0,0,0,18.9,5.36,25.829,0,0,-6.207,49.867
23,14.5,16.401,11.2,0,7/8/2013,406.331,52.022,16.65,29.7,0,23,,,1.953,13.5,0,18.12,22.423,23.298,14.78,0,0,0,0,0,0,7.134,31.603,0,0,29.318,29.658,0,0,0,0,0,0,0,0,19.1,5.51,25.885,0,0,-7.709,38.537
0,7.2,11.4,9,0,8/8/2013,380.082,52.17,16.872,19.45,0,00,,,2.808,13.612,0,21.902,22.874,23.872,0,0,0,0,0,0,0,8.452,31.869,0,0,29.298,28.458,0,0,0,0,0,0,0,0,19.1,5.59,25.94,0,0,-4.816,45.415
1,2.3,10,8,0,8/8/2013,368.532,52.022,16.724,17.757,0,01,,,12.94,13.567,0,11.344,23.995,24.473,0,0,0,0,0,0,0,8.599,31.014,0,0,28.918,28.958,0,0,0,0,0,0,0,0,19.2,5.59,26.024,0,0,-9.302,48.285
2,4,13.7,9.4,0,8/8/2013,367.086,51.43,16.65,15.23,0,02,,,7.569,13.432,0,11.764,22.122,23.01,0,0,0,0,0,0,0,8.343,30.278,0,0,28.859,28.618,0,0,0,0,0,0,0,0,19.4,5.51,26.079,0,0,-5.2,43.184
3,15.1,16.501,10.8,0,8/8/2013,358.377,51.948,10.286,16.034,0,03,,,5.371,13.41,0,11.449,18.649,19.661,0,0,0,0,0,0,0,8.357,30.455,0,0,28.908,29.098,0,0,0,0,0,0,0,0,19,5.51,26.163,0,0,-14.612,39.877
4,2.5,20.201,11,0,8/8/2013,359.315,52.096,16.65,21.337,0,04,,,7.935,13.567,0,13.918,19.196,0,0,0,0,0,0,0,0,8.357,31.81,0,0,29.298,29.138,0,0,0,0,0,0,0,0,19.3,5.51,25.94,0,0,-8.405,39.706
5,6.8,18.601,13.6,0,8/8/2013,373.643,52.466,16.724,19.931,0,05,,,5.249,13.589,0,13.656,11.362,12.223,18.075,0,0,0,0,0,0,8.65,32.517,0,0,27.768,27.898,0,0,0,0,0,0,0,0,19.4,5.54,25.745,0,0,-6.5,41.447
6,-3.3,19.601,12.2,0,8/8/2013,383.148,52.91,16.798,13.599,0,06,,,5.249,13.971,0,16.124,13.235,14.342,0,0,0,0,0,0,0,8.65,32.546,0,0,28.648,28.859,0,0,0,0,0,0,0,0,19.2,5.5,26.553,0,0,-14.612,41.56
7,-2,18.101,13.9,45.693,8/8/2013,408.792,52.318,16.724,17.181,0,07,,,8.301,12.197,0,14.811,11.553,12.606,0,0,0,0,0,0,0,8.57,32.723,0,0,29.768,28.718,0,0,0,0,0,0,0,0,19,5.6,25.912,0,0,-9.815,39.903
8,15.3,15.501,9.7,49.293,8/8/2013,470.025,51.948,16.724,10.195,0,08,,,-10.498,13.14,0,14.601,22.887,23.626,25.813,0,0,0,0,0,0,8.306,31.486,0,13.944,29.388,28.628,0,0,0,0,0,0,0,0,19,5.5,25.718,0,0,5.585,47.023
9,-2.8,16.001,11.5,50.373,8/8/2013,514.659,52.318,16.724,12.342,0,09,,,4.273,13.14,0,10.451,23.968,24.624,24.938,1.313,0,0,0,0,0,8.496,32.281,5.817,36.155,28.778,28.808,0,0,0,0,0,5.2,0,0,19,5.3,25.773,0,0,-4.614,50.262
10,-2.3,12.2,7.7,50.065,8/8/2013,537.975,51.504,16.65,16.252,0,10,,,11.841,13.387,0,7.929,23.913,24.337,24.501,23.858,0,17.908,10.303,0,0,8.43,30.396,17.516,37.908,28.808,28.548,0,0,0,0,0,5.2,0,0,18.8,5.3,25.69,0,0,-2.6,37.813
11,-3,8.7,7.7,50.247,8/8/2013,556.509,51.504,16.724,15.596,0,11,,,8.667,13.297,0,6.459,23.913,24.473,18.307,17.008,7.409,18.421,18.165,0,0,8.291,30.101,18.901,37.185,28.678,29.058,0,0,0,0,0,5.2,0,0,18.8,5.12,25.662,0,0,-1.3,48.211
12,-4.4,1.4,1.3,49.732,8/8/2013,544.161,52.392,16.65,4.05,0,12,,,8.789,13.365,0,1.102,23.913,24.501,24.214,23.749,16.709,18.409,18.311,0,0,6.958,30.16,19.063,37.964,28.838,29.058,0,0,0,0,0,5.2,0,0,18.8,5.12,25.829,0,0,3.589,48.797
13,-4.3,0,0.1,47.005,8/8/2013,524.834,52.096,16.576,1.175,0,13,,,8.423,13.477,0,0,23.913,24.501,21.575,20.426,18.432,18.543,18.043,0,0,7.031,28.569,19.143,38.549,28.918,28.488,0,0,0,0,0,5.2,0,0,18.8,4.8,25.718,0,0,2.289,45.37
14,-6.2,0,0.6,46.484,8/8/2013,549.797,51.874,16.65,0.381,0,14,,,7.08,13.499,0,0,23.858,24.487,24.132,23.339,18.445,18.506,17.908,16.932,0,6.841,28.746,19.304,38.688,28.548,28.938,0,0,0,0,0,5.2,0,0,19,4.9,25.606,0,0,3.882,47.719
15,-4.8,0,0,46.607,8/8/2013,556.886,51.948,16.65,0,0,15,,,1.343,13.028,0,2.363,23.858,24.487,20.618,19.497,18.152,18.433,17.64,16.724,15.723,6.812,29.365,19.063,38.827,28.418,28.158,0,0,0,0,0,5.2,0,0,19,5,25.773,0,0,5.786,37.842
16,-4.5,0,0,46.147,8/8/2013,537.322,52.392,16.724,0,0,16,,,5.615,13.207,0,0.577,23.817,24.555,18.143,16.598,18.39,18.531,17.823,16.846,3.906,8.467,29.482,19.079,39.244,28.808,28.278,0,0,0,0,0,5.2,0,0,18.8,5,25.996,0,0,4.889,41.426
17,-9.6,1.2,0.9,46.121,8/8/2013,481.83,52.762,16.576,1.458,0,17,,,14.771,13.207,0,0,14.11,14.971,16.379,14.93,14.314,14.014,17.505,0,0,8.518,29.659,19.224,38.688,28.438,28.048,0,0,0,0,0,5.2,0,0,18.8,5.12,25.523,0,0,-3.607,37.729
18,3.5,2.3,2.3,39.068,8/8/2013,458.376,52.096,16.65,8.545,0,18,,,0,13.185,0,0,18.184,19.196,16.215,14.493,0,0,0,0,0,8.343,29.512,18.95,38.688,28.648,27.888,0,0,0,0,0,5.2,0,0,18.8,5.3,25.829,0,0,9.998,47.808
19,-1.1,2.1,2.7,45.728,8/8/2013,568.05,52.17,16.724,7.635,0,19,,,9.278,13.612,0,0.84,23.927,24.692,21.26,19.88,19.104,18.519,17.225,16.712,15.625,8.379,30.337,19.046,39.077,28.368,27.648,0,0,0,0,0,5.2,0,0,19,5.3,25.94,0,0,7.086,45.854
20,0.6,0.6,0.5,46.886,8/8/2013,562.533,51.874,16.65,7.117,0,20,,,2.808,13.365,0,3.624,23.927,24.624,20.714,19.606,18.46,18.409,16.529,16.651,15.625,8.401,30.189,20.094,38.966,29.018,28.358,0,0,0,0,0,5.2,0,0,18.8,5.36,26.107,0,0,6.592,37.897
21,-7.8,0,0,46.708,8/8/2013,506.675,51.874,16.724,3.669,0,21,,,9.888,13.432,0,5.146,15.477,16.53,21.11,19.647,17.773,18.091,8.606,0,0,8.474,30.543,20.062,38.688,28.698,28.328,0,0,0,0,0,5.2,0,0,18.8,5.36,25.968,0,0,0.787,44.642
22,-.8,6.6,5.8,46.72,8/8/2013,445.669,52.096,16.65,17.88,0,22,,,5.249,4.402,0,1.47,13.987,14.971,16.407,14.916,0,0,0,0,0,8.357,30.572,0,38.966,28.628,28.418,0,0,0,0,0,5.2,0,0,19.1,5.36,25.662,0,0,-3.314,44.642
23,2.8,8,4,46.802,8/8/2013,411.672,52.466,16.798,14.601,0,23,,,7.569,13.342,0,9.821,12.934,14.041,17.993,0,0,0,0,0,0,8.489,31.014,0,22.934,28.028,27.078,0,0,0,0,0,0,0,0,19.1,5.28,25.968,0,0,-2.216,37.758
0,-4.9,1.6,0.6,46.614,9/8/2013,387.823,51.8,16.65,3.077,0,00,,,5.249,13.432,0,3.255,18.854,19.756,14.725,0,0,0,0,0,0,8.372,30.396,0,0,28.758,28.888,0,0,0,0,0,0,0,0,19.1,5.4,25.244,0,0,3.296,47.824
1,-6.2,0.3,0.1,46.957,9/8/2013,376.46,52.096,16.724,3.786,0,01,,,9.278,13.612,0,0.84,23.899,24.61,0,0,0,0,0,0,0,8.474,30.602,0,0,28.538,28.628,0,0,0,0,0,0,0,0,19.4,5.76,25.523,0,0,2.49,48.819
2,-1.3,0,0,46.696,9/8/2013,368.942,51.356,16.724,0,0,02,,,1.343,13.634,0,0,18.471,19.456,0,0,0,0,0,0,0,8.379,30.808,0,15.475,29.298,28.878,0,0,0,0,0,0,0,0,19.1,5.84,25.551,0,0,9.394,39.448
3,-6.6,0,0,36.764,9/8/2013,353.968,52.392,16.946,0,0,03,,,6.714,13.432,0,0,10.09,0,0,0,0,0,0,0,0,8.328,30.69,0,39.272,28.878,28.637,0,0,0,0,0,0,0,0,19.4,5.83,25.634,0,0,4.688,39.071
4,-5.1,0,0,35.69,9/8/2013,362.224,52.466,16.502,0,0,04,,,4.151,13.432,0,0,12.688,0,0,0,0,0,0,0,0,8.57,31.22,0,38.994,28.848,28.429,0,0,0,0,0,0,0,0,19.4,5.71,25.523,0,0,6.391,46.147
5,-4.7,0,0,46.57,9/8/2013,386.272,52.17,16.872,0,0,05,,,4.151,13.589,0,0,24.091,0,0,0,0,0,0,0,0,8.482,30.926,0,39.05,28.938,28.478,0,0,0,0,0,0,0,0,19.2,5.67,25.439,0,0,8.094,48.18
6,-5.7,0,0,46.57,9/8/2013,376.338,51.948,16.65,0,0,06,,,6.104,13.634,0,0,8.053,8.983,0,0,0,0,0,0,0,8.482,30.985,0,39.272,28.897,28.718,0,0,0,0,0,0,0,0,19.2,5.67,25.578,0,0,6.793,44.605
7,-6.4,0,0,46.875,9/8/2013,410.348,52.318,16.798,7.641,0,07,,,6.836,13.836,0,0,18.116,19.251,0,0,0,0,0,0,0,8.35,30.455,0,38.493,28.788,27.938,0,0,0,0,0,0,0,0,19.1,5.76,25.69,0,0,3.992,47.237
8,0.2,4.2,2.3,46.313,9/8/2013,468.878,51.652,16.428,2.366,0,08,,,5.371,13.365,0,3.045,24.036,24.555,0,15.026,10.91,13.538,0,0,0,8.379,30.661,18.644,37.101,28.478,28.098,0,0,0,0,0,5.2,0,0,18.7,5.51,25.718,0,0,5.292,37.681
9,-13.9,0.7,1.1,47.136,9/8/2013,514.066,52.466,16.872,5.66,0,09,,,20.997,13.522,0,3.938,23.885,24.569,0,24.624,18.474,18.641,16.797,0,0,8.555,31.368,17.999,36.684,28.808,28.368,0,0,0,0,0,5.2,0,0,18.7,5.4,25.801,0,4.578,-3.9,46.574
10,7.6,5.4,3.8,42.92,9/8/2013,532.479,52.022,16.428,7.655,0,10,,,-3.296,13.499,0,5.671,16.926,17.706,0,24.514,18.46,18.628,16.663,16.736,15.625,8.24,30.366,17.58,35.877,28.778,28.368,0,0,0,0,0,5.2,0,0,18.5,5.21,25.523,0,0,11.188,37.604
11,-3.2,6,3.6,39.433,9/8/2013,558.862,51.578,16.576,5.733,0.8,11,,,5.249,13.207,0,4.094,21.848,22.532,0,24.514,18.264,18.397,16.468,16.468,15.527,6.746,29.453,17.371,35.793,28.948,28.037,0,0,0,0,0,5.2,0,0,18.9,5.13,35.57,0,0,-1.904,48.865
12,2.4,1,1.5,45.112,9/8/2013,552.917,51.874,16.798,3.536,1,12,,,-4.273,13.387,0,1.627,22.341,23.626,0,24.514,18.348,18.458,18.372,16.663,15.723,6.804,29.6,18.998,37.491,28.508,27.788,0,0,0,0,0,5.2,0,0,18.8,5.2,40.024,0,0,11.792,37.79
13,3.1,1.8,1.3,48.496,9/8/2013,536.311,52.17,16.946,4.054,0,13,,,2.441,13.702,0,3.57,19.415,20.344,0,24.514,18.39,18.409,18.323,16.797,15.625,6.9,29.217,19.224,37.352,28.478,28.458,0,0,0,0,0,5.2,0,0,18.7,5.1,25.578,0,0,5.988,37.647
14,2.3,0.8,1.3,42.549,9/8/2013,554.813,52.022,16.354,4.971,0,14,,,-3.052,13.634,0,1.417,22.518,23.325,0,24.514,18.236,18.567,18.067,16.797,15.527,8.189,28.716,18.901,38.521,28.408,28.188,0,0,0,0,0,5.2,0,0,18.7,5,28.807,0,0,7.599,50.093
15,-6.6,1.6,1.2,42.547,9/8/2013,557.899,51.874,16.798,2.27,1,15,,,6.714,13.432,0,0,24.05,24.391,0,24.514,18.558,18.751,18.36,17.017,17.285,8.211,28.716,19.385,38.716,28.897,26.248,0,0,0,0,0,5.2,0,0,18.8,4.9,34.93,0,0,1.19,41.921
16,-11,2.9,2.8,42.75,9/8/2013,545.543,52.244,16.28,6.667,1,16,,,13.062,13.252,0,1.785,19.975,20.96,0,24.514,18.544,18.653,17.969,16.883,15.82,8.145,29.011,19.32,39.272,28.328,27.848,0,0,0,0,0,5.2,0,0,18.8,4.9,33.177,0,0,-2.802,37.806
17,-15.3,2.2,0.8,42.724,9/8/2013,482.918,52.096,16.502,1.707,0,17,,,17.335,13.275,0,0.314,15.313,16.379,0,24.241,18.445,14.612,18.079,4.041,0,8.225,28.952,19.272,39.272,28.478,27.708,0,0,0,0,0,5.2,0,0,18.7,5.2,25.356,0,4.569,-4.706,37.725
18,1.4,3.6,3.1,42.748,9/8/2013,451.853,50.616,16.576,6.534,0,18,,,5.86,13.589,0,3.307,7.41,7.998,0,14.233,18.333,0,17.859,0,0,8.086,27.568,18.982,38.521,28.467,27.988,0,0,0,0,0,5.2,0,0,18.7,5.2,25.384,0,0,9.284,49.563
19,-8.4,1,1.5,18.922,9/8/2013,577.132,52.392,16.428,9.402,1,19,,,-6.592,13.634,0,3.99,24.05,24.569,0,24.091,18.529,18.494,18.128,16.81,15.82,8.452,29.777,19.369,39.133,28.288,27.988,0,0,0,0,0,5.2,0,0,18.7,5.4,35.543,0,0,-2.307,48.273
20,-2.6,3.7,4.7,47.898,9/8/2013,559.578,51.948,16.946,11.153,1,20,,,6.958,13.589,0,4.883,18.348,19.401,0,24.091,18.586,18.775,18.055,16.846,15.82,8.386,29.158,19.755,38.799,28.118,27.818,0,0,0,0,0,5.2,0,0,19,5.6,33.873,0,0,-.403,38.571
21,0.6,0,0,47.829,9/8/2013,516.784,51.43,17.02,0,0,21,,,3.052,13.589,0,0.367,19.674,20.536,0,24.091,18.502,18.714,18.323,16.578,0,8.291,30.072,19.981,38.632,28.778,28.989,0,0,0,0,0,5.2,0,0,19,5.6,25.3,0,0,7.984,42.933
22,-8,0,0,49.914,9/8/2013,457.026,52.17,16.724,0,0,22,,,10.132,13.747,0,0,23.106,24.022,0,24.05,1.597,0,0,0,0,8.452,30.838,19.836,38.465,28.597,28.848,0,0,0,0,0,5.2,0,0,18.8,5.59,25.773,0,0,3.992,43.951
23,-5.6,0,0,43.83,9/8/2013,420.801,52.022,16.502,1.03,0,23,,,8.057,13.544,0,0,17.815,18.868,0,24.159,2.899,0,0,0,0,8.614,30.366,10.313,39.356,28.388,29.548,0,0,0,0,0,0,0,0,18.6,5.66,25.634,0,0,5.585,37.914
0,-4.3,0,0,43.872,10/8/2013,395.209,52.096,16.798,0,0,00,,,8.057,13.612,0,0,14.985,16.024,0,23.968,0,0,0,0,0,7.119,30.572,0,38.521,28.548,28.798,0,0,0,0,0,0,0,0,18.6,5.67,25.94,0,0,7.892,37.798
1,-6.6,0,0,26.624,10/8/2013,382.684,51.726,16.946,0,0,01,,,5.86,13.589,0,0,8.108,8.901,0,24.063,0,0,0,0,0,8.474,30.779,0,39.022,28.308,28.528,0,0,0,0,0,0,0,0,18.6,5.8,25.578,0,0,4.395,47.53
2,-6.8,0,0,18.467,10/8/2013,374.553,52.096,16.798,0,0,02,,,4.151,13.567,0,0,12.045,0,0,23.954,0,0,0,0,0,8.445,30.779,0,39.077,28.948,27.428,0,0,0,0,0,0,0,0,19,5.8,25.773,0,0,5.695,47.53
3,-6.8,0,0,18.596,10/8/2013,363.88,50.764,5.698,0,0,03,,,2.808,13.657,0,0,13.686,0,0,24.063,0,0,0,0,0,8.401,30.838,0,38.883,28.998,28.478,0,0,0,0,0,0,0,0,19,5.8,25.634,0,0,4.798,47.53
