,HORA,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC2,AMY1,AMY2,PBP,CEN,EEC,EEC20,EOL,PNI1,PNI2,GSR,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN3,PEN4,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,TPC,LNI-L9040,SND-L9090,AMY-L9030,TCPI-L9150,Demanda,Date
0,00,0,0,0,0,0,11.602,31.073,23.123,0,0,2.5,3.2,1.26,46.829,44.77,14.652,11.167,25.718,0,0,29.986,15.048,0,0,0,0,31.618,30.638,0,0,0,0,5.2,0,18.9,5.94,47.914,-6.226,0,10.6,13.788,404.409,1/5/2013
1,01,0,0,0,0,0,11.463,30.955,22.882,0,0,7.2,6.4,9.978,9.912,51.874,16.946,14.552,25.94,0,0,30.301,21.78,0,0,0,0,31.298,30.768,0,0,0,0,5.2,0,18.5,5.99,39.657,-3.54,0,17.701,11.884,387.588,1/5/2013
2,02,0,0,0,0,0,11.499,30.896,23.139,0,0,5.5,3.6,4.516,9.912,52.392,17.02,7.334,25.551,0,0,30.099,18.084,0,0,0,0,31.838,31.078,0,0,0,0,5.2,0,20,6.15,39.657,-8.423,0,18.501,20.197,373.449,1/5/2013
3,03,0,0,0,0,0,11.587,30.808,23.268,0,0,2.3,1.6,5.198,17.505,50.616,0,6.659,25.606,0,0,31.177,27.192,0,0,0,0,31.857,31.208,0,0,0,0,5.2,0,20,6.07,44.395,-3.418,0,11.2,15.088,368.923,1/5/2013
4,04,0,0,0,0,0,11.368,30.543,0,0,0,3.5,2.9,7.509,17.481,51.504,16.502,9.998,25.523,0,0,26.392,17.292,0,0,0,0,31.387,31.358,0,0,0,0,5.2,0,20,6.15,50.415,-19.044,0,23.101,21.387,372.218,1/5/2013
5,05,0,0,0,0,0,11.338,30.572,0,0,0,0.2,0.5,6.3,46.224,52.318,16.946,9.629,25.718,0,0,29.38,23.364,0,0,0,0,31.328,31.398,0,0,0,0,5.2,0,19.9,6.07,38.714,-11.963,0,20.501,21.79,381.752,1/5/2013
6,06,0,0,0,0,0,11.58,30.779,0,0,0,0.2,0,6.406,13.043,52.096,16.724,11.638,25.773,0,0,32.906,15.18,0,0,0,0,31.248,31.257,0,0,0,0,0,0,20,6.07,42.402,-8.911,0,16.201,17.396,349.121,1/5/2013
7,07,0,0,0,0,0,11.543,31.338,0,0,0,0,0,5.408,28.206,52.022,17.242,5.282,25.773,0,0,31.536,20.856,0,0,0,0,30.998,29.348,0,0,0,0,0,0,19.8,5.5,47.646,3.296,0,3.6,9.687,360.527,1/5/2013
8,08,0,0,0,0,0,11.529,29.777,0,0,0,0,0,6.196,41.798,52.022,17.094,8.006,25.801,0,0,31.806,20.988,0,0,0,0,31.498,30.048,0,0,0,0,0,0,19.8,5.5,50.422,-2.686,0,5.5,14.594,385.206,1/5/2013
9,09,0,0,0,0,0,11.455,29.63,14.003,0,0,0,0,4.358,53.9,51.8,16.724,7.442,25.94,0,0,25.876,24.024,0,0,0,0,31.517,30.898,0,0,0,0,5.2,0,19.7,5.59,50.321,9.888,0,4.7,5.493,399.897,1/5/2013
10,10,0,0,0,0,0,11.514,29.335,22.044,0,0,0,0,4.935,53.836,51.948,16.502,3.514,25.801,0,0,29.829,14.52,0,0,0,0,31.578,30.548,0,0,0,0,5.2,0,19.8,5.44,50.381,0,0,4.7,12.69,406.74,1/5/2013
11,11,0,0,0,0,0,11.294,29.158,21.721,36.6,0,0,0,0.63,53.177,51.578,16.872,1.623,25.745,0,0,29.2,17.292,0,0,0,0,31.918,30.577,0,0,0,0,0,0,19.8,5.28,47.574,-5.615,0,14.3,22.486,419.99,1/5/2013
12,12,0,0,0,0,0,11.097,28.864,21.786,35.765,0,0,0,2.258,53.223,50.838,16.354,2.866,25.718,0,0,29.762,19.404,0,0,0,0,31.607,30.758,0,0,0,0,5.2,0,19.7,5.2,46.794,-10.62,0,7.3,15.693,446.465,1/5/2013
13,13,0,0,0,0,0,11.155,29.276,21.963,35.793,0,0,0,1.469,53.217,52.318,16.872,0,25.634,0,0,29.515,22.704,0,0,0,0,31.828,30.787,0,0,0,0,5.2,0,19.8,5.2,46.189,-3.052,0,6.9,15.986,439.823,1/5/2013
14,14,0,0,0,0,0,10.869,28.775,21.657,35.988,0,0,0,0,53.014,52.17,16.872,0,25.634,0,0,31.738,10.956,0,0,0,0,31.647,30.858,0,0,0,0,5.2,0,20,5.04,50.547,-10.62,0,10.5,20.6,436.56,1/5/2013
15,15,0,0,0,0,0,11.031,29.099,22.173,35.849,0,0,0,0,53.166,51.8,17.094,0,25.69,0,0,30.413,17.952,0,0,0,0,31.018,30.008,0,0,0,5.2,5.2,0,19.8,5.2,40.247,3.174,0,-1.2,13.092,429.983,1/5/2013
