,HORA,ABR,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,PBP,CEN,EEC,EEC20,EOL,PNI1,PNI2,MTL,GSR,HEM,HPA1,HPA2,PHD,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN3,PEN4,PHL1,PHL2,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,TPC,LNI-L9040,SND-L9090,AMY-L9030,TCPI-L9150,Demanda,Date
0,0,24.383,0,0,0,0,0,8.767,0,0,0,0,0,36.701,17.901,37.556,11.463,47.198,14.669,38.418,25.551,0,0,0,0,0,6.608,0,30.323,28,14.206,15.641,0,0,28.328,27.678,6.07,5.97,0,0,0,0,0,19,0,5.2,47.144,21.241,9.439,9.6,-34.407,490.91,1/1/2016
1,1,35.021,0,0,0,0,0,4.746,0,0,0,0,0,36.601,16.201,35.034,0,33.19,9.913,38.019,25.662,0,0,0,0,0,0,0,30.817,29.4,7.971,9.201,0,0,28.597,27.818,3.692,3.611,0,0,0,0,0,18.9,0,5.22,46.839,35.035,22.66,-11.1,-54.109,453.96,1/1/2016
2,2,35.455,0,0,0,0,0,0,0,0,0,0,0,36.701,18.401,35.927,0,31.804,0,38.123,25.801,0,0,0,0,0,0,0,30.548,27.1,9.297,0,0,0,28.458,28.167,3.479,3.374,0,0,0,0,0,19.3,0,5.12,37.12,33.57,23.301,-6.2,-51.106,414.62,1/1/2016
3,3,24.085,0,0,0,0,0,0,0,0,0,0,0,35.201,18.301,36.558,0,27.068,0,37.911,25.718,0,0,0,0,0,0,0,31.424,27.8,0,0,0,0,28.738,28.008,0,6.022,0,0,0,0,0,18.8,0,5.4,42.416,35.279,27.284,-10.8,-48.909,390.61,1/1/2016
4,4,35.696,0,0,0,0,0,0,0,0,0,0,0,36.601,18.301,36.4,0,0,0,37.903,25.829,0,0,0,0,0,0,0,29.694,28.1,0,0,0,0,28.878,28.018,0,3.318,0,0,0,0,0,18.8,0,5.22,42.473,46.754,40.66,-24.601,-66.414,378.83,1/1/2016
5,5,35.811,0,0,0,0,0,0,0,0,0,0,0,36.701,18.401,37.556,0,0,0,38.034,25.718,0,0,0,0,0,0,0,30.278,25,0,0,0,0,28.689,27.768,0,0,0,0,0,0,0,18.8,0,5.3,42.596,36.256,30.387,-10.4,-53.615,368.03,1/1/2016
6,6,17.582,0,0,0,0,0,0,0,0,0,0,0,36.701,18.301,35.769,0,0,0,36.036,25.773,0,0,0,0,0,0,0,31.693,27,0,0,0,0,28.538,28.148,0,0,0,0,0,0,0,18.8,0,5.3,42.059,40.407,33.619,-21.201,-56.618,355.49,1/1/2016
7,7,5.064,0,0,0,0,0,0,0,0,0,0,0,36.401,18.501,36.558,0,0,0,36.001,25.718,0,0,0,0,0,0,0,31.469,26.5,0,0,0,0,28.167,27.988,0,0,0,0,0,0,0,19.3,0,5.2,41.102,22.706,20.234,-8.2,-43.306,346.54,1/1/2016
8,8,23.715,0,0,0,0,0,0,0,0,0,0,0,36.601,18.401,37.451,0,0,0,35.965,25.745,0,0,0,0,0,0,0,30.413,26,0,0,0,0,28.299,28.068,0,0,0,0,0,0,0,18.7,0,5.14,46.187,29.664,37.629,-13.4,-53.413,360.22,1/1/2016
9,9,25.54,0,0,0,0,0,0,0,0,0,0,0,36.501,18.501,37.188,0,0,0,37.57,25.857,0,0,0,0,0,6.636,0,31.401,27,0,0,0,0,28.498,28.037,0,0,0,0,0,0,0,19,0,4.9,49.376,18.311,23.319,0.9,-44.404,377.89,1/1/2016
