PRECIOS DE ENERGIA EN EL MERCADO DE OCASION ( US$/MWh ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIQUIDACION MARZO 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERIODO: 01.MARZO. 2012 - 31.MARZO. 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1-Mar,2-Mar,3-Mar,4-Mar,5-Mar,6-Mar,7-Mar,3/8/12,3/9/12,3/10/12,11-Mar,12-Mar,13-Mar,14-Mar,15-Mar,16-Mar,17-Mar,18-Mar,19-Mar,20-Mar,21-Mar,22-Mar,23-Mar,24-Mar,25-Mar,26-Mar,27-Mar,28-Mar,29-Mar,30-Mar,31-Mar
21:00,188.93,182.94,183.38,180.86,188.55,191.76,183.14,188.36,184.63,185.06,184.48,189.21,189.07,188.35,187.36,188.25,190.51,189.72,190.02,188.22,198.78,192.7,188.27,191.86,187.22,188.5,184.15,188.87,187.54,185.05,186.9
22:00,180.82,184.69,180.67,184.25,186.79,184.88,187.79,182.81,187.74,183.13,182.2,186.82,188.97,188.68,189.19,190.45,184.85,184.86,187.62,192.65,192.64,189.29,190.26,189.46,194.21,186.17,192.04,187.97,189.3,186.92,183.99
23:00,184.36,182.75,181.81,178.74,180.43,184.78,180.08,186.14,184.69,182.64,176.62,183.87,183.21,184.6,183.45,181.28,189.4,187.55,184.73,184.52,185.71,187.68,184.44,184.73,182.02,186.89,183.78,184.6,183.27,188.7,188.13
24:00:00,176.7,177.97,180.31,179.26,175.75,177.48,176.27,176.62,181.26,181.92,176.36,180.81,182.73,177.68,177.67,177.68,182.91,180.13,184.26,184.11,183.86,180.5,183.18,184.72,178.88,182.49,183.49,182.72,178.19,181.96,181.99
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRECIO DE POTENCIA DE OCASION ( US$ / MW ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1-Mar,2-Mar,3-Mar,4-Mar,5-Mar,6-Mar,7-Mar,8-Mar,9-Mar,10-Mar,11-Mar,12-Mar,13-Mar,14-Mar,15-Mar,16-Mar,17-Mar,18-Mar,19-Mar,20-Mar,21-Mar,22-Mar,23-Mar,24-Mar,25-Mar,26-Mar,27-Mar,28-Mar,29-Mar,30-Mar,31-Mar
PRECIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215.97,215.97,0,50,50,190,190,49,49,49,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRECIOS MAXIMOS MINIMOS ENERGIA Y POTENCIA DE OCASION ( US$ ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRECIO,MAX,MIN,PROM,PROM,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGIA,204.82,168.96,78.53,183.55,,,,,,,,,,,,,,,,,,,,,,,,,,,
POTENCIA,215.97,0,,34.19,,,,,,,,,,,,,,,,,,,,,,,,,,,
