,1-Jan,2-Jan,3-Jan,4-Jan,5-Jan,6-Jan,7-Jan,1/8/12,1/9/12,1/10/12,11-Jan,12-Jan,13-Jan,14-Jan,15-Jan,16-Jan,17-Jan,18-Jan,19-Jan,20-Jan,21-Jan,22-Jan,23-Jan,24-Jan,25-Jan,26-Jan,27-Jan,28-Jan,29-Jan,30-Jan,31-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HRS,1-Jan,2-Jan,3-Jan,4-Jan,5-Jan,6-Jan,7-Jan,8-Jan,9-Jan,10-Jan,11-Jan,12-Jan,13-Jan,14-Jan,15-Jan,16-Jan,17-Jan,18-Jan,19-Jan,20-Jan,21-Jan,22-Jan,23-Jan,24-Jan,25-Jan,26-Jan,27-Jan,28-Jan,29-Jan,30-Jan,31-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:00,150.76,154.59,159.45,160.82,161.13,161.12,161.03,153.97,165.01,165.09,167.04,165.72,173.78,165.62,160.11,171.48,171.48,171.47,171.48,171.36,168.69,171.48,173.08,171.12,171.37,171.34,171.24,172.22,171.32,171.29,170.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:00,150.76,154.59,160.84,160.92,161.56,161.12,161.12,153.97,165.07,165.97,173.93,166.53,173.78,164.49,158.73,171.48,171.48,171.48,171.48,171.46,171.16,171.48,172.78,171.29,171.37,171.31,171.46,170.56,172.12,170.85,170.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:00,150.76,154.59,160.85,161.12,161.63,161.12,161.13,153.97,165.89,166.23,175.44,174.83,173.79,164.61,158.57,171.48,171.48,171.48,171.48,171.48,173.62,171.48,172.78,171.38,171.37,175.53,171.40,170.56,169.91,171.15,170.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:00,153.49,154.59,160.84,161.12,161.47,161.12,161.12,153.97,166.76,166.04,174.10,173.92,175.55,165.07,158.65,171.48,171.86,171.48,171.48,171.48,171.19,169.38,172.21,171.39,171.37,173.69,171.52,172.21,168.06,170.94,170.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14:00,153.62,154.59,161.03,161.12,161.44,161.12,160.56,155.76,167.20,166.24,177.04,174.78,174.81,165.00,158.51,171.48,173.88,171.48,171.48,171.48,170.62,171.48,171.37,171.55,173.56,171.78,171.65,174.26,167.73,171.39,170.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:00,150.76,154.59,161.12,161.12,161.53,161.12,160.56,154.34,167.08,165.95,175.07,175.89,174.64,164.51,158.61,171.48,171.48,171.48,171.48,171.48,168.68,170.96,171.47,171.62,171.77,171.79,172.57,170.96,167.45,171.11,170.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:00,150.76,154.95,161.12,161.12,161.55,161.12,161.27,154.33,165.07,165.08,177.45,176.22,167.73,164.50,158.63,171.48,171.48,171.48,171.48,171.48,164.85,166.45,171.37,171.49,171.45,172.47,172.33,171.02,166.09,170.56,170.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17:00,152.22,155.45,160.84,161.12,161.51,161.13,154.60,154.34,165.94,165.11,175.74,169.90,165.51,164.50,158.20,171.48,171.48,171.48,171.48,171.06,165.82,165.20,171.37,171.37,171.37,171.54,171.71,172.57,164.90,170.73,170.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:00,155.18,158.56,160.90,161.55,161.47,161.57,159.59,161.42,176.16,165.37,173.90,165.66,165.46,164.63,165.22,171.48,171.48,172.10,171.48,170.69,166.70,173.92,171.37,171.37,171.37,171.37,170.75,173.82,167.96,169.94,170.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:00,158.28,161.12,161.71,161.60,161.76,168.28,162.36,162.02,175.40,174.49,175.24,174.93,175.15,165.07,165.07,171.48,171.88,171.51,171.48,171.46,172.04,171.48,171.37,172.27,180.61,172.19,172.48,173.11,173.28,170.43,170.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20:00,157.33,161.12,161.74,162.00,161.39,167.95,161.12,162.36,181.20,174.78,176.20,177.37,173.36,165.07,165.07,171.48,171.48,171.48,171.48,171.48,171.48,171.47,171.37,171.92,183.67,172.42,172.45,171.36,172.86,170.55,170.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21:00,159.13,160.92,161.70,161.39,162.40,162.64,161.90,164.97,170.63,169.35,169.38,167.34,165.95,165.07,165.66,171.44,171.40,171.48,171.18,171.48,175.72,173.53,171.19,171.37,175.20,171.27,171.70,172.91,177.24,170.09,170.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22:00,152.26,162.04,164.62,163.78,164.11,162.44,163.54,154.38,165.42,167.64,165.20,165.07,166.82,166.08,163.92,174.15,176.13,171.14,173.92,174.30,167.46,171.98,175.99,170.93,171.21,175.06,175.43,175.38,168.50,174.82,173.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23:00,155.19,157.52,162.84,158.86,158.50,159.70,154.44,155.49,164.50,161.22,165.67,165.32,164.84,162.77,158.34,165.05,167.94,176.04,171.32,165.17,165.37,165.44,171.15,173.36,175.77,170.85,172.61,173.53,168.59,168.49,173.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:00,151.04,153.89,157.51,155.61,157.58,155.23,154.79,156.15,159.32,158.34,161.14,161.11,159.08,158.88,158.23,165.10,165.13,165.30,177.37,166.15,164.58,168.98,165.19,174.31,174.06,165.05,166.47,165.44,165.82,165.61,163.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRECIO DE POTENCIA DE OCASION ( US$ / MW ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1-Jan,2-Jan,3-Jan,4-Jan,5-Jan,6-Jan,7-Jan,8-Jan,9-Jan,10-Jan,11-Jan,12-Jan,13-Jan,14-Jan,15-Jan,16-Jan,17-Jan,18-Jan,19-Jan,20-Jan,21-Jan,22-Jan,23-Jan,24-Jan,25-Jan,26-Jan,27-Jan,28-Jan,29-Jan,30-Jan,31-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRECIO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRECIOS MAXIMOS MINIMOS ENERGIA Y POTENCIA DE OCASION ( US$ ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRECIO,MAX,MIN,PROM,PROM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGIA,183.67,147.79,82.64,164.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POTENCIA,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
