,1-Apr,2-Apr,3-Apr,4-Apr,5-Apr,6-Apr,7-Apr,4/8/12,4/9/12,4/10/12,11-Apr,12-Apr,13-Apr,14-Apr,15-Apr,16-Apr,17-Apr,18-Apr,19-Apr,20-Apr,21-Apr,22-Apr,23-Apr,24-Apr,25-Apr,26-Apr,27-Apr,28-Apr,29-Apr,30-Apr,0-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HRS,1-Apr,2-Apr,3-Apr,4-Apr,5-Apr,6-Apr,7-Apr,8-Apr,9-Apr,10-Apr,11-Apr,12-Apr,13-Apr,14-Apr,15-Apr,16-Apr,17-Apr,18-Apr,19-Apr,20-Apr,21-Apr,22-Apr,23-Apr,24-Apr,25-Apr,26-Apr,27-Apr,28-Apr,29-Apr,30-Apr,0-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:00,184.26,184.40,184.90,185.31,176.68,176.78,176.72,176.29,186.45,184.08,185.02,184.80,192.08,184.83,183.32,189.45,191.53,192.95,191.30,193.05,193.82,180.75,178.81,178.83,180.59,179.73,187.20,179.97,178.64,189.32,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:00,183.62,184.48,184.74,187.05,176.67,176.69,176.72,176.29,184.63,192.33,192.33,184.05,192.53,183.68,183.32,191.12,191.68,191.36,191.39,192.36,192.88,180.82,178.87,179.08,178.66,178.90,191.56,179.11,179.85,185.65,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:00,183.64,184.57,184.52,187.16,176.67,176.69,176.72,180.51,185.29,192.68,192.70,192.49,192.61,184.32,183.32,191.39,191.68,191.59,192.45,191.30,190.96,211.41,190.47,179.61,178.98,178.91,193.01,179.53,179.55,187.12,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:00,183.63,184.56,184.72,189.56,176.67,176.81,176.72,179.82,185.42,192.31,192.30,192.69,192.67,184.29,184.17,191.39,191.88,191.68,193.83,191.28,192.38,184.55,190.27,179.62,178.95,178.91,191.09,179.61,179.62,187.10,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14:00,183.87,184.64,184.33,188.18,176.67,180.30,176.70,178.28,185.41,193.37,193.37,193.83,193.69,184.32,186.69,191.80,191.75,191.68,192.42,191.75,191.81,181.58,190.64,180.10,178.97,178.98,188.45,179.60,182.03,190.17,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:00,183.99,184.61,184.39,183.57,176.67,181.73,176.67,178.23,192.32,193.89,194.05,193.42,192.79,186.78,185.27,192.21,192.41,191.58,192.91,192.46,191.77,197.93,189.25,180.00,179.48,179.06,188.41,180.36,179.62,187.59,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:00,183.95,198.80,193.04,183.57,183.15,180.69,176.67,178.21,193.08,194.01,193.45,193.10,192.88,183.99,187.95,191.95,191.39,196.02,193.43,191.85,190.50,188.96,191.29,179.60,179.20,193.28,188.73,185.50,179.62,187.39,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17:00,184.00,198.32,194.38,183.57,183.57,177.44,176.67,178.21,194.20,192.84,192.43,192.73,193.01,190.25,183.32,191.22,191.35,196.58,192.96,198.63,180.97,187.87,183.30,183.62,181.65,191.15,191.12,183.09,179.59,188.97,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:00,183.99,193.43,187.45,185.53,183.57,178.46,183.86,178.15,185.28,183.67,184.08,183.62,183.89,184.72,183.32,190.45,193.54,192.42,193.74,192.77,184.62,198.52,184.13,178.65,181.93,182.35,186.57,181.20,179.99,179.17,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:00,186.49,196.07,191.16,187.02,187.46,187.14,186.17,184.40,193.13,193.95,195.61,195.10,195.43,191.05,189.59,192.84,193.45,194.06,196.11,193.03,197.08,196.70,181.58,181.13,183.76,192.64,187.91,190.42,193.77,190.26,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
