,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRECIOS DE ENERGIA EN EL MERCADO DE OCASION ( US$/MWh ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERIODO: ,,DICIEMBRE/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORAS,01-Dic,02-Dic,03-Dic,04-Dic,05-Dic,06-Dic,07-Dic,08-Dic,09-Dic,10-Dic,11-Dic,12-Dic,13-Dic,14-Dic,15-Dic,16-Dic,17-Dic,18-Dic,19-Dic,20-Dic,21-Dic,22-Dic,23-Dic,24-Dic,25-Dic,26-Dic,27-Dic,28-Dic,29-Dic,30-Dic,31-Dic
21:00,166.82,160.61,158.99,159.66,161.10,158.89,159.67,157.73,158.20,160.91,159.99,162.60,163.03,162.51,161.01,161.34,165.43,165.91,159.19,158.90,159.31,158.90,156.41,159.97,160.95,170.05,160.44,160.57,159.74,159.01,160.59
22:00,160.26,161.98,161.23,158.21,158.61,157.60,159.31,158.89,160.77,163.35,160.05,159.05,159.63,160.60,166.26,162.93,158.41,159.51,159.39,159.58,159.82,159.41,159.91,160.15,161.53,171.45,159.82,161.07,158.67,158.43,160.74
23:00,158.23,155.97,156.36,156.45,156.36,161.51,157.47,160.68,157.73,159.50,161.50,160.49,159.71,160.60,158.47,158.73,158.86,156.63,161.59,158.58,153.20,162.57,154.55,161.33,161.34,159.90,159.15,159.73,161.45,159.72,160.34
24:00,157.79,157.00,155.50,156.53,155.42,156.63,154.04,157.73,157.73,158.58,158.87,161.38,160.56,163.04,152.69,162.09,156.41,155.54,155.17,154.84,153.15,159.93,150.98,159.74,159.78,162.24,155.98,163.14,156.56,153.93,159.40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRECIO DE POTENCIA DE OCASION ( US$ / MW ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01-Dic,02-Dic,03-Dic,04-Dic,05-Dic,06-Dic,07-Dic,08-Dic,09-Dic,10-Dic,11-Dic,12-Dic,13-Dic,14-Dic,15-Dic,16-Dic,17-Dic,18-Dic,19-Dic,20-Dic,21-Dic,22-Dic,23-Dic,24-Dic,25-Dic,26-Dic,27-Dic,28-Dic,29-Dic,30-Dic,31-Dic
PRECIO,215.00,00.50,00.50,00.50,00.50,00.50,00.50,00.50,00.50,00.50,00.50,00.50,00.50,00.50,00.50,215.00,00.50,00.50,00.50,00.50,00.50,00.50,00.50,00.50,00.50,00.50,00.50,00.50,00.50,00.50,00.50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRECIOS MAXIMOS, MINIMOS ENERGIA Y POTENCIA DE OCASION ( US$/MWh-US$/MW )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRECIO,MAX,MIN,PROM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGIA,177.55,144.22,159.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POTENCIA,215.00,0.50,14.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
