,1-May,2-May,3-May,4-May,5-May,6-May,7-May,5/8/12,5/9/12,5/10/12,11-May,12-May,13-May,14-May,15-May,16-May,17-May,18-May,19-May,20-May,21-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,29-May,30-May,31-May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HRS,1-May,2-May,3-May,4-May,5-May,6-May,7-May,8-May,9-May,10-May,11-May,12-May,13-May,14-May,15-May,16-May,17-May,18-May,19-May,20-May,21-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,29-May,30-May,31-May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:00,177.83,193.26,187.70,187.00,178.86,177.64,191.22,192.35,193.28,191.00,189.90,182.30,182.59,181.01,181.71,183.26,182.48,185.57,180.60,179.18,176.63,166.56,171.73,174.39,174.13,168.25,162.38,162.09,161.09,169.54,169.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:00,177.92,188.30,189.77,187.16,180.74,177.65,190.74,190.19,189.83,193.58,194.88,182.30,184.34,182.21,181.71,181.45,182.71,181.46,179.19,178.39,175.50,172.05,175.11,176.16,176.51,166.63,164.26,164.91,161.12,171.11,169.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:00,177.96,188.46,189.50,189.99,186.88,177.71,190.29,192.61,191.19,190.45,190.17,182.38,182.23,181.58,181.71,183.75,181.57,181.70,179.19,179.18,176.52,174.40,175.10,177.74,174.15,166.77,167.29,170.09,161.08,167.53,169.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:00,177.98,189.78,187.92,188.02,186.82,177.69,191.36,194.46,191.74,191.53,192.48,182.47,183.52,181.72,181.71,183.59,181.71,185.28,179.13,179.18,175.28,174.10,172.08,172.30,177.24,166.84,165.60,168.59,170.47,161.77,171.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14:00,178.06,190.76,188.41,188.31,186.79,181.03,191.59,194.56,190.97,191.40,192.58,182.47,183.98,182.48,182.36,180.90,182.50,182.26,179.21,179.18,166.51,174.08,166.52,176.32,175.78,167.20,165.61,169.52,171.65,161.77,171.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:00,177.99,188.65,188.08,188.03,186.84,178.03,190.96,192.91,190.76,190.98,191.31,182.47,181.71,182.10,182.15,182.21,181.92,180.74,179.23,179.18,166.48,174.10,166.62,166.83,174.14,167.72,165.67,171.33,170.50,161.77,170.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:00,178.06,188.69,187.72,187.75,182.46,178.02,191.01,189.66,190.76,190.80,190.68,182.52,184.10,181.72,182.66,182.12,181.78,181.53,178.54,179.18,166.43,174.03,166.69,166.63,176.86,173.57,165.65,169.61,171.54,162.19,171.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17:00,177.97,191.25,192.50,190.42,179.29,178.01,194.50,192.84,192.31,195.84,193.77,182.50,180.87,183.20,183.45,180.61,182.45,181.45,176.51,179.18,166.46,173.67,166.42,166.43,170.85,163.79,171.63,171.09,168.79,161.01,168.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:00,177.98,187.75,178.81,184.59,178.72,177.98,191.82,192.80,193.36,188.26,190.91,181.52,182.23,182.36,181.20,180.64,184.19,182.94,179.18,179.18,166.43,166.43,166.23,166.29,167.37,163.04,167.03,161.77,162.04,161.17,161.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:00,189.25,189.99,188.93,190.21,187.86,189.10,193.04,193.58,193.17,192.99,195.00,188.63,189.49,182.66,181.91,183.63,182.96,184.58,189.89,182.99,178.26,177.39,176.77,175.56,185.90,167.04,167.95,171.13,170.44,166.99,173.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
