,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRECIOS DE ENERGIA EN EL MERCADO DE OCASION ( US$/MWh ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LIQUIDACION OFICIAL JULIO 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PERIODO: 01.JULIO.2014 - 31.JULIO.2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1-Jul,2-Jul,3-Jul,4-Jul,5-Jul,6-Jul,7-Jul,8-Jul,9-Jul,10-Jul,11-Jul,12-Jul,13-Jul,14-Jul,15-Jul,16-Jul,17-Jul,18-Jul,19-Jul,20-Jul,21-Jul,22-Jul,23-Jul,24-Jul,25-Jul,26-Jul,27-Jul,28-Jul,29-Jul,30-Jul,31-Jul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HRS,1-Jul,2-Jul,3-Jul,4-Jul,5-Jul,6-Jul,7-Jul,8-Jul,9-Jul,10-Jul,11-Jul,12-Jul,13-Jul,14-Jul,15-Jul,16-Jul,17-Jul,18-Jul,19-Jul,20-Jul,21-Jul,22-Jul,23-Jul,24-Jul,25-Jul,26-Jul,27-Jul,28-Jul,29-Jul,30-Jul,31-Jul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1:00,158.88,160.15,159.52,157.47,160.15,148.42,146.41,159.97,145.45,149.78,159.97,154.94,159.97,149.38,162.12,150.06,166.12,165.87,162.12,146.50,161.42,161.42,150.56,150.87,150.87,151.62,150.65,151.26,151.26,151.26,149.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2:00,153.94,165.58,159.54,161.27,152.32,153.17,146.70,159.97,147.44,146.40,159.97,156.80,159.97,139.93,162.12,149.11,150.96,152.20,150.55,146.94,161.42,151.20,150.70,150.13,150.87,151.67,150.40,151.26,151.26,151.26,148.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3:00,161.27,159.31,159.53,174.87,161.27,161.27,146.45,145.92,147.66,147.99,159.97,154.08,159.97,162.12,146.45,162.12,162.12,162.12,150.94,147.18,154.78,154.30,151.24,148.98,150.87,151.62,150.63,151.26,151.26,150.39,145.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4:00,161.27,161.27,161.27,156.31,147.84,161.27,159.97,146.73,147.61,147.61,159.97,155.24,154.80,162.12,139.53,150.82,150.96,166.96,157.55,139.93,161.42,150.87,145.41,160.27,150.87,151.61,157.08,151.26,151.26,145.17,145.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5:00,161.27,159.31,161.27,158.25,161.27,161.27,159.97,159.97,159.97,147.06,159.97,153.79,155.66,162.12,162.12,150.21,162.12,150.96,149.22,162.12,161.42,159.84,150.38,151.05,150.87,153.42,157.83,157.25,151.26,145.65,146.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6:00,156.34,161.27,159.53,149.83,149.49,161.27,145.40,159.97,145.30,146.30,146.59,153.90,152.64,162.12,162.12,162.12,153.03,150.87,149.53,162.12,161.42,150.87,152.33,150.61,156.77,154.14,158.49,157.16,151.26,148.80,150.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7:00,155.43,161.27,159.53,161.27,161.27,161.27,159.97,159.97,159.97,159.97,159.97,159.97,149.78,162.12,162.12,150.96,150.96,150.71,145.42,162.12,161.42,150.87,150.80,150.20,150.87,150.23,150.93,156.81,151.26,149.94,151.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8:00,161.27,162.38,161.27,161.27,161.88,161.27,159.97,159.97,159.97,167.62,160.21,159.97,159.97,162.12,175.92,150.96,156.50,162.84,144.86,162.12,152.49,163.51,150.87,150.83,156.86,155.51,151.24,153.38,151.26,153.39,152.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9:00,159.31,162.55,168.04,163.50,161.27,161.27,159.97,164.87,164.87,165.10,164.51,159.97,159.97,162.12,156.87,162.12,163.60,168.01,149.18,162.12,167.76,166.73,153.95,161.42,165.40,155.62,150.76,163.74,177.66,156.05,175.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
