,1-Jun,2-Jun,3-Jun,4-Jun,5-Jun,6-Jun,7-Jun,6/8/12,6/9/12,6/10/12,11-Jun,12-Jun,13-Jun,14-Jun,15-Jun,16-Jun,17-Jun,18-Jun,19-Jun,20-Jun,21-Jun,22-Jun,23-Jun,24-Jun,25-Jun,26-Jun,27-Jun,28-Jun,29-Jun,30-Jun,0-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HRS,1-Jun,2-Jun,3-Jun,4-Jun,5-Jun,6-Jun,7-Jun,8-Jun,9-Jun,10-Jun,11-Jun,12-Jun,13-Jun,14-Jun,15-Jun,16-Jun,17-Jun,18-Jun,19-Jun,20-Jun,21-Jun,22-Jun,23-Jun,24-Jun,25-Jun,26-Jun,27-Jun,28-Jun,29-Jun,30-Jun,0-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:00,169.45,161.77,165.51,173.20,167.27,170.73,169.64,175.14,160.66,160.66,152.49,152.33,162.01,152.66,162.16,152.27,151.55,158.71,159.98,160.04,160.26,161.56,151.24,151.92,161.39,159.93,161.31,156.12,157.69,155.62,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:00,173.40,161.77,162.01,168.88,169.34,169.88,168.35,171.24,160.66,160.66,158.42,152.12,160.11,159.79,161.90,152.30,151.59,160.01,162.37,159.94,162.29,160.16,151.24,151.24,158.23,159.86,161.07,160.60,153.11,150.55,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:00,171.26,162.05,161.20,170.45,172.37,169.15,172.17,169.55,160.66,160.66,157.86,152.14,161.31,162.82,162.26,152.34,151.11,158.76,159.85,159.86,163.59,160.98,151.25,151.24,160.75,159.04,159.42,159.77,150.80,150.51,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:00,168.38,162.84,162.13,170.77,171.39,170.83,169.31,169.77,160.97,165.14,152.48,152.19,156.25,159.64,160.53,152.18,150.92,160.24,161.47,159.91,162.39,161.61,151.09,150.92,160.38,161.03,163.07,160.23,151.12,152.68,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14:00,172.00,161.77,167.10,172.09,170.60,172.87,172.09,170.36,160.63,160.79,152.46,159.00,152.16,160.51,162.17,152.74,150.97,158.77,162.49,159.92,161.18,161.25,150.81,150.36,160.18,159.53,160.11,160.15,152.06,154.35,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:00,169.84,161.77,162.62,169.75,172.49,175.06,170.29,170.54,165.21,160.66,157.89,160.74,152.20,160.09,160.72,152.95,150.97,163.30,164.59,159.87,160.32,159.14,150.85,150.40,159.05,159.56,159.71,161.12,158.14,150.25,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:00,170.94,162.43,164.44,173.05,172.21,173.66,171.38,173.55,159.38,160.61,159.83,153.22,152.25,159.66,163.00,152.76,150.98,161.67,160.60,159.88,160.04,159.22,151.28,150.36,159.07,161.56,160.01,159.72,156.77,150.68,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17:00,161.77,161.24,160.84,169.67,168.34,172.63,171.78,168.46,158.94,160.72,160.42,152.61,152.21,161.03,162.08,152.07,150.95,154.46,160.27,160.94,162.91,155.37,150.82,150.38,160.42,159.41,159.17,155.97,150.49,150.24,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:00,161.77,162.49,163.55,168.45,160.80,170.12,171.44,160.66,163.04,158.96,156.06,153.09,152.14,152.12,157.31,152.35,152.26,151.24,151.24,153.90,153.56,151.24,151.28,150.61,157.55,151.96,151.76,154.63,150.54,150.17,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:00,171.09,172.38,171.44,173.16,172.77,174.18,172.93,170.52,161.36,162.93,159.11,162.13,163.40,163.26,161.15,157.83,159.69,158.87,162.80,161.78,161.88,163.98,159.81,161.08,161.76,162.47,160.32,158.57,150.50,155.51,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
