,,1-Apr,2-Apr,3-Apr,4-Apr,5-Apr,6-Apr,7-Apr,8-Apr,9-Apr,10-Apr,11-Apr,12-Apr,13-Apr,14-Apr,15-Apr,16-Apr,17-Apr,18-Apr,19-Apr,20-Apr,21-Apr,22-Apr,23-Apr,24-Apr,25-Apr,26-Apr,27-Apr,28-Apr,29-Apr,30-Apr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Horas,1-Apr,2-Apr,3-Apr,4-Apr,5-Apr,6-Apr,7-Apr,8-Apr,9-Apr,10-Apr,11-Apr,12-Apr,13-Apr,14-Apr,15-Apr,16-Apr,17-Apr,18-Apr,19-Apr,20-Apr,21-Apr,22-Apr,23-Apr,24-Apr,25-Apr,26-Apr,27-Apr,28-Apr,29-Apr,30-Apr,,Horas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7:00,85.69,85.45,85.47,86.00,85.96,86.86,86.86,87.30,87.53,86.90,88.15,88.09,87.41,87.61,89.53,89.53,86.71,89.53,89.53,92.58,92.58,92.58,90.56,89.16,93.09,90.56,98.35,96.99,104.80,102.57,,7:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8:00,85.32,85.75,85.41,85.88,85.96,87.08,87.34,87.71,88.15,89.74,88.50,88.53,89.55,91.16,90.01,89.53,87.63,89.53,89.53,93.25,100.48,92.58,90.56,89.65,93.09,90.56,102.19,104.79,106.28,104.06,,8:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9:00,86.72,85.19,85.85,86.06,85.60,88.20,88.23,88.26,88.31,91.70,88.51,89.78,89.59,95.75,90.36,89.53,88.96,89.53,89.53,92.58,102.75,100.17,94.14,91.80,94.34,97.53,104.49,105.95,105.39,104.19,,9:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10:00,86.79,85.46,85.71,85.96,85.85,88.56,89.60,88.64,88.78,91.46,88.54,89.88,94.32,99.13,98.45,90.25,91.24,89.53,89.53,99.62,100.69,102.23,96.41,97.89,91.01,97.48,104.61,104.68,105.15,103.49,,10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11:00,87.06,85.83,85.46,85.92,85.68,90.32,88.79,90.32,91.06,95.58,90.95,88.28,96.40,98.04,97.93,94.32,96.64,89.53,89.53,99.61,100.73,99.90,97.52,99.25,93.09,97.51,104.59,141.99,132.90,133.62,,11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12:00,87.15,85.24,85.40,85.69,85.43,97.95,96.23,95.00,96.41,99.51,90.73,90.29,97.44,98.10,97.46,96.21,96.45,89.53,90.13,102.56,100.78,102.34,100.24,102.78,93.09,97.52,104.64,147.00,139.34,127.88,,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13:00,86.95,85.54,88.87,89.95,85.62,92.15,95.06,95.04,95.25,99.22,91.44,88.75,97.50,98.00,97.76,95.45,96.50,90.82,89.53,100.67,100.78,101.24,100.17,101.25,93.22,97.61,104.76,147.15,138.94,127.38,,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14:00,86.98,85.52,87.17,86.98,85.72,98.05,95.67,98.20,95.78,98.60,91.47,88.63,97.54,97.88,97.66,99.45,96.68,89.53,89.53,100.82,100.84,101.13,101.55,101.07,93.22,98.62,104.77,146.66,104.82,103.52,,14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15:00,86.96,89.67,86.95,88.35,85.67,95.58,95.76,98.37,91.08,98.84,91.43,92.54,97.55,97.65,97.50,97.63,96.82,89.53,89.53,100.89,100.88,100.98,102.17,101.31,93.23,98.64,104.65,146.23,138.53,137.86,,15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16:00,86.93,89.09,87.84,86.17,85.65,92.15,97.35,96.71,91.12,98.38,89.28,88.50,97.50,98.09,98.51,99.03,95.98,89.53,89.53,100.86,100.88,102.21,101.44,101.52,93.67,98.64,104.79,143.21,104.89,137.66,,16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
