,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRECIOS DE ENERGIA EN EL MERCADO DE OCASION ( US$/MWh ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LIQUIDACION OFICIAL FEBRERO 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PERIODO: 01.FEBRERO.2016 - 29.FEBRERO.2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1-Feb,2-Feb,3-Feb,4-Feb,5-Feb,6-Feb,7-Feb,8-Feb,9-Feb,10-Feb,11-Feb,12-Feb,13-Feb,14-Feb,15-Feb,16-Feb,17-Feb,18-Feb,19-Feb,20-Feb,21-Feb,22-Feb,23-Feb,24-Feb,25-Feb,26-Feb,27-Feb,28-Feb,29-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Horas,1-Feb,2-Feb,3-Feb,4-Feb,5-Feb,6-Feb,7-Feb,8-Feb,9-Feb,10-Feb,11-Feb,12-Feb,13-Feb,14-Feb,15-Feb,16-Feb,17-Feb,18-Feb,19-Feb,20-Feb,21-Feb,22-Feb,23-Feb,24-Feb,25-Feb,26-Feb,27-Feb,28-Feb,29-Feb,,,Horas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1:00,48.48,50.15,48.69,50.12,50.12,48.76,45.91,51.88,51.06,51.57,51.41,49.28,50.62,50.62,49.56,49.56,47.65,49.70,49.67,50.51,48.74,48.87,50.81,51.21,51.05,49.38,49.73,48.82,49.14,,,1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2:00,47.60,50.12,48.69,50.12,50.12,47.76,45.96,52.73,49.23,49.23,49.36,49.28,50.62,50.62,49.56,49.56,47.67,49.74,48.92,49.77,47.80,48.86,50.81,51.21,51.39,48.76,49.73,50.14,49.14,,,2:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3:00,47.64,50.12,48.68,50.12,50.12,47.69,45.86,49.32,49.33,49.23,49.28,49.28,50.62,50.62,49.56,49.56,47.71,49.67,47.60,50.51,47.91,48.86,50.81,50.87,51.15,49.73,49.73,49.73,49.14,,,3:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4:00,47.67,50.12,48.69,50.12,50.12,50.12,45.87,49.18,49.27,49.22,49.27,49.28,50.62,50.62,49.56,49.56,47.69,49.66,47.72,50.51,47.92,48.86,50.81,50.40,50.81,49.86,49.73,49.73,49.13,,,4:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5:00,47.67,50.84,49.57,50.12,50.12,50.12,47.96,50.62,51.34,51.51,50.71,49.27,50.62,50.62,49.56,49.75,47.63,49.66,51.01,50.51,47.92,48.79,50.92,51.43,50.81,49.77,49.73,46.97,49.13,,,5:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6:00,50.12,50.14,50.12,50.12,50.12,50.58,47.95,51.51,51.21,51.24,51.03,52.13,50.62,50.62,49.56,49.96,49.71,50.51,50.51,50.51,47.86,49.73,51.21,52.57,50.81,51.28,49.73,47.07,49.90,,,6:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7:00,49.66,49.86,50.12,50.12,50.12,50.22,47.95,51.07,51.32,51.18,51.06,50.93,51.20,51.24,49.58,53.62,50.58,50.79,50.51,49.93,47.79,50.04,51.21,51.21,50.81,50.83,49.73,47.20,49.90,,,7:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8:00,49.66,50.06,50.12,50.76,50.12,48.69,47.90,50.91,51.29,50.79,50.90,50.97,51.08,50.97,50.34,52.04,53.02,52.89,50.51,50.51,50.35,52.00,51.21,52.03,51.07,50.93,51.99,47.19,52.05,,,8:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9:00,50.12,51.29,51.32,50.69,50.12,51.43,47.83,54.23,54.62,54.67,53.16,52.41,51.12,50.88,53.90,52.62,51.90,52.03,52.88,50.51,49.61,52.01,52.14,51.21,51.21,51.71,50.82,47.12,51.40,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10:00,50.12,52.03,52.06,51.79,50.12,50.12,47.88,53.39,53.82,52.91,53.30,53.69,52.48,50.87,52.04,53.30,52.04,52.04,52.04,50.70,49.57,51.36,51.49,52.01,51.90,51.71,51.21,46.98,52.63,,,10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11:00,52.06,52.05,57.89,55.91,50.12,50.12,47.75,53.98,53.98,53.30,53.67,53.98,53.02,50.88,52.07,52.62,52.78,52.04,52.04,50.80,49.62,52.87,53.14,55.67,51.21,51.21,51.21,49.80,51.51,,,11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12:00,56.96,52.05,59.08,55.98,50.12,50.12,47.54,53.98,53.98,53.30,53.98,53.98,53.02,50.87,53.30,53.14,52.04,52.04,52.04,53.09,49.80,57.15,51.57,58.73,51.65,51.21,51.21,49.62,51.51,,,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13:00,56.01,52.03,58.50,55.88,50.12,50.12,47.49,53.98,53.98,53.30,53.54,53.98,53.02,50.87,52.62,53.84,52.04,52.04,52.04,51.67,49.40,58.76,51.27,53.30,51.21,51.21,51.21,49.73,51.51,,,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14:00,58.39,56.85,59.34,58.54,50.12,50.12,47.53,53.98,53.98,53.30,53.30,53.98,52.50,50.88,52.62,60.14,52.27,52.74,52.04,51.67,50.51,60.27,55.84,57.50,51.21,51.21,51.14,49.73,51.51,,,14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15:00,58.51,57.88,59.32,59.32,50.88,50.12,47.60,54.07,53.98,53.30,53.30,53.49,51.23,50.88,52.49,59.61,52.62,52.04,52.04,52.53,49.83,60.40,58.33,58.69,51.21,51.21,50.79,49.02,51.90,,,15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16:00,58.79,57.16,59.32,59.76,50.12,50.12,47.93,54.44,53.98,53.30,53.30,53.30,51.23,50.87,52.04,58.23,52.62,52.53,52.04,51.07,49.73,60.43,57.33,57.35,51.21,51.29,50.65,48.98,52.07,,,16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
