,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRECIOS DE ENERGIA EN EL MERCADO DE OCASION ( US$/MWh ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERIODO: ,,ENERO/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORAS,01-Ene,02-Ene,03-Ene,04-Ene,05-Ene,06-Ene,07-Ene,08-Ene,09-Ene,10-Ene,11-Ene,12-Ene,13-Ene,14-Ene,15-Ene,16-Ene,17-Ene,18-Ene,19-Ene,20-Ene,21-Ene,22-Ene,23-Ene,24-Ene,25-Ene,26-Ene,27-Ene,28-Ene,29-Ene,30-Ene,31-Ene
21:00,163.53,160.52,160.52,160.52,160.11,164.03,162.28,161.43,161.48,161.52,161.57,161.71,161.07,163.49,165.57,163.20,163.23,163.04,163.48,165.56,160.94,160.94,163.93,160.94,160.94,162.32,160.82,161.98,164.53,163.88,162.10
22:00,158.59,160.17,159.87,162.39,162.02,159.51,163.50,164.78,166.10,164.61,159.47,164.23,164.54,167.75,164.89,166.54,166.50,167.55,167.23,165.08,164.96,164.65,163.70,161.80,162.43,161.52,163.82,165.44,162.10,161.87,162.30
23:00,158.87,160.72,163.12,160.50,158.86,158.98,157.31,160.12,162.83,157.22,159.48,158.11,158.27,159.20,158.57,160.02,160.05,158.91,160.80,162.24,158.86,158.36,160.12,161.20,157.73,164.20,158.32,160.12,164.29,156.95,156.31
24:00,155.63,158.03,157.70,157.52,158.43,149.57,153.72,153.77,159.23,163.03,159.47,159.00,153.75,156.04,161.41,156.06,156.07,164.16,156.93,158.43,155.48,154.45,154.47,157.37,155.41,159.23,158.46,160.84,155.53,155.51,159.50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRECIO DE POTENCIA DE OCASION ( US$ / MW ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01-Ene,02-Ene,03-Ene,04-Ene,05-Ene,06-Ene,07-Ene,08-Ene,09-Ene,10-Ene,11-Ene,12-Ene,13-Ene,14-Ene,15-Ene,16-Ene,17-Ene,18-Ene,19-Ene,20-Ene,21-Ene,22-Ene,23-Ene,24-Ene,25-Ene,26-Ene,27-Ene,28-Ene,29-Ene,30-Ene,31-Ene
PRECIO,00.50,00.50,00.50,00.50,00.50,00.50,00.50,00.50,00.50,00.50,00.50,00.50,100.00,00.50,00.50,00.50,00.50,00.50,00.50,00.50,00.50,00.50,00.50,00.50,00.50,00.50,215.00,00.50,00.50,00.50,00.50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRECIOS MAXIMOS, MINIMOS ENERGIA Y POTENCIA DE OCASION ( US$/MWh-US$/MW )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRECIO,MAX,MIN,PROM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGIA,172.09,148.24,159.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POTENCIA,215.00,0.50,10.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
