,1-Sep,2-Sep,3-Sep,4-Sep,5-Sep,6-Sep,7-Sep,9/8/12,9/9/12,9/10/12,11-Sep,12-Sep,13-Sep,14-Sep,15-Sep,16-Sep,17-Sep,18-Sep,19-Sep,20-Sep,21-Sep,22-Sep,23-Sep,24-Sep,25-Sep,26-Sep,27-Sep,28-Sep,29-Sep,30-Sep,0-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HRS,1-Sep,2-Sep,3-Sep,4-Sep,5-Sep,6-Sep,7-Sep,8-Sep,9-Sep,10-Sep,11-Sep,12-Sep,13-Sep,14-Sep,15-Sep,16-Sep,17-Sep,18-Sep,19-Sep,20-Sep,21-Sep,22-Sep,23-Sep,24-Sep,25-Sep,26-Sep,27-Sep,28-Sep,29-Sep,30-Sep,0-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:00,171.14,169.45,170.89,178.52,180.33,180.05,180.47,180.02,179.00,180.81,183.16,182.02,179.44,169.97,172.14,169.97,181.74,184.20,186.01,184.07,181.89,179.90,173.23,186.17,181.30,182.04,180.45,182.18,178.77,175.11,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:00,177.06,170.76,181.64,179.98,179.33,180.58,180.46,180.24,173.01,182.25,181.05,179.43,180.45,179.43,178.50,169.97,181.89,181.89,184.09,182.25,181.89,181.80,173.40,183.54,181.42,180.45,180.45,183.00,178.76,175.18,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:00,178.63,167.39,182.10,180.55,179.37,180.49,180.51,179.00,179.00,179.43,180.54,179.43,179.50,179.43,174.65,169.97,181.89,181.89,185.75,182.29,181.89,182.15,173.62,180.43,180.45,180.45,180.45,180.18,178.83,175.08,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:00,175.77,168.34,179.47,178.57,179.41,179.00,180.50,179.00,172.88,179.43,181.33,179.43,179.46,172.17,179.43,179.43,181.89,181.89,182.61,181.99,183.30,183.39,176.02,180.52,180.45,180.45,180.45,180.15,176.86,175.26,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14:00,171.55,170.40,180.54,181.10,179.52,182.37,180.51,179.00,173.09,182.66,179.60,179.64,179.99,170.74,179.43,179.43,182.27,182.14,182.24,182.27,182.50,180.70,175.84,181.05,180.45,181.12,180.47,180.42,183.73,173.75,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:00,171.64,169.50,178.45,179.59,179.68,179.36,180.53,179.00,187.69,180.23,180.23,181.74,180.40,170.12,179.43,180.51,182.46,182.34,182.78,182.51,183.59,183.47,171.77,181.00,180.45,180.90,180.49,180.73,174.66,173.77,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:00,171.30,174.08,180.51,180.98,181.66,179.36,180.50,180.57,169.97,182.59,181.68,180.10,181.66,170.08,179.59,169.97,181.90,182.39,184.82,181.82,182.76,174.26,173.20,182.31,179.67,180.45,184.07,182.38,173.51,173.81,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17:00,172.02,168.36,179.99,179.78,179.02,179.36,180.22,181.11,179.00,185.32,182.22,184.10,182.22,169.98,182.09,169.97,181.79,183.32,185.84,181.64,182.84,173.89,173.20,184.04,181.00,182.73,182.99,181.27,173.10,173.79,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:00,170.45,192.00,170.31,181.28,180.73,179.42,179.00,181.67,185.34,183.57,179.43,183.17,183.86,170.26,181.27,180.27,186.26,181.78,186.31,181.64,185.23,180.31,196.39,181.04,181.55,182.21,183.40,181.61,180.77,177.39,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:00,186.81,179.32,183.18,183.73,180.75,179.53,180.55,182.62,179.69,179.48,185.24,181.69,183.19,185.25,187.21,184.91,183.62,184.32,182.19,181.84,182.70,182.58,182.24,182.67,181.10,180.45,180.52,180.36,179.60,182.20,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20:00,181.79,179.57,182.62,179.32,179.52,179.53,179.52,181.37,179.96,180.28,184.50,179.85,180.12,180.25,182.72,180.14,182.09,181.85,183.67,181.89,183.71,181.31,183.27,180.19,182.37,180.45,180.45,180.19,179.23,181.11,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21:00,181.98,175.47,177.52,182.41,182.99,179.53,181.61,179.02,183.15,182.81,180.77,183.75,182.83,185.06,177.71,180.66,184.02,184.81,184.34,181.78,181.58,183.86,183.83,184.31,182.99,183.24,182.30,184.76,183.42,180.54,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
